Question Number,Question,Option A,Option B,Option C,Option D,Option E,Option F,Correct Answer,Level,Medical Specialty,Group,umbrella_specialty,,,,,,,,,,,
86,اختر الإجابة الخاطئة المتعلقة بالعظم الوتدي:,يوجد المنقار الوتدي في الوجه السفلي.,هو جزء من القحف الحشوي.,يتوضع السرج التركي على الوجه العلوي.,وجهه الخلفي له شكل مربع.,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
102,من ميزات البقعة الكثيفة نذكر ما يلي عدا :,حساسة لتركيز الشوارد والماء,خلايا مسطحة من النبيب القريب قرب القطب الوعائي,تساهم في تنظيم نسبة تحرر الرينين,توجد في النبيب المعوج البعيد قرب القطب الوعائي,,,B,Y2,Histology and Anatomy,ABCDE,Anatomy,,,,,,,,,,,
46,. ليست من مجاورات برزخ الحلق,جذر اللسان من الاسفل,الفلكة فى الاعلى,البلعوم الفموي من الخلف,الحنك الرخو من الاعلى,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
549,فرع الأبهر الصاعد,الإكليلي الأيمن,السباتي العام الأيسر,الجذع العضدي الراسي,تحت الترقوة الأيسر,,,A,Y1,Anatomy,ABCD,Anatomy,,549,فرع الأبهر الصاعد,تحت الترقوة الأيسر,السباتي العام الأيسر,الجذع العضدي الراسي,الإكليلي الأيمن,,✅ OK,A,Y1
133,اختر الإجابة الخاطئة:,الحصيات الصفراوية تتشكل من تحصي مكونات الصفراء.,الحصيات المرارية يمكن ان تسد مجرى الصفراء وتسبب حدوث يرقان انسدادي.,حصيات الكوليسترول والحصيات المختلطة تشكل 90٪ من الحصيات الصفراوية.,نقص حركة المرارة يسبب حصيات الكولسترول.,,,C,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
230,يمر العصب II :,نفق بصري,مسم السمع الباطن ومن ثم الثقبة الاربية الخشائية,شق حجابي علوي,الثقبة (النفق الوداجي ),,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
6,كل ما يلي صحيح عن الأوعية الدقيقة عدا :,يتم التبادل من خاللها في الحالات الطبيعية فقط.,تعتبر وسط للتبادل الاستقلابي.,قطرها أقل من mm.0.1,ال تظهر إال تحت المجهر.,,,A,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
44,العظام الإسفينية للقدم (الخاطئة):,ثلاثة.,صغيرة.,تتمفصل مع الأمشاط الثلاثة الأخيرة .,تتمفصل مع العظم الزورقي.,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
3,تستر العضلات التالية جدار الصدر الخلفي ما عدا: (السؤال للاطلاع),المنشارية الأمامية.,شبه المنحرفة.,المعينية الصغيرة.,المعينية الكبيرة.,العريضة الظهرية.,,A,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
169,العضلات الماضغة تشمل:,الجناحية الانسية,الجناحية الوحشية,الصدغية والماضغة,كل ما سبق صحيح,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
673,الجزء السفلي غزير التوعية في الصيوان:,المحار,الحتار,فصيص الأذن,نظير الحتار,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
202,ينفصل نصفي المخ عن بعضهما بواسطة:,Longitudinal Fissure,Corpuse Callosum,Central Sulcus,Lateral Sulcus,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
473,يشمل الجزء الناقل ماعدا :,الانف,البلعوم,الأسناخ,الرغامى,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
353,. المحطة الاهم في مسيير حملة الاحاسيس المتجهة للدماغ هي,Thalamus,Subthalamus,Epithalamus,Hypothalamus,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
56,أي الغدد التالية هي : Endocrine+Exocrine,الدرق.,الكبد.,جارات الدرق.,النخامة.,كل ماسبق خطأ,,B,Y2,Histology,ABCDE,Anatomy,,,,,,,,,,,
319,. يرد التعصيب نظير الودي الى القلب عن طريق العصب القحفي,Glossopharyngeal nerve,Vagus nerve,Accessory nerve,Hypoglossal nerve,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
9,المقابلة هي:,عندما يتجه أخمص القدم نحو الأنسي.,عند مقابلة الإبهام والاصبغ الصغرى.,عندما يتجه ظهر القدم نحو الأعلى.,كل ما سبق صحيح.,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
618,تتوضع نواة للعصب الثامن في:,الجسر,البصلة,الدماغ المتوسط,المخيخ,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
302,يحتوي Body Vitreous على العناصر التالية عدا:,Macrophages,Fibroblasts,Collagen Fibrils,Hyalocytes,,,B,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
32,الصفيحة المشاشية ذات بنية,غضروفية,إسفنجية,ظهارية,ليفية,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
99,المعلومة الصحيحة عن العظم الجبهي:,يحوي القسم الحجاجي بالجزء الأنسي الحفرة البكرية.,يتمفصل القسم الحجاجي من الأعلى مع العظم الجداري.,يتمفصل القسم الصدفي من الجانب مع القذالي.,يتوضع القسم الحجاجي بشكل عمودي.,,,A,Y1,Anatomy,ABCD,Anatomy,,99,المعلومة الصحيحة عن العظم الجبهي:,يتوضع القسم الحجاجي بشكل عمودي.,يتمفصل القسم الحجاجي من الأعلى مع العظم الجداري.,يتمفصل القسم الصدفي من الجانب مع القذالي.,يحوي القسم الحجاجي بالجزء الأنسي الحفرة البكرية.,,✅ OK,A,Y1
23,كل مما يلي صحيح عن الآفات العصيدية عدا:,أكثر الشرايين عرضة الشرايين المخية.,تكاثر الخلايا العضلية الملساء.,ترسب الكولسترول في الخلايا العضلية الملساء والبالعات.,ثخانة بؤرية موضعية في الطبقة الداخلية.,,,A,Y2,Histology,ABCD,Anatomy,,23,كل مما يلي صحيح عن الآفات العصيدية عدا:,ثخانة بؤرية موضعية في الطبقة الداخلية.,تكاثر الخلايا العضلية الملساء.,ترسب الكولسترول في الخلايا العضلية الملساء والبالعات.,أكثر الشرايين عرضة الشرايين المخية.,,✅ OK,A,Y2
22,العضلة الكابة المربعة:,تنشأ أمامياً من أسفل الزند,تنشأ أمامياً من أسفل الكعبرة,ترتكز أمامياً أسفل الزند,ترتكز على الناتئ الإبرى الكعبرى,,,A,Y2,Anatomy,ABCD,Anatomy,,,,,,,,,,,
16,تمتاز الـ Ground substance في النسيج الضامة بـ:,ذات لون أحمر داكن.,غير شفافة.,لزجة القوام.,كل ما سبق صحيح.,كل ما سبق خطأ.,,C,Y2,Histology,ABCDE,Anatomy,,,,,,,,,,,
110,النواتئ الفقرية من جسم الفقرة هي:,المستعرض,المستعرض والشوكي,المستعرض والشوكي والمفصلي,لا شيء مما سبق,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
103,- ليست من عضلات الجدار الخلفي للبطن :,المربعة القطنية,الحرقفية القطنية,البسواس,الحرقفية,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
78,الفوهات في الحجاب الحاجز (إجابة خطأ):,تعبر الجذوع الودية خلف الحجاب الى الرباط المقوس الوحشي في كل جانب,تتوضع الفتحة المريئية في مستوى الفقرة الصدرية العاشرة,تتوضع الفتحة الأجوفية في مستوى الفقرة الصدرية الثامنة في الوتر المركزي,تتوضع الفتحة الأبهرية أمام جسم الفقرة الصدرية الثانية عشرة,تعبر الأوعية الشرسوفية العلوية بين المنشأ القصي و الضلعي للحجاب الحاجز في كل جانب,,A,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
807,عدد الأهرامات الكلوية,7,6,12,14,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
398,كل ما يلي صحيح عن الأذينة اليسرى عدا :,جوف الأذينة اليسرى أكبر من جوف الأذينة اليمني,تتصل مع البطين الأيسر بالفوهة التاجية,لا توجد دسامات للأوردة الرئوية التي تصب فيها,تمتد للأمام بوساطة رتج يعرف بالصيوان,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
482,كل ما يلي صحيح عن الحنك عدا :,الحافة الخلفية لشراع الحنك حرة,يشكل الحنك اللين الثلث الخلفي,يطلق على الحنك الصلب اسم شراع الحنك,يشكل الحنك الصلب الثلثين الأماميين,,,A,Y1,Anatomy,ABCD,Anatomy,,482,كل ما يلي صحيح عن الحنك عدا :,يشكل الحنك الصلب الثلثين الأماميين,يشكل الحنك اللين الثلث الخلفي,يطلق على الحنك الصلب اسم شراع الحنك,الحافة الخلفية لشراع الحنك حرة,,✅ OK,A,Y1
295,عضلات الطبقة السطحية لجدار الصدر الأمامي عدا:,شبة المنحرفة,الصدرية الصغيرة,المنشارية الأمامية,الصدرية الكبيرة,,,A,Y1,Anatomy,ABCD,Anatomy,,295,عضلات الطبقة السطحية لجدار الصدر الأمامي عدا:,الصدرية الكبيرة,الصدرية الصغيرة,المنشارية الأمامية,شبة المنحرفة,,✅ OK,A,Y1
841,ظهارة الجزء المتوضع في الحشفة في القضيب,مطبقة حقيقية,مطبقة كاذبة,انتقالية,شائكة,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
163,For the Duodenum,له شكل حرف C وأربع قطع,طوله 25 سم,توجد أنبورة فاتر في القطعة الثانية منه,كل ما سبق صحيح,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
468,اختر الإجابة الخاطئة:,يصب الوريد الرأسي في الوريد تحت الترقوة,يصيب الوريد الفرد الأجوف العلوي,ينشأ الوريد المرفقي من الوريد الرأسي (الوحشي),يصب الوريد المرفقي في الوريد القاعدي (الانسي),,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
174,من المفاصل الاسطوانية:,المفصل الوركي.,المفصل الصدغي الفكي.,المفصل الكعبري الزندي.,كل ما سبق صحيح.,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
216,العظم الغربالي (الخاطئة) (مكرر):,الصفيحة العمودية هي جزء من الوتيرة الأنفية.,عرف الديك جزء منفصل من الصفيحة الأفقية.,تتصل الصفيحة العامودية مع عظم الميكعة.,يبرز عرف الديك داخل القحف .,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
477,فتحة الأنف الخلفية:,المنعر,المنخر,الوترة,الشوكة الأنفية,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
112,- العضلة الألوية الكبرى :,تنشأ من الإسك,ترتكز على عظم الظنبوب,ترتكز على السبيل الحرقفي الظنبوبي,كل ما سبق صحيح,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
434,أي من الشرايين التالية يسير ضمن ميزابة النبض في الساعد :,الشريان الزندي,الشريان العضدي,الشريان الكعبري,الشريان الزاوي,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
3,يسير على الوجه الأمامي للعضلة القصية الترقوية الخشائية الأمامية.,العصب ظهر الكتف,العصب اللاحق (الشوكي),العصب المبهم,العصب الحجابي,لا شيء مما سبق,,D,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
1250,OPTIC DISC هو :,القرص البصري,الحليمة البصرية,البقعة العمياء,كل ما سبق صحيح,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
420,اختر الإجابة الخاطئة بالنسبة للبطين الأيمن:,يحوي أربع عضلات حليمية,يتصل مع الأذينة اليمنى بالدسام مثلث الشرف,يحوي القمع,أكبر من الأذينة اليسرى,,,A,Y1,Anatomy,ABCD,Anatomy,,420,اختر الإجابة الخاطئة بالنسبة للبطين الأيمن:,أكبر من الأذينة اليسرى,يتصل مع الأذينة اليمنى بالدسام مثلث الشرف,يحوي القمع,يحوي أربع عضلات حليمية,,✅ OK,A,Y1
692,من صفات الإحليل الأنثوي ماعدا:,طوله 20 سم,ينفتح على دهليز الفرج,له طبقة تحت مخاطية,يحوي ظهارية شائكة ومطبقة كاذبة أو انتقالية,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
787,الأعصاب الحركية (إجابة واحدة صحيحة ) :,.sensetive,motor .,sensorial .,plexus .,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
80,العصب المبهم :,الجزء الحسي ينقل الإحساس من جدران الرئتين,لا يحتوي على جزء محرك,يدخل المبهم الأيمن الصدر خلف الشريان تحت الترقوة,الأيسر بعد أن يلتف خلف الشريان تحت الترقوة الأيسر,كل ما سبق صحيح,,A,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
1145,يستمر السائل الشوكي حتى الفقرة :,عجزية أولى,عجزية ثانية,عجزية ثالثة,عجزية رابعة,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
64,يتمفصل من الضلع مع الناتئ المستعرض للفقرة الصدرية النموذجية:,الرأس,الحديبة,العنق,الزاوية,الغضروف الضلعي,,B,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
299,كل ما يلي صحيح عن الجيب الوتدي عدا :,يقسم إلى قسمين أيمن وأيسر,يقع داخل جناح العظم الوتدي,يمتد أحيانا إلى داخل العظم القذالي,ينفتح فوق المحارة العلوية,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
426,التعصب نظير الودي للقلب يأتي عبر:,المبهم,الجذع الودي الصدري,الجذع الودي القطني,الجذع الودي الرقبي,,,A,Y1,Anatomy,ABCD,Anatomy,,426,التعصب نظير الودي للقلب يأتي عبر:,الجذع الودي الرقبي,الجذع الودي الصدري,الجذع الودي القطني,المبهم,,✅ OK,A,Y1
157,الصحيح حول الاسنان,أول ما يظهر من الأسنان هي القواطع العلوية الوحشية,تظهر ما بين 6-30 سنة (اللبنية),تحل الأسنان الدائمة محل الأسنان اللبنية في سن 18 سنة,عدد الأسنان عند البالغين 32,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
490,اختر الإجابة الخاطئة بالنسبة لمجاورات البلعوم:,في الخلف الفقرات الصدرية الستة الأولى,في الأمام الأنف والفم والحنجرة,في الوحشي الغمد السباتي,C+B صح,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
64,يتصل الاشعار ما يلي ما عدا :,الغدد الدهنية,الجريب الشعري,الغدد العرقية,العضلة الناصبة للشعرية,,,C,Y2,Histology and Anatomy,ABCDE,Anatomy,,,,,,,,,,,
10,) تتواجد continuous capillaries في كل من النسج التالية ما عدا :,Muscular Tissue,Connective Tissue,Endocrine Glands,Nervous Tissue,,,C,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
95,عدد الأثلام الجانبية على جسم القص:,6,12,7,14,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
144,وظائف خلايا سيرتولي :,البلعمة في سياق تكون النطاف,تأمين الحاجز الدموي – الخصيوي,إفراز بروتين رابط لاندروجين,A+B,كل ما سبق صحيح,,E,Y2,Histology and Anatomy,ABCDE,Anatomy,,,,,,,,,,,
479,تنفتح قناة الغدة النكفية عند السن :,الرحوية الثانية,الرحوية الأولى,الرحوية الثالثة,الضاحك الأول,,,A,Y1,Anatomy,ABCD,Anatomy,,479,تنفتح قناة الغدة النكفية عند السن :,الضاحك الأول,الرحوية الأولى,الرحوية الثالثة,الرحوية الثانية,,✅ OK,A,Y1
119,المفاصل السرجية (الخاطئة):,الاول مقعر.,الثاني محدب.,مثالها المفصل الرسغي السنعي للابهام.,تسمح بالحركة حول محور احد السطحين.,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
1123,يحتوي الدماغ المتوسط نوى الأعصاب :,الثالث,الرابع,الخامس,A+B,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
740,يحوي الدماغ البيني بداخله جوف البطين:,الأول.,الثاني.,الثالث.,الرابع.,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
13,تتضمن الطرق الناقلة في القلب التالي ما عدا:,الشريط المنظم.,العرف الانتهائي.,ألياف بوركنجي.,الفرع الأيمن لحزمة هيس.,الفرع الأيسر لحزمة هيس.,,B,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
35,باسطات أصابع القدم,سطحية وعميقة,لها نفس التعصب,تنشأ كلها من الظنبوب,السطحية ترتكز على كل الأصابع,,,B,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
242,يفرز ال androstenedione من :,خاليا القراب الداخلي.,خاليا القراب الخارجي.,كل من a و b.,ليس مما سبق.,,,A,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
25,تتصف الزائدة الدودية:,تحوي مخاطيتها على كمية كبيرة من النسيج اللمفاوي.,تنشأ من الوجه الخلفي الأنسي للأعور.,طولها 5 سم.,ذروة الزائدة ثابتة.,كل ما سبق صحيح.,,A,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
300,اختر الاجابة الصحيحة حول العدسة Lens,تتثبت العدسة في مكانها وتغير من تحدبها بواسطة Ciliary Zonule,تنشأ ألياف العدسة من محفظة العدسة,في الساد تبقى العدسة نفوذة للضوء.,ظهارة العدسة هي عبارة عن عدة صفوف من الخلايا تستر العدسة من كل الجهات.,,,A,Y2,Histology,ABCD,Anatomy,,300,اختر الاجابة الصحيحة حول العدسة Lens,ظهارة العدسة هي عبارة عن عدة صفوف من الخلايا تستر العدسة من كل الجهات.,تنشأ ألياف العدسة من محفظة العدسة,في الساد تبقى العدسة نفوذة للضوء.,تتثبت العدسة في مكانها وتغير من تحدبها بواسطة Ciliary Zonule,,✅ OK,A,Y2
79,تتأللف الغدد المعوية مما يلي عدا :,خلايا بانيث,خلايا كأسية,خلايا جذعية,خلايا G كمفرزة للسوماتوستاتين,,,D,Y2,Histology and Anatomy,ABCDE,Anatomy,,,,,,,,,,,
59,ينتقلالحسالعام من الثلث الخلفى للسان عبر:,العصب الوجهى,العصب تحت اللسانى,العصب اللسانى البلعومى,العصب الفكى السفلى,العصب الفكى,,C,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
488,التروية الدموية للبوق من الشريان:,المبيضي,الرحمي,البوقي,a + b,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
215,الطبقة الثالثة من عضلات أخمص القدم تشمل عدا:,باسطة الإصبع,قابضة الإبهام,قابضة الإصبع الصغرى,مقربة الإبهام,,,A,Y1,Anatomy,ABCD,Anatomy,,215,الطبقة الثالثة من عضلات أخمص القدم تشمل عدا:,مقربة الإبهام,قابضة الإبهام,قابضة الإصبع الصغرى,باسطة الإصبع,,✅ OK,A,Y1
26,أي من البنى التالية تعتبر من دعائم الرحم الأساسية:,الرباط الرحمي المستعرض.,الرباط المدور.,الرباط العريض.,الرباط المعلق للمبيض.,ولا واحدة مما علا.,,A,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
826,كل ما يلي صحيح عن الأدمة عدا:,تدعى DERMIS.,تتصل بالأنسجة التي تحتها باللفافة السطحية.,أثخن على الوجه الأمامي للجسم عند النساء.,اعظم ثخانة لها عند الرجال ناحية الظهر.,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
804,يعصب العصب العاشر ما يلى عدا:,أحشاء العنق.,أحشاء الرأس.,أحشاء البطن.,أحشاء الصدر.,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
758,يشكل معبر بين الجذع والمخيخ:,البصلة.,المشول.,الجسر.,الجسم الثفني.,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
210,العصب بين العظمين الساعدي الخلفي: (2007 أولى(,هو أحد فروع الكعبري السطحي .,يرافقه فرع من الشريان الكعبري .,يمتد تحت الجلد .,كل ما ذكر خطأ .,,,d,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
101,يميز النبيب المعوج القريب بما يلي ما عدا :,أطول من النبيب المعوج البعيد,خلايا ظهرية محبة للحمض,ينشأ من القطب الوعائي لمحفظة يومان,نجد في المقطع العرضي 3-5 نوى كروية,,,C,Y2,Histology and Anatomy,ABCDE,Anatomy,,,,,,,,,,,
138,(2018) CAPITULUM,من عظام القدم.,عضلة رأسية بالمرفق.,صفاق مسطح حول الكاحل.,عظم تمفصلي.,,,d,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
924,المنطقة الواقعة بين الفتحة المهبلية والفتحة الشرجية تدعى,العجان,الفرج,دهليز الفرج,البظر,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
613,العصب القحفي المتوسط بإفراز الغدد الدمعية واللعابية:,السابع,الخامس,الثالث,الأول,,,A,Y1,Anatomy,ABCD,Anatomy,,613,العصب القحفي المتوسط بإفراز الغدد الدمعية واللعابية:,الأول,الخامس,الثالث,السابع,,✅ OK,A,Y1
196,تشمل العضلات الأمامية للفخذ عدا:,مربعة الرؤوس الفخذية,المشطية,الخياطية,ثنائية الرؤوس الفخذية,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
911,الطبقة المبطنة للقناة البريخية,عمودية مطبقة كاذبة,انتقالية,أفقية مطبقة,لا شئ مما سبق,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
205,العضلات الحوضية المدورة هي:,كمثرية,سدادية ظاهرة,سدادية باطنة,A + B,,,D,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
54,الطبقة تحت الجلد :,هو نفسه subcutneus tissue,يتألف من loose connective tissue,كل ما سبق صحيح,يقوم بربط الجلد بالنسج المتخمة له,الأول والثاني,,E,Y2,Histology and Anatomy,ABCDE,Anatomy,,,,,,,,,,,
6,في الغدة الدرقية,الخلايا الجربية تأخذ اليود من الدم,T4 أشد فعالية من T3,خلايا C تفرز ثيروغلوبين,A+B,B+C,,D,Y2,Histology and Systemic Anatomy,ABCDE,Anatomy,,,,,,,,,,,
799,الأربطة المعلقة التي تدعم الثدي تدعى أربطة:,كوبر,بوك,كولس,مونتغومري,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
602,ألم الزائدة الدودية يتوضع غالباً في:,الناحية المغبنية اليمنى,الناحية المغبنية اليسرى,الخثلية,لا شيء مما سبق,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
17,تملك الأعصاب معطف ليفي خارجي من النسيج الضام هو :,ال epimysium,ال Perimysium,ال Epineurium,ال perineurium,ال endomysium,,C,Y2,Histology,ABCDE,Anatomy,,,,,,,,,,,
64,في الأعضاء قـ Stroma تعني,النسيج الداعم.,الخلايا المسؤولة عن الوظيفة النوعية للعضو.,تتألف أساساً من Adipose cells,كل ما سبق صحيح.,كل ما سبق خطأ.,,A,Y2,Histology,ABCDE,Anatomy,,,,,,,,,,,
17,تتوضع الفوهة البلعومية لتغير السمع في مستوى:,الردهة الغربالية الوتدية.,الصماخ العلوي.,الصماخ المتوسط.,الصماخ السفلي.,,,D,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
386,. من المفاصل المسطحة,مفصل الركبة,الاخرمي الترقوي,الزندي الكعبري القريب,الزندي الكعبري البعيد,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
139,في مفصل الورك :,رأس عظم الفخذ.,العجز.,الارتفاق العاني:,الرباط المتصالب الامامي.,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
44,يتصف القسم البطني من المري بما يلي ماعدا :,يتراوح طوله بين ٣ -- ٦ سم.,يدخل في منطقة الفؤاد مشكلاً زاوية هيس في الجانب الأيسر من المعدة.,يدخل البطن ضمن الساق الحجابية اليمنى.,يجاوره في الأمام للفص الأيسر للكبد والمبهم الأمامي.,يجاوره في الأيسر زاوية هيس وقاع المعدة.,,B,Y2,Anatomy,ABCDE,Anatomy,,,,,,,,,,,
404,يبدأ الأبهر النازل عند مستوى :,الفقرة الصدرية الرابعة,الفقرة الصدرية السابعة,الفقرة الرقبية السادسة,الفقرة القطنية الأولى,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
305,. الصحيح حول القضبات والرئتين,الرئة اليسرى اكبر من اليمنى,تنفتح القصبة اليمنى بشكل عمودي على الرئة,القصبة اليمنى اطول من اليسرى,تنحشر الاجسام الاجنبية في القصبة اليسرى عادة,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
496,. اي من العضلات الاتية تقوم ببسط الركبة,العضلة مربعة الرؤوس الفخذية,العضلة المشطية العانية,العضلة الخياطية,العضلة ذات الراسين الفخذية,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
