id,input,prediction,ground_truth
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الجلدة,C
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,ال mandible,A
,أين يتوضع الدرز الأكليلي؟,ال sulcus terminalis,A
,ماذا يفعل الرباط المتصالب الأمامي؟,Stabilizes the knee,c
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,ال ثلاث,C
,إلى أي قصبات تتفرع القصبات الفصية؟,ال segmental,C
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,brainstem,C
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,tonsils,C
,على أي من وجوه الكبد يوجد مسكن المرارة؟,ال right,C
,ما هو العصب القحفي الثاني؟,الoptic,A
,ما وظيفة العضلة تحت الكتفية؟,الانRotation,b
,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,Placenta previa,C
,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,ال arachnoid,A
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,الtracts,A
,ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟,corpus cavernosum,B
,ما هي أكبر غدد الجسم؟,الكلية,A
,ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟,renal artery,A
,بماذا ينتهي الشريان الوجهي؟,artery labial,C
,ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟,ال dentin,B
,أين تقع فوهة مصب الجيب الأكليلي؟,major duodenal papilla,C
,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,zygomatic process,B
,أي عصب هو المحرك لعضلات اللسان؟,ال hypoglossal,C
,ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,المنضد,C
,ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟,هرمones,B
,ما هي الزاوية بين قبضة وجسم القص؟,120,A
,من أين يخرج العصب الفكي العلوي من الجمجمة؟,ال foramen rotundum,C
,ما الذي يحدد المنصف العلوي جانبياً؟,الثاني rib,A
,ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟,الخيش,B
,أين ترتكز العضلة العريضة الظهرية؟,الscapula,A
,ما هو القولون الذي يمتد بشكل أفقي؟,الcolon transverse,C
,كم عدد القطع العصعصية في النخاع الشوكي؟,31,D
,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,detrusor,B
,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,مستقبلات,B
,ما اسم الكرة الصغيرة فوق قمة الغضروف؟,ال epiglottis,B
,أين لا توجد الغدد الزهمية؟,ال lips,A
,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟,الوجه,A
,ما هي الزاوية الخلفية السفلية في العظم الجداري؟,ال mastoid notch,A
,ما هو الاسم الآخر لفرع الفك السفلي؟,ال mandibular,C
,ماذا يفعل الرباط المتصالب الأمامي؟,Stabilizes the knee,C
,ما هي الثقبة التي يعبر من خلالها العصب الوجهي؟,ال stylomastoid foramen,A
,ماذا تفرز خلايا بيتا في البنكرياس؟,Insulin,B
,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟,Pericarditis,A
,ما هو القسم من الضلع الواقع بين الرأس والحديبة؟,ال neck,C
,مع أي عظم يتمفصل الظنبوب في الأسفل؟,tibia,C
,أي من العضلات العميقة التالية للمثلث الخلفي للعنق ترتبط بحدبة الأطلس الخلفية؟,Rectus capitis posterior major,A
,ما هو التركيب الذي يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق؟,الnasopharynx,C
,ما هي البنية التي تغطي السطوح الأمامي والإنسي والوحشي للخصية؟,الطبقة التونica,C
,أين يقع موقع الغدة الدرقية؟,الرق,A
,أين تتوضع مستقبلات الشم؟,الepithelium,C
,ما هي طبيعة هرمونات الغدة النخامية؟,بروتins,B
,ما هو مفصل المرفق؟,مفصل الزند,A
,ما هو المكان الذي تنشأ منه العضلة المدورة الكبيرة بشكل أساسي؟,العلية,A
,أين يتوضع الأبهر النازل البطني؟,ال بطن,A
,ما الذي يجاور السطح العلوي لمثانة الرجل؟,ال peritoneum,A
,ما هي عضلة الشهيق الرئيسية؟,العضة diaphragm,A
,ما هو ترتيب دخول التراكيب إلى سرة الكلية من الخلف للأمام؟,"renal fascia, perirenal fat, renal capsule",C
,أين تشاهد التلمة الكعبرية للزند؟,ال fossa,C
,أين تتوضع الثقبة العوراء في اللسان؟,خلف الكلم,A
,ما هو أطول أجزاء الأنبوب الهضمي؟,small intestine,A
,ما هو ترتيب العضلات من الأعلى للأسفل على الناحية الخلفية للألية؟,العضلات of the posterior compartment,A
,ما هي الطبقة المبطنة للتامور الليفي؟,ال serosa,B
,ما هو أطول أجزاء أنبوب الهضم؟,الsmall intestine,B
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,إنسولين,B
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,الرباط of the ovary,C
,ما هو لون لب الكظر؟,أحمر,A
,ما الذي يشكل معظم الكتلة العضلية للسان؟,ال intrinsic muscles,A
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,Fungiform,A
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,العضلات of the back,B
,ما هو أضيق قسم في جذع الدماغ؟,midbrain,C
,أين يقع التلفيف خلف المركزي؟,ال Parietal lobe,B
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,ال postcentral gyrus,A
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,Fungiform,A
,ما هي المجموعة العضلية التي تنتمي إليها العضلة الحرقفية؟,العضلات of the abdomen,A
,ما هو القسم المسؤول عن تنظيم الفعالية الحياتية الذاتية؟,ال hypothalamus,A
,ما هي المادة شبيهة بالهلام التي تشغل أربعة أخماس المقلة؟,الجل,B
,أين تقع أجسام العصبونات التي تفرز الهرمون المضاد للإدرار ADH؟,ال hypothalamus,B
,ما هي العضلات التي لها منشأ عظمي وترتكز على باطن جلد الوجه؟,ال platysma,B
,ما هو مصدر التروية الرئيسية للمعدة؟,الشرية celiac,B
,ما هي أطول أجزاء أنبوب الهضم؟,الsmall intestine,B
,من أين ينشأ الجذع الرئوي؟,ال aorta,A
,ما هو اسم المنعكس الذي يحدث عند رفع الخصية والصفن للأعلى؟,المنعكس cremasteric,B
,ما هو العظم الذي يحتوي على تلم في وجهه السفلي لمرور وتر الشظية الطويلة؟,scapula,A
,ما هي المنطقة المتوسطة من نواحي البطن؟,ال mesogastrium,C
,ما الذي يصل بين الأذينة اليسرى والبطين الأيسر؟,ال mitral valve,B
,ما الذي يعطي الرباط الحرقفي القطني منشأ له؟,ال sacral,A
,ماذا يحفز ACTH إفرازه؟,CRH,B
,ما هو أكثر أقسام الإحليل قابلية للتمدد وأعرضها؟,bulb,A
,مما يتكون الزنار الحوضي؟,الزنج,A
,أين تقع الباحة الحركية الأولية؟,الfrontal lobe,B
,ما هي العضلة المسؤولة عن قبض الفخذ وقبض الساق؟,العضلة السارت,A
,أين تتوضع الغدة تحت الطية اللسانية؟,under the tongue,C
,أين يتوضع السرج التركي؟,ال base of the skull,B
,ما هو القسم مع الضلع الواقع بين الرأس والحدبية؟,neck,C
,كم عدد شدف النخاع الشوكي؟,31,A
,ما هي العضلة الموسعة المسؤولة عن فتح الحنجرة؟,Posterior cricoarytenoid,B
,ما يُدعى القسم العلوي المتسع من الحالب؟,ال pelvis,A
,أين توجد نقطة التعظم البدئية في لوح الكتف؟,ال acromion,B
,ما هو الشريان الذي يستمر به الشريان تحت الترقوة؟,ال subclavian artery,A
,ما هو الشريان الذي يمكن الشعور بنبضه عند الحافة السفلية للفك السفلي أمام العضلة الماضغة؟,ال facial artery,B
,ما هو الشريان الذي يعتبر الشريان المخي الخلفي فرعاً منه؟,ال vertebral,A
,ما هو أكبر أعضاء الجسم وزناً ومساحة؟,الجلد,B
,ما الذي يشكله نصفا الكرة المخية مع الدماغ البيني؟,forebrain,A
,ما هو اسم الحافة اليسرى للمعدة التي تمتد من الفؤاد إلى البواب؟,المنع,C
,ما هو مصدر نشأة الشريان الشوكي الأمامي؟,ال vertebral artery,A
,أين يقع الثرب الصغير؟,ال brainstem,A
,أين تقع صفيحة الأكيمات؟,small intestine,A
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,ال postcentral gyrus,A
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,الtracts,A
,ما نوع المفصل الحلقي الطرجهالي؟,gliding,B
,ما هو رقم العصب الحركي للعضلات الماضغة؟,V,B
,كم عدد فصيصات الخصية؟,250,A
,أين ترتكز العضلة الأخمعية الخلفية بوتر رقيق؟,ال mandible,A
,أين يتوضع الثلم المهمازي؟,ال brainstem,A
,ما هي المنطقة التي يقع بينها القسيم العضلي (sarcomere)؟,Z lines,D
,ما الذي تنتجه الخلايا المجاورة للجريبات في الدرق؟,ثيرoid,C
,ما الذي تتحول إليه الوحيدات Monocytes بعد مغادرتها الدوران؟,Macrophages,A
,ما هو الشريان الذي ينتهي به الشريان الوجهي؟,الوجه,C
,أين يتوضع الثلم المهمازي؟,ال brainstem,A
,ما هو العصب القحفي الذي يحمل التعصيب نظير الودي للقلب؟,ال vagus,C
,ما هي العضلة التي يمر العصب تحت اللساني في الناحية تحت الفك عميقاً منها؟,العضة,E
,تحت أي قسم من أقسام التشريح يندرج التنبيب الرغامي؟,Anatomy of the digestive system,C
,ما هي العظام التي يتشكل منها مفصل الركبة؟,"الفخذ, tibia, patella",A
,ما هي الحركة الخاصة بالساعد؟,supination,A
,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,gallbladder,B
,ماذا تشكل الصفيحتان السفليتان للشفرين الصغيرين عند اتحادهما؟,prepuce,A
,ما هي الانطباعات التي توجد على العظم الجداري؟,impressions,B
,ما هو العصب الحركي للعضلات الماضغة؟,ال third,B
,أين يقع الشق الحجاجي السفلي؟,ال fissura orbitalis inferior,A
,ما هو العضو المتخصص بتشكيل الصوت والتدخل بالدور في الكلام؟,الجهاز,B
,ما هي حركة الركبة للخلف بمستوى سهمي؟,الانثناء,A
,ما هو العصب القحفي المتواسط بإفراز الغدد الدمعية واللعابية؟,ال seventh,A
,أين تتوضع الصفيحة الأفقية للعظم الغربالي؟,ال nasal,C
,ما هو لون لب الكظر؟,أحمر,A
,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,endocranial,B
,ما هو لون لب الكظر؟,أحمر,A
,ما هي اللفافة التي تحيط بجسم القضيب؟,البوق,A
,ما هي العضلة التي تعد من العضلات الوحشية للساق وقد تعد من العضلات الأمامية للساق؟,الفيبularis longus,C
,ما هو أول ما يتأثر من الخلايا الكبدية في حالة الإصابة بنقص الأكسجة؟,الخلايا,B
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,العضلات of the back,B
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الجلدة,C
,من أين يتفرع الشريان الأكليلي الأيمن والأيسر؟,subclavian artery,A
,متى ينشأ برزخ الأبهر؟,When the diaphragm descends,C
,ما هو أصغر الفروع الأمامية للأبهر البطني؟,superior epigastric,C
,ما هي الألياف التي تربط التلافيف والفصوص في نصف كرة مخية واحد؟,U-fibers,B
,ما هي ميزابة النبض بين أوتار العضلات؟,Interosseous,A
,ما هو الوريد السطحي الذي يشكل الابطي؟,ال great saphenous,A
,ماذا تفرز الخلايا ألفا في البنكرياس؟,غلوكagon,A
,ما هو اسم أعمق الانخفاضات في الصيوان؟,sulcus,A
,ما هي وظيفة هرمون الغدة جار الدرقية PTH؟,زيادة calcium,A
,ما الذي يمتد من المنخر حتى المنعر؟,الnasopharynx,C
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,ال foramen,C
,أين تتوضع الطية المخملة؟,ال floor of the mouth,B
,ما هو الهرمون الذي يفرز PTH؟,Parathyroid hormone,A
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,إنسولين,B
,ما هي العضلات التي تعمل على توازن الرأس على الجذع؟,العضلات of the neck,C
,من أين يخرج العصب الوجهي من الجمجمة؟,الستهم,A
,ما الذي يتصل به المدورين بالخلف في الفخذ؟,ال gluteus maximus,B
,أين يدخل الحالبان المثانة؟,الثقب,A
,ما هي الباحة المسؤولة عن حركات العين؟,الpons,D
,ما هو الشريان الذي ينشأ منه الجذع المشترك للشريان بين العظمين؟,subclavian artery,A
,ما هو وجه عظم الترقوة الذي عليه ميزابة طولانية؟,superior,B
,من أين يفرز الغلوكاغون؟,البنكريas,B
,ما هي الطبقة المبطنة للتامور الليفي؟,ال serosa,B
,ما هو معنى التوسع في نهاية الأسهر؟,dilatation,A
,كم عدد فقرات الجزء الصدري من العمود الفقري؟,12,B
,من أين ينتج هرمون الأستروجين؟,المرارة,B
,ما هي الفروع الانتهائية للسباني الخارجي؟,ال facial artery,C
,ما هو مصدر التعصيب الحركي لعضلات الظهر العميقة؟,الضفيرة,B
,ما هو الجيب الوريدي الذي يصب في الوريد الوداجي الباطن؟,ال jugular,C
,أين يتوضع العظم الكتفي؟,ال shoulder,A
,ما هي المنطقة الأعمق في الغدة الكظرية؟,ال medulla,A
,ما الذي يقع بين النواة العدسية من جهة والنواة والمهاد من الجهة الأخرى؟,internal capsule,C
,ما الذي ينفتح على القرين الأنفي العلوي؟,ال duct,A
,أين يمكن إجراء الحقن العضلي في القسم العلوي؟,الكت,B
,أين تتوضع الاحدوبة الدالية في العضد؟,ال humerus,B
,ما هو أكبر الجيوب جانب الأنف؟,maxillary,A
,ما هو العصب المحرك لعضلات اللسان؟,الهيو,C
,ما الذي يتوضع تحت الخط الضرسي اللامي؟,الinguinal ligament,C
,ما هي الطبقة المحيطة بالقلب والمرتبطة به؟,الطبقة,C
,ما هو الشريان الذي ينشأ منه الشريان الزاوي؟,ال شريان ophthalmic,A
,ما هو تشكل الوريد المأبضي؟,ال union of the internal iliac vein,A
,ما هي المنطقة الأعمق في قشر الكظر؟,ال reticularis,C
,أين يقع التلم الوحشي؟,ال sulcus,A
,أين يصب الوريد الكلوي؟,vena cava,C
,أين ترتكز العضلة المدورة الصغيرة؟,ال scapula,e
,ما هو الجزء من البلعوم الذي يتبعه الردب الكمثري؟,ال oropharynx,C
,كم عدد الأعصاب القحفية؟,12,B
,أين تتوضع نواة العصب العاشر؟,ال medulla,B
,ما هو العنصر الذي يجاور الرغامي من الخلف؟,الغدة submandibular,C
,ما هو العصب القحفي الذي يجتاز النفق الصدري؟,ال thoracodorsal,B
,ما هو العظم الأضخم في هيكل القدم؟,calcaneus,B
,أين يوجد النفير البلعومي السمعي؟,ال pharynx,C
,ما الذي يحد فتحة وينسلو من الأسفل؟,العضل hyoglossus,B
,ما يُسمى الوجه الأمامي للوح الكتف؟,ال acromion,C
,ما هو الشريان الذي يروي القولون الصاعد؟,ال شريان colic,C
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الجلدة,C
,ما يُدعى القسم العلوي المتسع من الحالب؟,ال pelvis,C
,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟,الجلوتis,C
,ما هي الطبقة من الكظر التي تتألف من حبال مقوسة من خلايا عمودية متقاربة؟,ال zona reticularis,A
,ما هي الخلايا التي تتوضع في اللحمة بين النبيبات؟,الخلايا النجمية,B
,ما هو السطح الخلفي للفخذ تحت المدور الكبير؟,الثقب,B
,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,gallbladder,B
,ما هو الشريان الذي يروي معظم الوجه الوحشي للمخ؟,ال middle cerebral artery,B
,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟,الجلوتis,C
,ما هو العصب القحفي الذي يعبر الثقبة البيضية؟,الثال,C
,ما هو الهرمون الذي يسبب دفقه الشديد حدوث عملية الإباضة؟,LH,A
,ما هو الهرمون الذي يستهدف الدرق ويحفز إفراز الهرمون الدرقي؟,TSH,C
,ما هي أكبر عقدة مفردة من النسيج اللمفاوي؟,الطحال,B
,ما هي العضلة الرئيسية المسؤولة عن قبض المرفق؟,الثن,A
,ما هي التراكيب التي توجد على حافتي اللسان وتحوي براعم ذوقية كثيرة؟,الزغ,C
,ما هي الشعيرات الدموية التي تغلفها محفظة بومان؟,ال glomerulus,B
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ال condyloid,B
,ما الذي تغلفه العضلة البصلية الإسفنجية؟,ال urethra,C
,من أين يخرج العصب الشوكي؟,ال foramen,A
,ما هي الألياف التي تعصب العضلة مصرة الحدقة؟,ال parasympathetic,B
,ما هو البطين الذي يحويه الدماغ البيني داخله؟,Third,C
,ما الذي يشغل الجزء العلوي من قبة القحف؟,ال brain,A
,ما هو العصب الذي يعصب الغدة النكفية؟,ال عصب glossopharyngeal,C
,من أين يخرج العصب تحت اللساني؟,ال foramen stylomastoid,A
,ما هي الخلايا البالعة الكبدية؟,خلايا كوبر,C
,أين يصب الوريد الصافن الكبير (الأنسي)؟,الوريد الفيمal,A
,ما هو الشريان الذي يستمر به الريان تحت الترقوة؟,ال axillary,A
,ما تُدعى الردب بين عنق الرحم والمهبل؟,الvaginal fornix,C
,في أي مستوى من الفقرات الصدرية يتم التمفصل بين قبضة وجسم القص؟,T2,C
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,الرباط of the ovary,C
,ما هي العضلة التي تنشأ من الشوكة الحرقفية الأمامية العلوية وترتكز انسي الظنبوب؟,العضلة sartorius,C
,ما هي الطبقة البطانية الرحمية التي تتعرض إلى تغيرات ملحوظة أثناء الدورة الشهرية؟,الطبقة functional,A
,ما هو موقع مستقبلات الضغط المسؤولة عن المنعكس القلبي التثبيطي؟,carotid sinus,B
,ما هو أكبر أعضاء الجسم وزناً ومساحة؟,الجلد,B
,ما هي البنية الأكثر علواً في جذر الرئة اليسرى؟,ال عرق,A
,ما هو المكان الذي يعبر من خلاله الشريان السحاني الأوسط؟,ال sulcus,C
,ما هو الجوف الهوائي الذي يحوي عظيمات السمع؟,ال temporal,C
,ما هي وظيفة النهايات العصبية الحرة الواردة ضمن ألياف العضلة القلبية؟,sensory,C
,ما هي الخلايا التي تخزن فيتامين A في الكبد؟,خلايا ستار,B
,من أين يحمل الشريان الرئوي الدم غير المؤكسج؟,ال heart,C
,ما هو العصب القحفي الثاني؟,الoptic,A
,ما هو العظم الذي تنتمي إليه الثلمة الاسكية الصغيرة؟,ال frontal,B
,ما هو الغضروف المرتبط مع الحلقة الرغامية الأولى؟,ال hyoid,A
,ما هو المفصل الذي يتألف من سطحين كل منهما محدب في اتجاه ومقعر في اتجاه آخر؟,saddle joint,A
,ما هو أكبر أعصاب الجسم؟,العصب sciatic,D
,كم عدد العضلات بين العظمية الأخمصية؟,three,A
,أين ينتهي الأبهر النازل؟,ال bifurcation,C
,ما هي المراكز المسؤولة عن تنسيق الفعالية الحركية وضمان الثباتية؟,basal ganglia,A
,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,endocranial,B
,أين ينفتح الجيب الفكي؟,الأنف,C
,ما هو أكبر أقسام المعثكلة؟,الثyroid,A
,ما هي الحدود التشريحية للحجرة الخلفية للعين؟,ال bone,A
,أين ترتكز العضلة الشظوية القصيرة؟,ال scapula,A
,ما هي المنطقة في الحنجرة التي تشمل الطيتين الصوتيتين والمسافة بينهما؟,ال glottis,A
,أين تقع الوهدة في البلعوم؟,ال nasopharynx,B
,ما هي الغدة التي تتوضع تحت الطية اللسانية؟,الثيم,C
,ما هو العصب الذي ينتقل عبره الحس غير العام (حس الذوق) من الثلث الأمامي للسان؟,ال facial,A
,ماذا يروي المساريقي العلوي؟,ال colon,A
,ما هي المنطقة الأعمق من قشر الكظر؟,ال medulla,C
,ما هي الفقرة التي تحتوي على ثقبة فقرية كبيرة ومثلثية الشكل؟,C2,A
,ما هو لون قشر الكظر؟,أصفر,C
,ما هو النسيج الضام الليفي الذي يرتكز حول السطوح المفصلية؟,الcapsule,A
,كم عدد شدف النخاع الشوكي؟,31,A
,ما هو التصريف اللمفاوي للثلث الخلفي للسان؟,ال jugular,E
,ما هي الغدة التي تقوم بإفراز الميلاتونين؟,ال pineal,C
,ما هو الشريان الذي له انطباعات على الوجه الداخلي للعظم الصدغي وهو فرع من أي شريان؟,Middle meningeal artery,A
,ما هو التصنيف الذي يمكننا من معرفة العضلات التي تشارك في كل مرحلة مفصلية وتطبيق ذلك أثناء الفحص؟,تصنيف العضلات,A
,ما هي الشرايين التي تسير بين الفصوص بإتجاه القشرة على كل جانب من جانبي الهرم الكلوي؟,arteries of the renal capsule,B
,ما هو الدواء الأمثل لبدء التخدير لمريض مصاب بنزف حاد؟,ketamine,E
,ما هو المخدر الذي يتميز بالمباشرة والصحو السريعين؟,بروفول,E
,ما هو الدواء الأمثل لبدء التخدير لمريض مصاب بنزف رضي حاد؟,ketamine,C
,ما هو المرخي العضلي الأمثل لتسهيل تنبيب مريض ذي خطورة عالية للاستنشاق؟,روكuronium,A
,ما هو الترياق المناسب للتسمم بالمورفين؟,نالوكسون,A
,ما الذي يشير إليه بقاء عيني المريض مفتوحتين مع رأرأة خفيفة وحركات غير هادفة بعد إعطائه جرعة من الكيتامين؟,Dissociative anesthesia,E
,ما هو الدواء المنتخب للإرخاء العضلي والتنبيب لمريض يعاني من قصور كلوي ويحتاج لعملية إسعافية؟,سكساميثوني,C
,ما هو المرخي العضلي المفضل استعماله لمريض سيخضع لجراحة إسعافية ويعاني من قصور كلوي؟,Cisatracurium,B
,ماذا يفكك الببسين؟,البروتين,B
,ما التعبير الصحيح لوصف جزيئات الإيثين في تفاعل تشكيل البولي إيثين؟,monomer,A
,ماذا يسبب عوز إنزيم البيروفات كيناز؟,نقص pyruvate kinase,A
,ماذا ندعو آلية تفاعل الكلور مع البروبان في ضوء الشمس لإنتاج 1-كلورو بروبان؟,الحلوجنة,B
,ما هي الاسطوانات المنحنية التي تكون سهلة التمييز لمحتواها الكاسر للضوء؟,ال villi,B
,ما هي الحموض الأمينية المشحونة سلبياً؟,حمض glutamic,B
,ما هي أعراض عوز فيتامين البيوتين؟,تساقط الشعر,D
,ما هي مفرزات الصفراء؟,المرارة,C
,ما هي خصائص الشجرة الوراثية لخلة متنحية جسدية فيها الأبوين مصابين؟,100%,B
,ما هي النواتج المتشكلة عند تفاعل معدن الصوديوم مع الإيثانول؟,إيثوكسيد,A
,ما هي خصائص أنزيم RNA Polymerase؟,تسلسل-dependent,A
,ما هو النكليوتيد في جزيء DNA؟,نوكليoside,A
,ما هو فيتامين البيوتين؟,فيتامين B7,B
,ما هي حالة عدم تحمل اللاكتوز؟,عدم تحمل اللاكتوز,B
,ما هو اسم الاستر المتشكل عندما يتفاعل الميتانول مع حمض البوتانوئيك بوجود بضع قطرات من حمض الكبريت المركز؟,ميثyl butanoate,B
,ما هو سبب الوفاة لدى مرض التلاسيميا؟,Iron overload,C
,ما هي الصبغيات التي يوجد فيها الكروماتين المغاير؟,X and Y,A
,ما المركب الذي ينقص منه نتيجة التأخر في فصل البلازما أو المصل من الكريات في الدم؟,الفيبرين,D
,ما هو المركب الذي يستخدم كزمرة ملحقة لجميع الإنزيمات الناقلة الزمرة الأمين؟,Coenzyme A,C
,ما هو العلاج الثاني لمرض الثلاسيميا بيتا؟,العلاج,D
,ما هو الاضطراب الذي يتميز بفرط شديد في بيليروبين المصل غير المرتبط وعوز جزئي في UDPGT؟,Crigler-Najjar syndrome,C
,ما هو سبب الوفاة لدى مرضى التلاسيميا؟,Iron overload,C
,ماذا يسبب عوز الثيامين الشديد؟,Wernicke's encephalopathy,D
,كم يبلغ عدد الجينات التي تشفر لجزيئات الرنا الأصغري miRNAs في مجين الإنسان؟,1000,C
,أين يتم اصطناع الدقائق الكيلوسية؟,الخلايا المصلية,D
,ما هو الإنزيم الذي يتم بوساطته ربط شدف أوكازاكي؟,DNA ligase,B
,ما هو أكثر الأنزيمات فعالية تحفيزية في جسم الإنسان؟,كربوهydrase,B
,ما هو الشكل الفعال لفيتامين B6؟,Pyridoxal phosphate,C
,ما هو الموقع الطبيعي للجين الورمي ABL؟,9q34,B
,كم عدد طبقات الفوسفولبيد في المذيلة؟,one,C
,ما هو التركيب الذي يدخل فيه الكولاجين 4؟,ال basement membrane,B
,ما الذي تؤدي إليه استلة الهيستونات؟,تخليق,A
,ما هي الخصائص التي تتميز بها شجرة النسب الحاوية على حالة وراثة متعلقة بالمتقدرات والأم فقط فيها مصابة؟,ماتrilineal,C
,ما هو الحمض الأميني الذي تتم أستلة الهستونات له؟,Acetylation,C
,ما هي المكونات التي تتألف منها الفوسفولبيدات بالإضافة إلى حمضين دسمين والفوسفات؟,glycerol,D
,ما هي الوظيفة الوحيدة لسيغما في إنزيم بوليمراز RNA البكتيري؟,Cleavage,D
,ما هي الأجزاء التي تتبادل بينها الإشارات الجزيئية التي يعتمد عليها ضبط النظام الخلوي الجذعي؟,الخلايا,C
,ما تدعى البروتينات المشكلة لمعقدات الثقوب النووية؟,نوكleoporins,D
,كيف تتم إزالة المتقدرات الحاوية على طفرات بالية؟,Mitophagy,B
,ما هو عامل الإطلاق في حقيقيات النوى؟,البروتين,C
