id,input,prediction,ground_truth,judge_label
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,ANSWER: Longus,B,Incorrect
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,ANSWER: Prepuce,C,Correct
,من أين يتفرع الشريان الأكليلي الأيمن والأيسر؟,ANSWER: The arch,A,Incorrect
,متى ينشأ برزخ الأبهر؟,ANSW: During embryonic development,C,Incorrect
,ما هو أصغر الفروع الأمامية للأبهر البطني؟,ANSWER: The superior epigastric,C,Incorrect
,ما هي الألياف التي تربط التلافيف والفصوص في نصف كرة مخية واحد؟,ANSWER: White matter,B,Incorrect
,ما هي ميزابة النبض بين أوتار العضلات؟,ANSW,A,Incorrect
,ما هو الوريد السطحي الذي يشكل الابطي؟,ANSWER: The great saphenous vein,A,Incorrect
,ماذا تفرز الخلايا ألفا في البنكرياس؟,ANSWER: Glucagon,A,Correct
,ما هو اسم أعمق الانخفاضات في الصيوان؟,ANSWER: The fossa,A,Incorrect
,ما هي وظيفة هرمون الغدة جار الدرقية PTH؟,ANSWER: Regulation of calcium,A,Correct
,ما الذي يمتد من المنخر حتى المنعر؟,ANSWER: Nasopharynx,C,Incorrect
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,ANSWER: The vertebral foramen,C,Correct
,أين تتوضع الطية المخملة؟,ANSWER: On the posterior surface of the tongue,B,Incorrect
,ما هو الهرمون الذي يفرز PTH؟,ANSWER: Parathyroid,A,Incorrect
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,ANSWER: Insulin,B,Correct
,ما هي العضلات التي تعمل على توازن الرأس على الجذع؟,ANSWER: Muscles of the neck,C,Incorrect
,من أين يخرج العصب الوجهي من الجمجمة؟,ANSW: The stylomastoid foramen,A,Correct
,ما الذي يتصل به المدورين بالخلف في الفخذ؟,ANSWER: The muscle,B,Incorrect
,أين يدخل الحالبان المثانة؟,ANSWER: At the trigone,A,Correct
,ما هي الباحة المسؤولة عن حركات العين؟,ANSWER: Area 8,D,Correct
,ما هو الشريان الذي ينشأ منه الجذع المشترك للشريان بين العظمين؟,ANSWER: Brachiocephalic,A,Incorrect
,ما هو وجه عظم الترقوة الذي عليه ميزابة طولانية؟,ANSWER: The lateral,B,Incorrect
,من أين يفرز الغلوكاغون؟,ANSWER: Alpha cells,B,Correct
,ما هي الطبقة المبطنة للتامور الليفي؟,ANSWER: Mesothelium,B,Incorrect
,ما هو معنى التوسع في نهاية الأسهر؟,ANSWER: Temporal lobe epilepsy,A,Incorrect
,كم عدد فقرات الجزء الصدري من العمود الفقري؟,ANSWER: 12,B,Correct
,من أين ينتج هرمون الأستروجين؟,ANSWER: Ovar,B,Correct
,ما هي الفروع الانتهائية للسباني الخارجي؟,ANSWER: Nerve to the obliques,C,Incorrect
,ما هو مصدر التعصيب الحركي لعضلات الظهر العميقة؟,ANSWER: Nerves,B,Incorrect
,ما هو الجيب الوريدي الذي يصب في الوريد الوداجي الباطن؟,ANSWER: Veins,C,Incorrect
,أين يتوضع العظم الكتفي؟,ANSWER: Between the scapula,A,Incorrect
,ما هي المنطقة الأعمق في الغدة الكظرية؟,ANSWER: Medulla,A,Correct
,ما الذي يقع بين النواة العدسية من جهة والنواة والمهاد من الجهة الأخرى؟,ANSWER: Thalamus,C,Incorrect
,ما الذي ينفتح على القرين الأنفي العلوي؟,ANSW,A,Incorrect
,أين يمكن إجراء الحقن العضلي في القسم العلوي؟,ANSWER: Deltoid,B,Correct
,أين تتوضع الاحدوبة الدالية في العضد؟,ANSWER: Lateral epicondyle,B,Incorrect
,ما هو أكبر الجيوب جانب الأنف؟,ANSWER: The maxillary sinus,A,Correct
,ما هو العصب المحرك لعضلات اللسان؟,ANSWER: Hypoglossal,C,Correct
,ما الذي يتوضع تحت الخط الضرسي اللامي؟,ANSWER: The lac,C,Incorrect
,ما هي الطبقة المحيطة بالقلب والمرتبطة به؟,ANSWER: Pericardium,C,Correct
,ما هو الشريان الذي ينشأ منه الشريان الزاوي؟,ANSWER: The first part of the aortic,A,Incorrect
,ما هو تشكل الوريد المأبضي؟,ANSWER: Formation,A,Incorrect
,ما هي المنطقة الأعمق في قشر الكظر؟,ANSWER: The zona reticular,C,Correct
,أين يقع التلم الوحشي؟,ANSWER: On the lateral surface,A,Correct
,أين يصب الوريد الكلوي؟,ANSWER: into the inferior vena,C,Correct
,أين ترتكز العضلة المدورة الصغيرة؟,ANSWER: On the scapula,e,Incorrect
,ما هو الجزء من البلعوم الذي يتبعه الردب الكمثري؟,ANSW,C,Incorrect
,كم عدد الأعصاب القحفية؟,ANSWER: Twelve,B,Correct
,أين تتوضع نواة العصب العاشر؟,ANSWER: Nucleus ambigu,B,Correct
,ما هو العنصر الذي يجاور الرغامي من الخلف؟,ANSWER: The pharyngeal,C,Incorrect
,ما هو العصب القحفي الذي يجتاز النفق الصدري؟,ANSWER: Phrenic,B,Incorrect
,ما هو العظم الأضخم في هيكل القدم؟,ANSW: Calc,B,Incorrect
,أين يوجد النفير البلعومي السمعي؟,ANSWER: The pharyngeal,C,Incorrect
,ما الذي يحد فتحة وينسلو من الأسفل؟,ANSWER: The thyroid cartilage,B,Incorrect
,ما يُسمى الوجه الأمامي للوح الكتف؟,ANSWER: The anterior,C,Incorrect
,ما هو الشريان الذي يروي القولون الصاعد؟,ANSWER: Ileocolic,C,Incorrect
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,ANSWER: Prepuce,C,Correct
,ما يُدعى القسم العلوي المتسع من الحالب؟,ANSW,C,Incorrect
,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟,ANSWER: The glottis,C,Correct
,ما هي الطبقة من الكظر التي تتألف من حبال مقوسة من خلايا عمودية متقاربة؟,ANSW: The zona fasciculata,A,Incorrect
,ما هي الخلايا التي تتوضع في اللحمة بين النبيبات؟,ANSWER: Cells,B,Incorrect
,ما هو السطح الخلفي للفخذ تحت المدور الكبير؟,ANSWER: The fossa,B,Incorrect
,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,ANSWER: The gall,B,Incorrect
,ما هو الشريان الذي يروي معظم الوجه الوحشي للمخ؟,ANSWER: Middle cerebral artery,B,Correct
,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟,ANSWER: The glottis,C,Correct
,ما هو العصب القحفي الذي يعبر الثقبة البيضية؟,ANSWER: V,C,Incorrect
,ما هو الهرمون الذي يسبب دفقه الشديد حدوث عملية الإباضة؟,ANSWER: Luteinizing hormone,A,Correct
,ما هو الهرمون الذي يستهدف الدرق ويحفز إفراز الهرمون الدرقي؟,ANSWER: TSH,C,Correct
,ما هي أكبر عقدة مفردة من النسيج اللمفاوي؟,ANSWER: The spleen,B,Incorrect
,ما هي العضلة الرئيسية المسؤولة عن قبض المرفق؟,ANSWER: Brachialis,A,Correct
,ما هي التراكيب التي توجد على حافتي اللسان وتحوي براعم ذوقية كثيرة؟,ANSW: Fungiform,C,Incorrect
,ما هي الشعيرات الدموية التي تغلفها محفظة بومان؟,ANSW: Capillary,B,Incorrect
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ANSW: The angle,B,Incorrect
,ما الذي تغلفه العضلة البصلية الإسفنجية؟,ANSW: The muscle,C,Incorrect
,من أين يخرج العصب الشوكي؟,ANSWER: The intervertebral foramen,A,Correct
,ما هي الألياف التي تعصب العضلة مصرة الحدقة؟,ANSW: Nerve fibers,B,Incorrect
,ما هو البطين الذي يحويه الدماغ البيني داخله؟,ANSW: Third,C,Correct
,ما الذي يشغل الجزء العلوي من قبة القحف؟,ANSWER: The frontal sinus,A,Incorrect
,ما هو العصب الذي يعصب الغدة النكفية؟,ANSWER: The facial nerve,C,Incorrect
,من أين يخرج العصب تحت اللساني؟,ANSWER: The foramen,A,Incorrect
,ما هي الخلايا البالعة الكبدية؟,ANSWER: Kupffer cells,C,Correct
,أين يصب الوريد الصافن الكبير (الأنسي)؟,ANSWER: The great saphenous vein,A,Incorrect
,ما هو الشريان الذي يستمر به الريان تحت الترقوة؟,ANSWER: Subclavian,A,Incorrect
,ما تُدعى الردب بين عنق الرحم والمهبل؟,ANSWER: Fossa,C,Incorrect
,في أي مستوى من الفقرات الصدرية يتم التمفصل بين قبضة وجسم القص؟,ANSWER: T2,C,Incorrect
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,ANSW: Ligament,C,Incorrect
,ما هي العضلة التي تنشأ من الشوكة الحرقفية الأمامية العلوية وترتكز انسي الظنبوب؟,ANSWER: Sartorius,C,Correct
,ما هي الطبقة البطانية الرحمية التي تتعرض إلى تغيرات ملحوظة أثناء الدورة الشهرية؟,ANSWER: Endometrium,A,Correct
,ما هو موقع مستقبلات الضغط المسؤولة عن المنعكس القلبي التثبيطي؟,ANSWER: Carotid sinus,B,Correct
,ما هو أكبر أعضاء الجسم وزناً ومساحة؟,ANSWER: Skin,B,Correct
,ما هي البنية الأكثر علواً في جذر الرئة اليسرى؟,ANSWER: The hilum,A,Incorrect
,ما هو المكان الذي يعبر من خلاله الشريان السحاني الأوسط؟,ANSWER: The foramen,C,Incorrect
,ما هو الجوف الهوائي الذي يحوي عظيمات السمع؟,ANSWER: Mastoid air cells,C,Incorrect
,ما هي وظيفة النهايات العصبية الحرة الواردة ضمن ألياف العضلة القلبية؟,ANSWER: Detection of stretch,C,Incorrect
,ما هي الخلايا التي تخزن فيتامين A في الكبد؟,ANSWER: Cells,B,Incorrect
,من أين يحمل الشريان الرئوي الدم غير المؤكسج؟,ANSW: The right ventricle,C,Correct
,ما هو العصب القحفي الثاني؟,ANSWER: Optic,A,Correct
,ما هو العظم الذي تنتمي إليه الثلمة الاسكية الصغيرة؟,ANSWER: Temporal,B,Incorrect
,ما هو الغضروف المرتبط مع الحلقة الرغامية الأولى؟,ANSWER: Epiglottic,A,Incorrect
,ما هو المفصل الذي يتألف من سطحين كل منهما محدب في اتجاه ومقعر في اتجاه آخر؟,ANSWER: Joint,A,Incorrect
,ما هو أكبر أعصاب الجسم؟,ANSWER: Sciatic,D,Correct
,كم عدد العضلات بين العظمية الأخمصية؟,ANSWER: 33,A,Incorrect
,أين ينتهي الأبهر النازل؟,ANSWER: At the bifurcation,C,Correct
,ما هي المراكز المسؤولة عن تنسيق الفعالية الحركية وضمان الثباتية؟,ANSWER: Basal ganglia,A,Incorrect
,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,ANSWER: The frontal,B,Incorrect
,أين ينفتح الجيب الفكي؟,ANSWER: Into the maxillary sinus,C,Incorrect
,ما هو أكبر أقسام المعثكلة؟,ANSW,A,Incorrect
,ما هي الحدود التشريحية للحجرة الخلفية للعين؟,ANSWER: The optic nerve,A,Incorrect
,أين ترتكز العضلة الشظوية القصيرة؟,ANSWER: On the lateral surface of the scap,A,Incorrect
