ID,QUESTION,GROUND TRUTH,MODEL,PREDICTION,LABEL
,,,gemma3_27b_it,قوس الأبهر,
,,,gpt52,قوس الأبهر,
,,,jais,الشريان السباتي المشترك الأيسر ينشأ من:,
,,,llama31_8b_inst,الأوعية الكبيرة.,
,,,llama33_70b_inst,الشرايين القلبيتان,
,,,med42,من الشريان الأورطي البطني الأيسر,
,,,medgemma,قوس الأبهر,
,,,meditron,من الشريان الأورطي.,
,,,mistral_7b,عضلة الشريان العظمية السباتي الأيسر,
,,,mistral_small,قوس الأبهر,
,,,silma,من الشريان الأورطي,
33,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,الثقبة الشوكية,allam_7b_inst_prev,الثقبة الوداجية,
,,,aya_expanse_8b,القناة السحائية الوسطى,
,,,claude,الثقبة الشوكية (Foramen spinosum),
,,,deepseek,الثقبة الشوكية,correct
,,,falcon,تحت القوس الصدري الأيمن,
,,,fanar,,
,,,gemini,الثقبة الشوكية,correct
,,,gemma3_27b_it,التلم السحائي الوسطي,
,,,gpt52,الثقبة الشوكية,correct
,,,jais,السرة الدماغية الوسطى,
,,,llama31_8b_inst,الفتحة العمياء,
,,,llama33_70b_inst,النقرة السحائية الوسطى,
,,,med42,الثقبة السحائية الكبيرة,
,,,medgemma,الشق الشرياني,
,,,meditron,الثقبة العظمية السحائية.,
,,,mistral_7b,عضلة الجنين الأوسط,
,,,mistral_small,الشق الكروي,
,,,silma,منطقة الجذع الدماغي,
45,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,بين الجنين والمهبل.,allam_7b_inst_prev,تحتية,
,,,aya_expanse_8b,خارج الرحم,
,,,claude,القطعة السفلية من الرحم,
,,,deepseek,في الجزء السفلي من الرحم,
,,,falcon,خارج الرحم,
,,,fanar,one concise line.,
,,,gemini,الجزء السفلي من الرحم,
,,,gemma3_27b_it,انخفاض المشيمة,
,,,gpt52,القطعة السفلية للرحم,
,,,jais,المشيمة قد تكون منخفضة بشكل كبير أو متقدمة.,
,,,llama31_8b_inst,في قاع الرحم.,
,,,llama33_70b_inst,في خارج الرحم,
,,,med42,في الجزء السفلي من الرحم,
,,,medgemma,في الجزء السفلي من الرحم,
,,,meditron,في الجزء السفلي من الرحم.,
,,,mistral_7b,فوق العين العلوية,
,,,mistral_small,خارج الرحم,
,,,silma,ارتكاز المشيمة المعيب,
47,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,إسقاطية,allam_7b_inst_prev,الألياف القشرية الشبكية,
,,,aya_expanse_8b,ألياف ورنية (Axons),
,,,claude,ألياف الإسقاط (Projection fibers),
,,,deepseek,الألياف الهابطة,
,,,falcon,الألياف تحت القشرية,
,,,fanar,line.,
,,,gemini,الألياف الإسقاطية,
,,,gemma3_27b_it,عصبونات حركية علوية,
,,,gpt52,الألياف الإسقاطية,
,,,jais,الألياف الارتدادية,
,,,llama31_8b_inst,النسيج المخطط,
,,,llama33_70b_inst,الألياف القشرية المحيطية,
,,,med42,ألياف قشرية-محيطية (Cortico-Cingulate fibers),
,,,medgemma,ألياف العصب المحيطي,
,,,meditron,الألياف القشرية المحيطية.,
,,,mistral_7b,الألياف الشبكية البروازيكية (Brain-Blood Barrier),
,,,mistral_small,الألياف القشرية,
,,,silma,ألياف كرومي,
72,ماذا يفعل الرباط المتصالب الأمامي؟,يمنع ازياح الساق للأمام,allam_7b_inst_prev,الرباط المتصالب الأمامي يثبت الركبة,
,,,aya_expanse_8b,يثبت عظام الفخذ إلى عظام الساق.,
,,,claude,يمنع انزلاق الظنبوب (القصبة) للأمام على عظم الفخذ,
,,,deepseek,يمنع انزلاق عظم الظنبوب للأمام,
,,,falcon,поддерживает الكتف,
,,,fanar,in one concise line.,
,,,gemini,يمنع الإزاحة الأمامية لقصبة الساق,
,,,gemma3_27b_it,تثبيت مفصل الركبة,
,,,gpt52,يمنع انزلاق الظنبوب للأمام,
,,,jais,يربط بين عظمي الساق الأماميين.,
,,,llama31_8b_inst,يربط العضلات معًا.,
,,,llama33_70b_inst,يمنع الحركة الزائدة للقصبة الساقطة,
,,,med42,يثبت عظم الفخذ مع عظم الفخذ الأعلي,
,,,medgemma,تثبيت الأسنان القاطعة,
,,,meditron,يمنع انزلاق الرأس الفقري إلى الأمام.,
,,,mistral_7b,تحديد العظم الجنيني الأمامي,
,,,mistral_small,تثبيت مفصل الركبة,
,,,silma,يمنع الانزلاق الأمامي للركبة,
74,ماذا تفرز خلايا بيتا في البنكرياس؟,الأنسولين,allam_7b_inst_prev,الأنسولين,correct
,,,aya_expanse_8b,الأنسولين,correct
,,,claude,الأنسولين,correct
,,,deepseek,الإنسولين,correct
,,,falcon,إنسولين,
,,,fanar,الأنسولين,correct
,,,gemini,الأنسولين,correct
,,,gemma3_27b_it,الأنسولين,correct
,,,gpt52,الإنسولين,correct
,,,jais,الأنسولين.,
,,,llama31_8b_inst,إنزيمات صفراوية,
,,,llama33_70b_inst,أنزيم البنكرياس,
,,,med42,إنسولين,
,,,medgemma,الأنسولين,correct
,,,meditron,الأنسولين.,
,,,mistral_7b,في الجنين العلوي,
,,,mistral_small,الأنسولين,correct
,,,silma,انسولين,
81,أين يقع موقع الغدة الدرقية؟,تحت الحنجرة وعلى جانبي الرغامي وأمامها,allam_7b_inst_prev,أمام القصبة الهوائية,
,,,aya_expanse_8b,أسفل الحلق، أمام القصبة الهوائية.,
,,,claude,أمام الرقبة أسفل الحنجرة,
,,,deepseek,أمام القصبة الهوائية أسفل الحنجرة,
,,,falcon,في الرقبة,
,,,fanar,concise line.,
,,,gemini,أمام القصبة الهوائية,
,,,gemma3_27b_it,أمام القصبة الهوائية,
,,,gpt52,أمام القصبة الهوائية أسفل الحنجرة,
,,,jais,مقدمة عن الغدة الدرقية.,
,,,llama31_8b_inst,تحت الحجاب الحاجز,
,,,llama33_70b_inst,أمام الغلصمة الحلقية,
,,,med42,أمام القصبة الهوائية,
,,,medgemma,أمام القصبة الهوائية,
,,,meditron,في الجزء السفلي من الرقبة.,
,,,mistral_7b,عنق العظم الجنيني,
,,,mistral_small,في الرقبة,
,,,silma,منطقة الرقبة,
82,أين تتوضع مستقبلات الشم؟,سقف الأنف.,allam_7b_inst_prev,في البصلة الشمية,
,,,aya_expanse_8b,في الحويصلات الشمية.,
,,,claude,السقف العلوي للتجويف الأنفي (الصفيحة المصفوية),
,,,deepseek,في الظهارة الشمية للأنف,
,,,falcon,في الطبقة المخاطية للجهاز الشموي,
,,,fanar,one concise line.,
,,,gemini,الظهارة الشمية,
,,,gemma3_27b_it,الظهارة الشمية,
,,,gpt52,الظهارة الشمية بسقف التجويف الأنفي,
,,,jais,الأنف: عضو حاسة الشم.,
,,,llama31_8b_inst,المناطق الشمية في الدماغ,
,,,llama33_70b_inst,في الغشاء المخاطي الأنفي,
,,,med42,في بطانة الأنف,
,,,medgemma,الغشاء الشمي,
,,,meditron,في بطانة الجيوب الأنفية.,
,,,mistral_7b,عين الشم الأيمنة واليمنة,
,,,mistral_small,الغشاء المخاطي للأنف,
,,,silma,في الأنف,
90,أين تشاهد التلمة الكعبرية للزند؟,الوجه الوحشي للناتئ المنقاري.,allam_7b_inst_prev,الأروح,
,,,aya_expanse_8b,على الجانب الخلفي للزند السفلي,
,,,claude,النهاية السفلية للزند (الطرف البعيد),
,,,deepseek,على السطح الوحشي للكورونويد,
,,,falcon,في مفصل الكوع,
,,,fanar,Answer in one concise line.,
,,,gemini,على الوجه الوحشي للناتئ الإكليلي,
,,,gemma3_27b_it,العظم الكعبري,
,,,gpt52,النهاية البعيدة للزند,
,,,jais,الطرف العلوي للزند,
,,,llama31_8b_inst,في الجزء السفلي من الكعبرة,
,,,llama33_70b_inst,خلف المرفق العلوي,
,,,med42,في الجزء الخلفي من الفم، خلف اللسان,
,,,medgemma,على السطح الأمامي للزند,
,,,meditron,في الجزء الخلفي من الرأس.,
,,,mistral_7b,عضلة الزند العلوية,
,,,mistral_small,على سطح الزند الأمامي,
,,,silma,بين اللسان والخد,
95,ما هو أطول أجزاء أنبوب الهضم؟,المعي الدقيق,allam_7b_inst_prev,الأمعاء الدقيقة,
,,,aya_expanse_8b,الأمعاء الغليظة,
,,,claude,الأمعاء الدقيقة,
,,,deepseek,الأمعاء الدقيقة,
,,,falcon,الأمعاء الغليظة,
,,,fanar,أطول أجزاء أنبوب الهضم؟,
,,,gemini,اللفائفي,
,,,gemma3_27b_it,الأمعاء الدقيقة,
,,,gpt52,الأمعاء الدقيقة,
,,,jais,الاثنا عشر,
,,,llama31_8b_inst,القولون,
,,,llama33_70b_inst,الامعاء الغليظ,
,,,med42,الأمعاء الدقيقة (الjejune),
,,,medgemma,الأمعاء الدقيقة,
,,,meditron,الأمعاء الدقيقة.,
,,,mistral_7b,عضلة العقل العلوي والسفلي,
,,,mistral_small,الأمعاء الدقيقة,
,,,silma,القولون,
96,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,الانسولين,allam_7b_inst_prev,الأنسولين,correct
,,,aya_expanse_8b,هرمون الأنسولين,
,,,claude,الأنسولين,correct
,,,deepseek,الأنسولين,correct
,,,falcon,инспекulin,
,,,fanar,هرمون الأنسولين,
,,,gemini,الأنسولين,correct
,,,gemma3_27b_it,الأنسولين,correct
,,,gpt52,الإنسولين,correct
,,,jais,الأديبونيكتين.,
,,,llama31_8b_inst,هرمون الأنسولين,
,,,llama33_70b_inst,الإنسولين,correct
,,,med42,الإنسولين,correct
,,,medgemma,الأنسولين,correct
,,,meditron,الإنسولين.,
,,,mistral_7b,Insulin Ghrelin,
,,,mistral_small,الأنسولين,correct
,,,silma,إنزولين,
100,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,الخيطية,allam_7b_inst_prev,الحليمات الفطرية,
,,,aya_expanse_8b,حليمات الفم الخلفية السقفية,
,,,claude,الحليمات الخيطية,
,,,deepseek,الحليمات الخيطية,
,,,falcon,الحليمات الطعمية,
,,,fanar,.,
,,,gemini,الحليمات الخيطية,
,,,gemma3_27b_it,الحليمات الفطرية,
,,,gpt52,الحليمات الخيطية,
,,,jais,أصغر الحليمات الذوقية وأكثرها عدداً هي **الحليمات الفطرية (Fungiform Papillae)**.,
,,,llama31_8b_inst,الليمفاوي,
,,,llama33_70b_inst,الحليمات الحمضية,
,,,med42,حليمات فالترون,
,,,medgemma,الحليمات الفطرية,
,,,meditron,الحليمات الفطرية.,
,,,mistral_7b,حليمات الناريج,
,,,mistral_small,حليمات فطرية,
,,,silma,الحليمات الذوقية الصغيرة,
104,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,الحس الجسدي الأولية,allam_7b_inst_prev,الإجابة: الباحة الحركية,
,,,aya_expanse_8b,باحة بروكا,
,,,claude,الباحة الحسية الجسمية (3، 1، 2),
,,,deepseek,الباحة الحركية الأولية,
,,,falcon,الباحة تحت المركزية,
,,,fanar,.,
,,,gemini,الباحة الحسية الأولية,
,,,gemma3_27b_it,منطقة فيرنيكه,
,,,gpt52,الباحة الحسية الجسدية الأولية,
,,,jais,القدم الوحشية,
,,,llama31_8b_inst,الباحة البطنية,
,,,llama33_70b_inst,الباحة المحيطية,
,,,med42,الباحة المخية الجانبية (Lateral Ventricular Cistern) - في سياق اللغة العربية الطبية: الباحة الجانبية للبطين (الventricle) أو الباحة المخية,
,,,medgemma,منطقة بروكا,
,,,meditron,الباحة الجبهية.,
,,,mistral_7b,العضلة العظمية العلوية,
,,,mistral_small,الباحة الحركية,
,,,silma,المنطقة الخلفية,
105,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,الخيطية,allam_7b_inst_prev,الحليمات الفطرية,
,,,aya_expanse_8b,حليمات الفم الخلفية السقفية,
,,,claude,الحليمات الخيطية,
,,,deepseek,الحليمات الخيطية,
,,,falcon,الحليمات الطعمية,
,,,fanar,concise line.,
,,,gemini,الحليمات الخيطية,
,,,gemma3_27b_it,الحليمات الفطرية,
,,,gpt52,الحليمات الخيطية,
,,,jais,أصغر الحليمات الذوقية وأكثرها عدداً هي **الحليمات الفطرية (Fungiform Papillae)**.,
,,,llama31_8b_inst,الليمفاوي,
,,,llama33_70b_inst,الحليمات الحمضية,
,,,med42,حليمات فالترون,
,,,medgemma,الحليمات الفطرية,
,,,meditron,الحليمات الفطرية.,
,,,mistral_7b,حليمات الناريج,
,,,mistral_small,حليمات فطرية,
,,,silma,الحليمات الذوقية الصغيرة,
115,ما هو العظم الذي يحتوي على تلم في وجهه السفلي لمرور وتر الشظية الطويلة؟,النردي,allam_7b_inst_prev,عظم الكاحل,
,,,aya_expanse_8b,عظم الفخذ,
,,,claude,العظم المكعبي (Cuboid bone),
,,,deepseek,العظم المكعب,
,,,falcon,الفخذ,
,,,fanar,عظم الشظية,
,,,gemini,العظم النردي,
,,,gemma3_27b_it,عظم زند,
,,,gpt52,العظم المكعبي,
,,,jais,الظنبوب,
,,,llama31_8b_inst,العظم القذالي,
,,,llama33_70b_inst,العظم العضد,
,,,med42,عظم الفك السفلي (الmandible) - النفق الشظوي (mandibular canal),
,,,medgemma,عظم الكاحل,
,,,meditron,العظم الذي يحتوي على تلم في وجهه السفلي لمرور وتر الشظية الطويلة هو العظم الشظوي.,
,,,mistral_7b,عظم الجنين,
,,,mistral_small,عظم الفخذ,
,,,silma,الكتف,
128,ما هي العضلة الموسعة المسؤولة عن فتح الحنجرة؟,الحلقية الطرجهالية الخلفية,allam_7b_inst_prev,عضلة لسان المزمار,
,,,aya_expanse_8b,عضلة الحلقية الخارجية,
,,,claude,العضلة الحلقية الطرجهالية الخلفية,
,,,deepseek,العضلة الحلقية الدرقية,
,,,falcon,عضلة الحنجرة الدائرية,
,,,fanar,العضلة الحنجرية العليا,
,,,gemini,العضلة الحلقية الطرجهالية الخلفية,
,,,gemma3_27b_it,عضلات حنجريّة خارجية,
,,,gpt52,العضلة الحلقية الطرجهالية الخلفية,
,,,jais,العضلة الحلقية الخلفية (Posterior cricoarytenoid muscle).,
,,,llama31_8b_inst,العضلة الحنجرية الصدغية,
,,,llama33_70b_inst,العضلة الحلقية اللامية,
,,,med42,عضلة حنجرية علوية,
,,,medgemma,العضلة الحنجرية المفتحة,
,,,meditron,العضلة الموسعة للغضروف الحلقي.,
,,,mistral_7b,عضلة الفتحة العظمية,
,,,mistral_small,عضلة الحنجرة الخارجية,
,,,silma,عضلة الحنجرة,
143,ما هو رقم العصب الحركي للعضلات الماضغة؟,الخامس,allam_7b_inst_prev,العصب السنخي السفلي: العصب رقم 5,
,,,aya_expanse_8b,العصب الثلاثي التوائم (Trigeminal),
,,,claude,العصب الخامس (V),
,,,deepseek,العصب القحفي الخامس (العصب ثلاثي التوائم),
,,,falcon,Trigeminal (V),
,,,fanar,.,
,,,gemini,العصب ثلاثي التوائم (الخامس),
,,,gemma3_27b_it,العصب الخامس,
,,,gpt52,العصب القحفي الخامس,
,,,jais,العصب الثلاثي التوائم,
,,,llama31_8b_inst,العصب المبهم,
,,,llama33_70b_inst,العصب السادس المزدوج,
,,,med42,V3 (العصب الفكي السفلي),
,,,medgemma,العصب الخامس,
,,,meditron,V3.,
,,,mistral_7b,رقم 12,
,,,mistral_small,V,
,,,silma,العصب الحركي العضلي,
160,ما هو العصب الحركي للعضلات الماضغة؟,الخامس,allam_7b_inst_prev,العصب الفكي العلوي,
,,,aya_expanse_8b,العصب الثلاثي التوائم (Trigeminal nerve),
,,,claude,العصب الثلاثي التوائم (الفرع الفكي السفلي),
,,,deepseek,العصب ثلاثي التوائم (العصب القحفي الخامس),
,,,falcon,عصب الوجه (VII),
,,,fanar,غة؟,
,,,gemini,العصب ثلاثي التوائم,
,,,gemma3_27b_it,العصب ثلاثي التوائم,
,,,gpt52,العصب الفكي السفلي,
,,,jais,العصب الفكي السفلي,
,,,llama31_8b_inst,العصب المبهمي,
,,,llama33_70b_inst,العصب الماضغي السفلي,
,,,med42,العصب الفكي السفلي,
,,,medgemma,العصب مثلث التوائم,
,,,meditron,العصب الفكي السفلي.,
,,,mistral_7b,عضلة الماضغة العصبية (Corticospinal tract),
,,,mistral_small,العصب ثلاثي التوائم,
,,,silma,العصب الحركي للعضلات الماضغة,
164,ما هو العصب القحفي المتواسط بإفراز الغدد الدمعية واللعابية؟,السابع,allam_7b_inst_prev,العصب البلعومي اللساني,
,,,aya_expanse_8b,العصب الثلاثي التوائم,
,,,claude,العصب الوجهي (العصب القحفي السابع),
,,,deepseek,العصب الوجهي (العصب القحفي السابع),
,,,falcon,الوجهي (VII),
,,,fanar,العصب القحفي السابع,
,,,gemini,العصب الوجهي,
,,,gemma3_27b_it,العصب الوجهي,
,,,gpt52,العصب الوجهي,
,,,jais,العصب السابع (Facial Nerve),
,,,llama31_8b_inst,العصب الفعّال للقحف السابع,
,,,llama33_70b_inst,العصب السابع,
,,,med42,العصب القحفي السابع (عصب فاق),
,,,medgemma,العصب الوجهي,
,,,meditron,العصب القحفي المتواسط بإفراز الغدد الدمعية واللعابية هو العصب الوجهي.,
,,,mistral_7b,نرف الشمسي,
,,,mistral_small,العصب الوجهي,
,,,silma,العصب القحفي السابع,
167,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,الداخلى,allam_7b_inst_prev,الإجابة: العظم الجبهي,
,,,aya_expanse_8b,عظم الجبهة,
,,,claude,الوجه الداخلي (الدماغي),
,,,deepseek,الوجه الداخلي (الدماغي),
,,,falcon,الوجه الداخلي,
,,,fanar,وجه القحف العصبي,
,,,gemini,الوجه الخارجي والداخلي,
,,,gemma3_27b_it,العظم الصدغي,
,,,gpt52,الوجه الدماغي,
,,,jais,الجانب الداخلي (الإنسي),
,,,llama31_8b_inst,الجبهة السنخية,
,,,llama33_70b_inst,الوجه الداخلي,
,,,med42,السطح الداخلي (النحو القحفي),
,,,medgemma,الوجه السفلي,
,,,meditron,الوجه السفلي للعظم الجبهي.,
,,,mistral_7b,عضلة الجبهة العظمية,
,,,mistral_small,الوجه الداخلي,
,,,silma,وجه العظم الجبهي الذي ينتمي للقحف العصبي هو الوجه الداخلي.,
197,ما هو معنى التوسع في نهاية الأسهر؟,مجل الأسهر,allam_7b_inst_prev,القَناةُ القَذَاليَّة,
,,,aya_expanse_8b,تمدد القناة الشريانية الرئوية,
,,,claude,الحُوَيصلة المَنَوِيَّة (Ampulla of vas deferens),
,,,deepseek,توسع القناة المنوية,
,,,falcon,widens,
,,,fanar,توسع في نهاية الأسهر,
,,,gemini,الأمبولة,
,,,gemma3_27b_it,تضيق الأبهر,
,,,gpt52,أمبولة الأسهر,
,,,jais,توسع (End dilation),
,,,llama31_8b_inst,انسداد الشبكية.,
,,,llama33_70b_inst,توسع القذال,
,,,med42,توسع بطيني,
,,,medgemma,تضيق الأبهر,
,,,meditron,التوسع في نهاية الأسهر هو توسع في نهاية الأسهر، وهو جزء من الجهاز التنفسي.,
,,,mistral_7b,توسع نهاية الأسهر (Hypertelorism),
,,,mistral_small,توسع الأسهر,
,,,silma,توسع في نهاية الأسهر,
204,ما هي المنطقة الأعمق في الغدة الكظرية؟,اللب,allam_7b_inst_prev,الإجابة: النخاع الكظري,
,,,aya_expanse_8b,القشرة الكظرية السفلى,
,,,claude,النخاع الكظري (Adrenal medulla),
,,,deepseek,اللب الكظري,
,,,falcon,القشرة الكظرية,
,,,fanar,؟,
,,,gemini,النخاع الكظري,
,,,gemma3_27b_it,نخاع الكظر,
,,,gpt52,النخاع الكظري,
,,,jais,Medulla (لب الكظر),
,,,llama31_8b_inst,الغدة الكظرية الزائدة,
,,,llama33_70b_inst,المنطقة الحلمية,
,,,med42,المنطقة الزوائدية (Zona reticularis),
,,,medgemma,نخاع الكظر,
,,,meditron,المنطقة الأعمق في الغدة الكظرية هي المنطقة القشرية.,
,,,mistral_7b,قاع الكلب,
,,,mistral_small,القشرة الكظرية,
,,,silma,الطبقة الداخلية,
215,ما هي المنطقة الأعمق في قشر الكظر؟,الشبكية,allam_7b_inst_prev,الإجابة: النخاع الكظري,
,,,aya_expanse_8b,القشرة الكظرية الداخلية,
,,,claude,المنطقة الشبكية,
,,,deepseek,المنطقة الشبكية,
,,,falcon,القشرة تحت المهادية,
,,,fanar,one concise line.,
,,,gemini,المنطقة الشبكية,
,,,gemma3_27b_it,النخاع الكضري,
,,,gpt52,المنطقة الشبكية,
,,,jais,المنطقة الشبكية,
,,,llama31_8b_inst,الغدة الزعترية,
,,,llama33_70b_inst,المنطقة الحلمية,
,,,med42,الطبقة الجرانулярية البعيدة (Stratum granulosum profundum),
,,,medgemma,نخاع الكظر,
,,,meditron,الطبقة الحبيبية.,
,,,mistral_7b,قطب الكظر الداخلي,
,,,mistral_small,القشرة الشبكية,
,,,silma,الطبقة الداخلية,
221,أين تتوضع نواة العصب العاشر؟,البصلة,allam_7b_inst_prev,نواة العصب المبهم,
,,,aya_expanse_8b,في الدماغ، في القشرة السمعية.,
,,,claude,النخاع المستطيل (البصلة السيسائية),
,,,deepseek,النخاع المستطيل,
,,,falcon,في القحف الأيمن,
,,,fanar,concise line.,
,,,gemini,النخاع المستطيل,
,,,gemma3_27b_it,النخاع المستطيل,
,,,gpt52,البصلة السيسائية,
,,,jais,Brainstem,
,,,llama31_8b_inst,في الجانب الأيمن من المخ.,
,,,llama33_70b_inst,في النخاع المستطيل,
,,,med42,جسر المخ,
,,,medgemma,النخاع المستطيل,
,,,meditron,في النخاع المستطيل.,
,,,mistral_7b,قلب العصب العاشر,
,,,mistral_small,في جذع الدماغ,
,,,silma,منطقة الرقبة,
224,ما هو العظم الأضخم في هيكل القدم؟,العقب,allam_7b_inst_prev,عظم الكعب,
,,,aya_expanse_8b,عظم الكعب,
,,,claude,العقب (Calcaneus),
,,,deepseek,عظم العقب,
,,,falcon,عظم الفخذ,
,,,fanar,concise line.,
,,,gemini,عظم الكعب,
,,,gemma3_27b_it,عظم العقبول,
,,,gpt52,العقب,correct
,,,jais,عظم الكعب (Calcaneus),
,,,llama31_8b_inst,عظم القصبة,
,,,llama33_70b_inst,العظم الكعبري,
,,,med42,عظم العقدة (calcaneus),
,,,medgemma,عظم الكعب,
,,,meditron,العظم الكعب.,
,,,mistral_7b,كف القدم الأعلى,
,,,mistral_small,عظم الفخذ,
,,,silma,الcalcaneus,
226,ما الذي يحد فتحة وينسلو من الأسفل؟,الإثني عشر.,allam_7b_inst_prev,الإجابة: الحجاب الحاجز,
,,,aya_expanse_8b,العضلة اللسانية العمودية,
,,,claude,الجزء الأول من الاثني عشر,
,,,deepseek,الحافة الأمامية للصفيحة الجناحية للغضروف الدرقي,
,,,falcon,الشرج,
,,,fanar,.,
,,,gemini,الجزء الأول من الإثني عشر,
,,,gemma3_27b_it,العضلة المستعرضة للبلعوم,
,,,gpt52,الجزء الأول من الإثني عشر,
,,,jais,فتحة الحنك الرخو.,
,,,llama31_8b_inst,الغشاء الحاجز,
,,,llama33_70b_inst,العضلة الذاتية للسان,
,,,med42,عضلة اللسان-مصرة (Glossopharyngeus muscle),
,,,medgemma,الغشاء التاموري,
,,,meditron,العضلة اللسانية.,
,,,mistral_7b,فتحة فيمه,
,,,mistral_small,الغضروف الدقيق,
,,,silma,الحاجز,
229,ما هي الطية الجلدية التي تغطي رأس القضيب؟,القلفة,allam_7b_inst_prev,"الطية الجلدية التي تغطي رأس القضيب تُسمى ""الجِيبُ القَضْبِي"".",
,,,aya_expanse_8b,غشاء البكارة,
,,,claude,القلفة (Prepuce),
,,,deepseek,القلفة,correct
,,,falcon,القلفة,correct
,,,fanar,طي رأس القضيب؟,
,,,gemini,القلفة,correct
,,,gemma3_27b_it,القلفة,correct
,,,gpt52,القلفة,correct
,,,jais,اللفافة القضيبة.,
,,,llama31_8b_inst,الغدة النكفية,
,,,llama33_70b_inst,الجلدية القطرية,
,,,med42,القلفة (prepuce),
,,,medgemma,القلفة,correct
,,,meditron,القلفة.,
,,,mistral_7b,بولوس فوليكس,
,,,mistral_small,القلف,
,,,silma,غشاء البظر,
234,ما هو السطح الخلفي للفخذ تحت المدور الكبير؟,الأحدوبة الأولوية,allam_7b_inst_prev,"السطح الخلفي للفخذ تحت المدور الكبير يُعرف بـ ""السطح الوحشي للفخذ""",
,,,aya_expanse_8b,السطح الخلفي للفخذ,
,,,claude,الحدبة الألوية (Gluteal tuberosity),
,,,deepseek,المنطقة الألوية الخلفية,
,,,falcon,المفصل الفخذي-عظمي الحوض (الصدع الفخذي-عظمي),
,,,fanar,الكبير؟,
,,,gemini,الأحدوبة الإسكية,
,,,gemma3_27b_it,العضلة المأبضية,
,,,gpt52,خط خشن عضلي,
