id,level,question,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,Reason ,Confidence 
184,Y1,ما اسم الألياف التي تربط المراكز القشرية بالمحيط؟,Anatomy,Anatomy,إسقاطية,ترابطية,مشاركة,صوارية,,,A,ABCD,correct question & answer,high
185,Y1,ماذا تشكل البصلة عند تمددها إلى الأمام في جسم القضيب؟,Anatomy,Anatomy,الجسم الكهفي,الجسم الاسفنجي,الساق الوسطى,لا شيء مما سبق,,,B,ABCD,correct question & answer,high
193,Y1,ما هي أكبر غدة في جسم الإنسان؟,Anatomy,Anatomy,الكبد,الطحال,الدرقية,التيموس,,,A,ABCD,correct question & answer,high
194,Y1,كم عدد الشرايين التي يتفرع إليها الشريان الكلوي، وما هي؟,Anatomy,Anatomy,قطعية,فصية,بين الفصوص,بين الفصيصات,,,A,ABCD,correct question & answer,high
196,Y1,بماذا ينتهي الشريان الوجهي؟,Anatomy,Anatomy,الشريان العيني,السباتي الظاهر,الشريان الزاوي,اللساني,,,C,ABCD,correct question & answer,high
201,Y2,ما هي الطبقة الأكثر عمقاً والأقرب لجوهر اللب في لب السن؟,Histology,Anatomy,منطقة أرومة الخلايا السنية,المنطقة الغنية بالخلايا.,المنطقة الخالية من الخلايا,كل ما سبق خاطئ.,,,B,ABCD,correct question & answer,high
202,Y1,أين تقع فوهة مصب الجيب الأكليلي؟,Anatomy,Anatomy,أمام وأسفل مصب الأجوف العلوي,أمام وأعلى مصب الأجوف السفلي,أمام وأسفل مصب الأجوف السفلي,إلى الخلف من مصب الأجوف السفلي,,,C,ABCD,correct question & answer,high
203,Y1,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,Anatomy,Anatomy,جبهية,وتدية,قذالية,خشائية,,,B,ABCD,correct question & answer,high
208,Y1,ما البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,Anatomy,Anatomy,الشوكة الذقنية,الناشزة الذقنية,اللسين,الخط الضرسي اللامي,,,C,ABCD,correct question & answer,high
209,Y1,ما المواد التي تفرزها الغدد استجابةً للتنبيه وترحل عبر الدم؟,Anatomy,Anatomy,الغدد,الهرمونات,المستقبلات,لا شئ مما سبق,,,B,ABCD,correct question & answer,high
210,Y1,ما الزاوية بين قبضة وجسم القص؟,Anatomy,Anatomy,لويس,مونتغومري,بيل,لا شئ مما سبق,,,A,ABCD,correct question & answer,high
215,Y1,من أي فتحة يخرج العصب الفكي العلوي من الجمجمة؟,Anatomy,Anatomy,الثقبة البيضية,الثقبة الشوكية,الثقبة المدورة,الثقبة الوداجية,,,C,ABCD,correct question & answer,high
217,Y2,ما الذي يحدد المنصف العلوي من الجانبين؟,Anatomy,Anatomy,الجنية المنصفية.,النهاية السفلية للعضلة الطويلة العنقية.,منشأ العضلة القصية اللامية.,منشأ العضلة القصية الدرقية.,اللقافة الجانبية للقوس الأبهرية.,,A,ABCDE,correct question & answer,high
218,Y1,مع ماذا تتمفصل الوجيهات الموجودة على النواتئ المستعرضة للفقرة الصدرية؟,Anatomy,Anatomy,حديبة الضلع الأعلى منه,رأس الضلع الموافق,حديبة الضلع الموافقة,رأس الضلع الأعلى منه,,,B,ABCD,correct question & answer,high
219,Y1,ما الذي يمر عبره الهواء إلى جوف الأنف؟,Anatomy,Anatomy,CHOANA,المنخرين,المنعرين,كل ما سبق خطأ,,,B,ABCD,correct question & answer,high
223,Y2,على أين ترتكز العضلة العريضة الظهرية؟,Anatomy,Anatomy,قاع أخدود ذات الرأسين.,أنسي اخدود ذات الرأسين.,وحشي أخدود ذات الرأسين.,الناتئ الغرابي.,حديبة العضد الكبرى.,,A,ABCDE,correct question & answer,high
225,Y1,ما القولون الذي يمتد بشكل أفقي؟,Anatomy,Anatomy,الكولون النازل,الكولون الصاعد,الكولون المعترض,كل ما سبق خطأ,,,C,ABCD,correct question & answer,high
230,Y1,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,Anatomy,Anatomy,المخاطية,العضلية,المصلية,تحت المخاطية,,,B,ABCD,correct question & answer,high
231,Y2,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,Histology,Anatomy,خلايا لانغرهانس.,خلايا ميركل.,خلايا الميلانين.,a+b,,,B,ABCD,correct question & answer,high
235,Y1,ما اسم الكرة الصغيرة الموجودة فوق قمة الغضروف؟,Anatomy,Anatomy,الطرجهالي,القريني,الإسفيني,الفلكة,,,B,ABCD,correct question & answer,high
236,Y1,أين لا توجد الغدد الزهمية في الجسم؟,Anatomy,Anatomy,راحة اليد وأخمص القدم,حشفة القضيب,دهليز الفرج,B+C,,,A,ABCD,correct question & answer,high
240,Y1,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟,Anatomy,Anatomy,السابع,الخامس,الثالث,الأول,,,A,ABCD,correct question & answer,high
241,Y1,ما هي الزاوية الخلفية السفلية في العظم الجداري؟,Anatomy,Anatomy,خشانية,وتدية,قذالية,جبهية,,,A,ABCD,correct question & answer,high
245,Y1,ما الاسم الآخر لفرع الفك السفلي؟,Anatomy,Anatomy,القاعدة.,جسم الفك السفلي.,الرأد.,الحافة السنخية.,,,C,ABCD,correct question & answer,high
253,Y2,ماذا يفعل الرباط المتصالب الأمامي؟,Anatomy,Anatomy,يمتد من اللقمة الأنسية للفخذ,يرتكز على الحدية الظنبوبية,يمنع ازياح الساق للأمام,يمنع ازياح الفخذ للأمام,,,C,ABCD,correct question & answer,high
255,Y1,من أي ثقبة يعبر العصب الوجهي؟,Anatomy,Anatomy,الثقبة الإبرية الخشانية,الثقبة المدورة,الثقبة الشوكية,الثقبة البيضية,,,A,ABCD,correct question & answer,high
262,Y1,ماذا تفرز خلايا بيتا في البنكرياس؟,Anatomy,Anatomy,الغلوكاغون,الأنسولين,السوماتوستاتين,لا شيء مما سبق,,,B,ABCD,correct question & answer,high
267,Y1,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟,Anatomy,Anatomy,التامور الليفي,التامور المصلي الجداري,التامور المصلي الحشوي :,لا شيء مما سبق,,,A,ABCD,correct question & answer,high
269,Y1,ما اسم القسم من الضلع الواقع بين الرأس والحديبة؟,Anatomy,Anatomy,الجسم,الميزابة,العنق,الرأس,,,C,ABCD,correct question & answer,high
273,Y1,مع أي عظم يتمفصل الظنبوب في الأسفل؟,Anatomy,Anatomy,الكعب,العقب,القعب,الفخذ,,,C,ABCD,correct question & answer,high
277,Y2,ما العضلة العميقة من عضلات المثلث الخلفي للعنق التي ترتبط بالحدبة الخلفية للأطلس؟,Anatomy,Anatomy,المستقيمه الرأسيه الخلفيه الصغيرة,المستقيمه الرأسيه الجانبيه,المستقيمه الرأسيه الاماميه,المستقيمه الرأسيه الخلفيه الكبيره,المنحرفه الرأسيه السفليه,,A,ABCDE,correct question & answer,high
279,Y1,ما الذي يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق؟,Anatomy,Anatomy,دهليز الفم,اللثتين,جوف الفم المخصوص,القوس السنخية,,,C,ABCD,correct question & answer,high
281,Y1,ما البنية التي تغطي السطوح الأمامي والإنسي والوحشي للخصية؟,Anatomy,Anatomy,لفافة كولس,اللفافة المنوية الخارجية,الغلالة الغمدية,اللفافة المنوية الداخلية,,,C,ABCD,correct question & answer,high
282,Y1,أين يقع الغدة الدرقية؟,Anatomy,Anatomy,تحت الحنجرة وعلى جانبي الرغامي وأمامها,يتصل الفصين مع بعضهما بجسر نسيجي يدعى البرزخ,تحاط بلفافة من اللفافة الرقبية السطحية,A + B,,,A,ABCD,correct question & answer,high
283,Y1,أين تتوضع مستقبلات الشم؟,Anatomy,Anatomy,الجدار الوحشى للأنف.,أرضية الأنف.,سقف الأنف.,كل ما سبق خطأ .,,,C,ABCD,correct question & answer,high
284,Y1,ما الطبيعة الكيميائية لهرمونات الغدة النخامية؟,Anatomy,Anatomy,شحمية,بيتيدية,سكرية,لا شيء مما سبق,,,B,ABCD,correct question & answer,high
285,Y2,ما هو مفصل المرفق؟,Anatomy,Anatomy,نموذج رزى,لا يتصل مع الكعبرى الزندى العلوى,عبره تتم حركه الكب والاستلقاء,لا يشارك رأس الكعبره فى تكوينه,,,A,ABCD,correct question & answer,high
286,Y2,من أين تنشأ العضلة المدورة الكبيرة بشكل أساسي؟,Anatomy,Anatomy,أسفل الحافة الوحشية لعظم لوح الكتف.,الحافة السفلية لشوك الكتف.,الحفرة تحت الكتفية لعظم اللوح.,الحفرة تحت الشوكية لعظم اللوح.,أعلى الحافة الوحشية لعظم اللوح.,,A,ABCDE,correct question & answer,high
287,Y1,أين يتوضع الأبهر النازل البطني؟,Anatomy,Anatomy,أيسر الأجوف السفلي,خلف الأجوف السفلي,أيمن الأجوف السفلي,أمام الأجوف السفلي,,,A,ABCD,correct question & answer,high
288,Y1,ما الذي يجاور السطح العلوي لمثانة الرجل؟,Anatomy,Anatomy,عرى اللفائفي والكولون السيني,الجيب المثاني الرحمي,الجيب المستقيمي المثاني,لا شيء مما سبق,,,A,ABCD,correct question & answer,high
289,Y1,ما هي عضلة الشهيق الرئيسية؟,Anatomy,Anatomy,الحجاب الحاجز.,رافعات الأضلاع.,المستعرضة الصدرية.,العضلات الوربية.,,,A,ABCD,correct question & answer,high
290,Y1,ما هو الترتيب الصحيح للتراكيب التي تدخل سرة الكلية من الخلف للأمام؟,Anatomy,Anatomy,شريان – وريد – حويضة,وريد – شريان – حويضة,حويضة – شريان – وريد,حويضة – وريد – شريان,,,C,ABCD,correct question & answer,high
302,Y1,أين تُشاهد التلمة الكعبرية للزند؟,Anatomy,Anatomy,الوجه الوحشي للزج.,الوجه الإنسي السفلي للناتي الإبري.,الوجه الوحشي للناتئ المنقاري.,الوجه الأنسي للزج.,,,C,ABCD,correct question & answer,high
308,Y1,أين تتوضع الثقبة العوراء في اللسان؟,Anatomy,Anatomy,خلف الكلم الإنتهائي,في ذروة اللسان,أمام الثلم الإنتهائي,على حافتي اللسان,,,A,ABCD,correct question & answer,high
313,Y1,ما هو أطول جزء من أجزاء الأنبوب الهضمي؟,Anatomy,Anatomy,المعي الدقيق,المري,المعدة,المعي الغليظ,,,A,ABCD,correct question & answer,high
315,Y2,ما هو ترتيب العضلات من الأعلى إلى الأسفل على الناحية الخلفية للألية؟,Anatomy,Anatomy,كمثرية - توأمية علوية - سادة باطنة - توأمية سفلية,كمثرية - توأمية علوية - توأمية سفلية - سادة باطنة,كمثرية - سادة باطنة - توأمية علوية - توأمية سفلية,توأمية علوية - سادة باطنة - كمثرية - توأمية سفلية,سادة باطنة - كمثرية - توأمية علوية - توأمية سفلية,,A,ABCDE,correct question & answer,high
325,Y1,ما هي الطبقة المبطنة للتامور الليفي؟,Anatomy,Anatomy,التامور الليفي,التامور المصلي الجداري,التامور المصلي الحشوي,لا شيء مما سبق,,,B,ABCD,correct question & answer,high
330,Y1,ما هو أطول جزء من أجزاء أنبوب الهضم؟,Anatomy,Anatomy,المري,المعي الدقيق,الكولون,البلعوم,,,B,ABCD,correct question & answer,high
331,Y2,ما الذي يُسرّع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,Histology,Anatomy,الغلوكاغون,الانسولين,الباراثورمون,الثيروكسين,الثالث والرابع,,B,ABCDE,correct question & answer,high
338,Y1,ما اسم الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,Anatomy,Anatomy,الاربي,المدور,العريض,الوريدي,,,C,ABCD,correct question & answer,high
339,Y1,ما هو لون لب الكظر؟,Anatomy,Anatomy,بني غامق,أبيض,مائل للصفرة,رمادي,,,A,ABCD,correct question & answer,high
347,Y2,ما الذي يشكل معظم الكتلة العضلية للسان؟,Anatomy,Anatomy,ذقنية لسانية,ضرسية لامية,لامية لسانية,ذقنية لامية,ذات البطنين,,A,ABCDE,correct question & answer,high
349,Y1,ما أصغر الحليمات الذوقية وأكثرها عدداً؟,Anatomy,Anatomy,الخيطية,الفطرية,الورقية,المحوطة,,,A,ABCD,correct question & answer,high
354,Y1,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,Anatomy,Anatomy,عضلات جدار البطن الأمامي,عضلات العمود الفقري,عضلات الصدر السطحية,عضلات الصدر العميقة,,,B,ABCD,correct question & answer,high
355,Y1,ما هو أضيق قسم في جذع الدماغ؟,Anatomy,Anatomy,مستوى المزلاج,مستوى الوصل البصلي الجسري,مستوى الدماغ المتوسط,مستوى منتصف الجسر,,,C,ABCD,correct question & answer,high
358,Y1,أين يقع التلفيف خلف المركزي؟,Anatomy,Anatomy,الفص الصدغي.,الفص الجداري.,الفص القذالي.,فص الجزيرة.,,,B,ABCD,correct question & answer,high
361,Y1,ما الباحة التي يحويها التلفيف خلف المركزي؟,Anatomy,Anatomy,الحس الجسدي الأولية,الحركة الأولية,الحس الثانوي,السمع,,,A,ABCD,correct question & answer,high
363,Y2,ماذا يحدث عند نقص الوارد الغذائي من الكالسيوم؟,Histology,Anatomy,استعداد أكبر للكسور العظمية.,Osteopetrosis,Osteoporosis,الأول والثاني,كل ما سبق صحيح,,A,ABCDE,correct question & answer,medium (many ways of phrasing this answer)
367,Y1,ما أصغر الحليمات الذوقية وأكثرها عدداً؟,Anatomy,Anatomy,الخيطية,الفطرية,الورقية,المحوطة,,,A,ABCD,correct question & answer,high
368,Y1,إلى أي مجموعة عضلية تنتمي العضلة الحرقفية؟,Anatomy,Anatomy,عضلات الزنار الحوضي الأمامية,عضلات الزنار الحوضي الخلفية,عضلات الزنار الحوضي الأنسية,عضلات الزنار الحوضي الوحشية,,,A,ABCD,correct question & answer,high
372,Y1,ما القسم المسؤول عن تنظيم الفعالية الحياتية الذاتية؟,Anatomy,Anatomy,جذع الدماغ,الدماغ البيني,الدماغ الانتهائي,المخيخ,,,A,ABCD,correct question & answer,high
373,Y1,ما هي المادة شبيهة بالهلام التي تشغل أربعة أخماس المقلة؟,Anatomy,Anatomy,الخلط الماني,الخلط الزجاجي,العدسة,الشبكية,,,B,ABCD,correct question & answer,high
377,Y1,ما هي العضلات التي لها منشأ عظمي وترتكز على باطن جلد الوجه؟,Anatomy,Anatomy,العضلات الماضغة,عضلات الوجه التعبيرية,عضلات العنق,لا شئ مما سبق,,,B,ABCD,correct question & answer,high
378,Y1,من أين تأتي التروية الرئيسية للمعدة؟,Anatomy,Anatomy,فروع الشريان المساريقي العلوي,فروع الجذع الزلاقي,فروع شريان المساريقي السفلي,فروع تاتي من الابهر مباشرة,,,B,ABCD,correct question & answer,high
380,Y1,ما هو أطول جزء من أجزاء أنبوب الهضم؟,Anatomy,Anatomy,المري,المعي الدقيق,الكولون,البلعوم,,,B,ABCD,correct question & answer,high
382,Y1,من أين ينشأ الجذع الرئوي؟,Anatomy,Anatomy,البطين الأيمن,الأذينة اليسرى,الأذينة اليمنية,البطين الأيسر,,,A,ABCD,correct question & answer,high
383,Y1,ما اسم المنعكس الذي يتمثل في رفع الخصية والصفن للأعلى؟,Anatomy,Anatomy,السلخي,المشمري,الخصيوي,الذكري,,,B,ABCD,correct question & answer,high
384,Y1,كم عدد الأضلاع الحقيقية في جسم الإنسان؟,Anatomy,Anatomy,12 ضلع,7 أشفاع,10 أشفاع,3 أشفاع,,,B,ABCD,correct question & answer,high
389,Y1,ما هو العظم الذي يوجد على وجهه السفلي أخدود لمرور وتر الشظية الطويلة؟,Anatomy,Anatomy,النردي,العقب,الزورقي,القعب,,,A,ABCD,correct question & answer,high
391,Y1,كم عدد أشعاع الأعصاب الرقيبة؟,Anatomy,Anatomy,8 ازواج من اشفاع الاعصاب,12 زوج من اشفاع الاعصاب,5 ازواج من اشفاع الاعصاب,زوج واحد من اشفاع الاعصاب,,,A,ABCD,correct question & answer,high
392,Y1,ما هي المنطقة المتوسطة من نواحي البطن؟,Anatomy,Anatomy,الشرسوفية,الخثلية,السرية,المغبنية,,,C,ABCD,correct question & answer,high
394,Y1,ما الصمام الذي يصل بين الأذينة اليسرى والبطين الأيسر؟,Anatomy,Anatomy,فوهة مثلث الشرف,فوهة التاجي,الفوهة الرئوية,الفوهة الأبهرية,,,B,ABCD,correct question & answer,high
395,Y2,ما الذي يعطي الرباط الحرقفي القطني منشأً له؟,Anatomy,Anatomy,العضلة المربعة القطنية.,العضلة الحرقفية.,العضلة الإليوية الوسطى.,العضلة رباعية الرؤوس الفخذية.,كل ما سبق خاطئ.,,A,ABCDE,correct question & answer,high
399,Y1,ما الذي يحفز ACTH إفرازه؟,Anatomy,Anatomy,الألدستيرون,الكورتيزول,الأندروجين,الكالسيتونين,,,B,ABCD,correct question & answer,high
401,Y1,ما هو أكثر أقسام الإحليل قابلية للتمدد وأعرضها؟,Anatomy,Anatomy,الموثي,الغشاني,البصلي,الإسفنجي,,,A,ABCD,correct question & answer,high
402,Y1,مما يتكون الزنار الحوضي؟,Anatomy,Anatomy,من العظمين الوركيين و العجز.,من العظمين الوركيين والعظمين الفخذيين.,من العجز و العظمين الفخذيين.,من العظمين الوركيين.,,,A,ABCD,correct question & answer,high
403,Y1,أين تقع الباحة الحركية الأولية؟,Anatomy,Anatomy,أمام التلفيف الجانبي.,في التلفيف أمام المركزي .,خلف شق رولاندو.,في قص الجزيرة.,,,B,ABCD,correct question & answer,high
412,Y1,ما هي العضلة المسؤولة عن قبض الفخذ وقبض الساق؟,Anatomy,Anatomy,الخياطية,الرشيقة,المقربة الكبيرة,المقربة الطويلة,,,A,ABCD,correct question & answer,high
