,﻿id,level,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,question_old,answer_text,question
50,50,Y1,Anatomy,Anatomy,الخط بين المدورين,العرف بين المدورين,الثلمة بين المدورة,لا شئ مما سبق,,,A,ABCD,يتصل المدورين بالأمام في الفخذ بـ:,الخط بين المدورين,ما الذي يتصل به المدورين بالأمام في الفخذ؟
51,51,Y1,Anatomy,Anatomy,على الوجه الخلفي.,على الوجه الانسي.,على الوجه الوحشي.,كل ماسبق خطأ.,,,A,ABCD,يوجد التلم الكعبري في جسم العضد:,على الوجه الخلفي.,أين يوجد التلم الكعبري في جسم العضد؟
54,54,Y2,Histology,Anatomy,ألياف ودية.,ألياف نظيرة ودية,ألياف حسية.,كل من a و .b,,,C,ABCD,تتشكل ضفيرة راشكوف في لب السن من :,ألياف حسية.,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟
55,55,Y1,Anatomy,Anatomy,القولون النازل والقولون السيني,القولون السيني والقناة الشرجية,القولون السيني والقولون المعترض,القولون المعترض والقولون السيني,,,B,ABCD,يقع المستقيم بين :,القولون السيني والقناة الشرجية,أين يقع المستقيم؟
56,56,Y1,Anatomy,Anatomy,دهنية,لعابية,عرقية,صباغية,,,A,ABCD,حديبات مونتغومري هي غدد,دهنية,ما هي حديبات مونتغومري؟
64,64,Y1,Anatomy,Anatomy,11,7,12,9,,,C,ABCD,المحرك لعضلات اللسان :,12,ما هو العصب المحرك لعضلات اللسان؟
73,73,Y1,Anatomy,Anatomy,العضدية,القطنية,الرقبية,العجزية,,,C,ABCD,العصب الحجابي فرع الضفيرة :,الرقبية,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟
74,74,Y1,Anatomy,Anatomy,قشرة الكظر,لب الكظر,الطحال,البنكرياس,,,B,ABCD,يفرز الأدرينالين من :,لب الكظر,من أين يفرز الأدرينالين؟
75,75,Y1,Anatomy,Anatomy,الوريدين الحرقفيين الخارجي والداخلي,الوريدين الحرقفيين المشتركين الأيمن والأيسر,الوريدين الفخذيين,كل ما سبق خطأ,,,B,ABCD,يتشكل الوريد الأجوف السفلي من إتحاد :,الوريدين الحرقفيين المشتركين الأيمن والأيسر,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟
78,78,Y2,Histology and Anatomy,Anatomy,الخارجية,المتوسطة,الداخلية والمتوسطة,الداخلية,,,B,ABCDE,في الشرايين الطبقة الأكثر تمايزاً وكثافة هي:,المتوسطة,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟
79,79,Y1,Anatomy,Anatomy,التوتة,الكظر,الدرق,النخامى,,,C,ABCD,مما ينتج هرمون T4؟,الدرق,مما ينتج هرمون T4؟
85,85,Y2,Anatomy,Anatomy,الظنبوبي الأمامي,الظنبوبي الخلفي,الشظوية الطويلة,الشظوية القصيرة,قابضة الإبهام الطويلة,,B,ABCDE,العضلة التي ترتكز بشكل أساسي على العظم الزورقي:,الظنبوبي الخلفي,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟
87,87,Y1,Anatomy,Anatomy,سقف الأنف,مقدمة الأنف,الجدار الوحشي للأنف,الجدار الأنسى للأنف,,,A,ABCD,تقع المنطقة الشمية في :,سقف الأنف,أين تقع المنطقة الشمية؟
88,88,Y1,Anatomy,Anatomy,جبل العانة,الشفر الصغير,الشفر الكبير,دهليز الفرج,,,A,ABCD,الوسادة من النسيج الدهني فوق الارتفاق العاني تدعى,جبل العانة,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟
98,98,Y1,Anatomy,Anatomy,الناحية المغبنية اليمنى,الناحية المغبنية اليسرى,الخثلية,لا شيء مما سبق,,,B,ABCD,يتوضع الكولون السيني في,الناحية المغبنية اليسرى,أين يتوضع الكولون السيني؟
103,103,Y1,Anatomy,Anatomy,الصدفة والقسم الحجاجي,الثلمة الغربالية,الصفيحة الغربالية العمودية,القسم الأنفي,,,B,ABCD,ما القسم العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف:,الثلمة الغربالية,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟
105,105,Y1,Anatomy,Anatomy,الوتدي والفكي,الفكي والصدغي والسطحي,الفكي والوجهي,لا شيء مما سبق,,,B,ABCD,الفروع الانتهائية للسبات الظاهر:,الفكي والصدغي والسطحي,ما هي الفروع الانتهائية للسبات الظاهر؟
113,113,Y1,Anatomy,Anatomy,الثقبة المدورة,الثقبة الشوكية,الثقبة البيضية,الشق الحجابي العلوي,,,A,ABCD,. عصب الفك العلوي يمر من,الثقبة المدورة,أين يمر عصب الفك العلوي؟
114,114,Y1,Anatomy,Anatomy,العرف الوتدي,السرج التركي,المنقار الوتدي,الثقبة المدورة,,,C,ABCD,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي,المنقار الوتدي,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟
115,115,Y1,Anatomy,Anatomy,الدمعي أنسي الحجاج,الجبهي وحشي الحجاج,الفك العلوي أنسي الحجاج,الجبهي أنسي الحجاج,,,A,ABCD,ما اسم العظم الذي يتوضع كيس الدمع عليه :,الدمعي أنسي الحجاج,ما اسم العظم الذي يتوضع كيس الدمع عليه؟
116,116,Y1,Anatomy,Anatomy,قوس الأبهر مباشرة,الأبهر البطني,الأبهر الصاعد,الشريان العضدي الرأسي,,,A,ABCD,ينشأ الشريان السباتي المشترك الأيسر من :,قوس الأبهر مباشرة,من أين ينشأ الشريان السباتي المشترك الأيسر؟
120,120,Y1,Anatomy,Anatomy,45 سم,15سم,6أمتار,1أمتار,,,A,ABCD,ما طول الأسهر,45 سم,ما طول الأسهر؟
128,128,Y1,Anatomy,Anatomy,الثقبة البيضية,الثقبة المدورة,الثقبة الشوكية,الثقبة الإبرية الخشانية,,,C,ABCD,يعبر الشريان السحائي الأوسط عبر:,الثقبة الشوكية,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟
138,138,Y1,Anatomy,Anatomy,الحشفة,لفافة بوك,القلفة,البصلة,,,C,ABCD,الطية الجلدية التي تغطي رأس القضيب تدعى,القلفة,ما هي الطية الجلدية التي تغطي رأس القضيب؟
145,145,Y1,Anatomy,Anatomy,العضلة السدادية الظاهرة,البسواس,المشطية,المربعة الفخذية,,,A,ABCD,- ترتكز على الحفرة المدورية :,العضلة السدادية الظاهرة,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟
147,147,Y1,Anatomy,Anatomy,يتوضع بين العظم الجبهي والجداريين.,يتوضع بين الجداريين.,يتوضع بين الجداريين والعظم القذالي في الخلف.,كل ما سبق خطأ.,,,A,ABCD,أين يتوضع الدرز الأكليلي :,يتوضع بين العظم الجبهي والجداريين.,أين يتوضع الدرز الأكليلي؟
152,152,Y2,Anatomy,Anatomy,يمتد من اللقمة الأنسية للفخذ,يرتكز على الحدبة الظنبوبية,يمنع انزياح الساق للأمام,يمنع انزياح الفخذ للأمام,,,c,ABCDE,ماذا يفعل الرباط المتصالب الأمامي:,يمنع انزياح الساق للأمام,ماذا يفعل الرباط المتصالب الأمامي؟
157,157,Y1,Anatomy,Anatomy,البصري,العينى,الفكي السفلي,الفكي العلوى,,,C,ABCD,ما العصب القحفي الذي يعبر الثقبة البيضية :,الفكي السفلي,ما العصب القحفي الذي يعبر الثقبة البيضية؟
159,159,Y1,Anatomy,Anatomy,تنفسية,رئيسية,قطعية شدفية,ليس كل ما سبق,,,C,ABCD,تتفرع القصبات الفصية الى أي قصبات؟,قطعية شدفية,إلى أي قصبات تتفرع القصبات الفصية؟
161,161,Y1,Anatomy,Anatomy,القشرة,النخاع,جذع الدماغ,البصلة السيسائية,,,C,ABCD,توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر في :,جذع الدماغ,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟
165,166,Y1,Anatomy,Anatomy,الفمويتين,البلعوميتين,الحنكيتين,الانفيتين,,,C,ABCD,على ماذا يحوي البلعوم الفموي اللوزتين؟,الحنكيتين,على ماذا يحتوي البلعوم الفموي من اللوزتين؟
166,167,Y1,Anatomy,Anatomy,العلوي,الخلفي,السفلي,الامامي,,,C,ABCD,. على اي من وجوه الكبد التالية يوجد مسكن المرارة:,السفلي,على أي من وجوه الكبد يوجد مسكن المرارة؟
167,168,Y1,Anatomy,Anatomy,البصري - حاسي,العيني - حاسي,البصري - حسي,العيني – حسي,,,A,ABCD,ما هو العصب القحفي الثاني:,البصري - حاسي,ما هو العصب القحفي الثاني؟
174,175,Y2,Anatomy,Anatomy,دوران وحشي للكتف.,دوران أنسي للكتف.,عطف المرفق.,عطف الكتف.,ولا واحد مما سبق.,,b,ABCDE,ما وظيفة تحت الكتفية:,دوران أنسي للكتف.,ما وظيفة العضلة تحت الكتفية؟
177,178,Y2,Histology,Anatomy,الجدار الأمامي للرحم.,الجدار الخلفي للرحم.,بين الجنين والمهبل.,في الفوهة الداخلية لعنق الرحم.,,,C,ABCD,في ارتكاز المشيمة المعيب previa placenta تتوضع المشيمة:,بين الجنين والمهبل.,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟
180,181,Y1,Anatomy,Anatomy,الام الجافية,الغشاء العنكبوتي,الام الحنون,كل ماسبق خطأ,,,A,ABCD,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية,الام الجافية,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟
183,184,Y1,Anatomy,Anatomy,إسقاطية,ترابطية,مشاركة,صوارية,,,A,ABCD,الألياف التي تربط المراكز القشرية بالمحيط تُدعى:,إسقاطية,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟
184,185,Y1,Anatomy,Anatomy,الجسم الكهفي,الجسم الاسفنجي,الساق الوسطى,لا شيء مما سبق,,,B,ABCD,تتمادى البصلة في الأمام لتشكل في جسم القضيب:,الجسم الاسفنجي,ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟
192,193,Y1,Anatomy,Anatomy,الكبد,الطحال,الدرقية,التيموس,,,A,ABCD,أكبر غدد الجسم,الكبد,ما هي أكبر غدد الجسم؟
193,194,Y1,Anatomy,Anatomy,قطعية,فصية,بين الفصوص,بين الفصيصات,,,A,ABCD,يتفرع الشريان الكلوي لخمسة شرايين:,قطعية,ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟
195,196,Y1,Anatomy,Anatomy,الشريان العيني,السباتي الظاهر,الشريان الزاوي,اللساني,,,C,ABCD,بماذا ينتهي الشريان الوجهي:,الشريان الزاوي,بماذا ينتهي الشريان الوجهي؟
200,201,Y2,Histology,Anatomy,منطقة أرومة الخلايا السنية,المنطقة الغنية بالخلايا.,المنطقة الخالية من الخلايا,كل ما سبق خاطئ.,,,B,ABCD,طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب :,المنطقة الغنية بالخلايا.,ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟
201,202,Y1,Anatomy,Anatomy,أمام وأسفل مصب الأجوف العلوي,أمام وأعلى مصب الأجوف السفلي,أمام وأسفل مصب الأجوف السفلي,إلى الخلف من مصب الأجوف السفلي,,,C,ABCD,تقع فوهة مصب الجيب الأكليلي :,أمام وأسفل مصب الأجوف السفلي,أين تقع فوهة مصب الجيب الأكليلي؟
202,203,Y1,Anatomy,Anatomy,جبهية,وتدية,قذالية,خشائية,,,B,ABCD,. الزاوية الامامية السفلية للعظم الجداري,وتدية,ما هي الزاوية الأمامية السفلية للعظم الجداري؟
205,206,Y1,Anatomy,Anatomy,11,7,12,9,,,C,ABCD,أي عصب هو المحرك لعضلات اللسان:,12,أي عصب هو المحرك لعضلات اللسان؟
207,208,Y1,Anatomy,Anatomy,الشوكة الذقنية,الناشزة الذقنية,اللسين,الخط الضرسي اللامي,,,C,ABCD,ما البروز العظمي الذي يحتوي الوجه الداخلي لفرع الفك السفلي عليه:,اللسين,ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟
208,209,Y1,Anatomy,Anatomy,الغدد,الهرمونات,المستقبلات,لا شئ مما سبق,,,B,ABCD,مواد تفرزها الغدد استجابة للتنبيه وترحل عبر الدم :,الهرمونات,ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟
209,210,Y1,Anatomy,Anatomy,لويس,مونتغومري,بيل,لا شئ مما سبق,,,A,ABCD,ما الزاوية بين قبضة وجسم القص :,لويس,ما هي الزاوية بين قبضة وجسم القص؟
214,215,Y1,Anatomy,Anatomy,الثقبة البيضية,الثقبة الشوكية,الثقبة المدورة,الثقبة الوداجية,,,C,ABCD,. يخرج العصب الفكي العلوي من الجمجمة عبر:,الثقبة المدورة,من أين يخرج العصب الفكي العلوي من الجمجمة؟
216,217,Y2,Anatomy,Anatomy,الجنية المنصفية.,النهاية السفلية للعضلة الطويلة العنقية.,منشأ العضلة القصية اللامية.,منشأ العضلة القصية الدرقية.,اللقافة الجانبية للقوس الأبهرية.,,A,ABCDE,يتحدد المنصف العلوي جانبيا بـ:,الجنية المنصفية.,ما الذي يحدد المنصف العلوي جانبياً؟
218,219,Y1,Anatomy,Anatomy,CHOANA,المنخرين,المنعرين,كل ما سبق خطأ,,,B,ABCD,مما يمر عبرهما الهواء إلى جوف الأنف :,المنخرين,ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟
222,223,Y2,Anatomy,Anatomy,قاع أخدود ذات الرأسين.,أنسي اخدود ذات الرأسين.,وحشي أخدود ذات الرأسين.,الناتئ الغرابي.,حديبة العضد الكبرى.,,A,ABCDE,ترتكز العضلة العريضة الظهرية : (2017 ثانية),قاع أخدود ذات الرأسين.,أين ترتكز العضلة العريضة الظهرية؟
224,225,Y1,Anatomy,Anatomy,الكولون النازل,الكولون الصاعد,الكولون المعترض,كل ما سبق خطأ,,,C,ABCD,ما القولون الذي يمتد بشكل أفقي :,الكولون المعترض,ما هو القولون الذي يمتد بشكل أفقي؟
227,228,Y1,Anatomy,Anatomy,5,4,2,1,,,D,ABCD,عدد القطع العصعصية في النخاع الشوكي هو :,1,كم عدد القطع العصعصية في النخاع الشوكي؟
229,230,Y1,Anatomy,Anatomy,المخاطية,العضلية,المصلية,تحت المخاطية,,,B,ABCD,ما الطبقة التي تمثلها العضلة الدافعة في المثانة,العضلية,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟
230,231,Y2,Histology,Anatomy,خلايا لانغرهانس.,خلايا ميركل.,خلايا الميلانين.,a+b,,,B,ABCD,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية :,خلايا ميركل.,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟
234,235,Y1,Anatomy,Anatomy,الطرجهالي,القريني,الإسفيني,الفلكة,,,B,ABCD,ما اسم الكرة الصغيرة فوق قمة الغضروف :,القريني,ما اسم الكرة الصغيرة فوق قمة الغضروف؟
235,236,Y1,Anatomy,Anatomy,راحة اليد وأخمص القدم,حشفة القضيب,دهليز الفرج,B+C,,,A,ABCD,لا توجد الغدد الزهمية في :,راحة اليد وأخمص القدم,أين لا توجد الغدد الزهمية؟
239,240,Y1,Anatomy,Anatomy,السابع,الخامس,الثالث,الأول,,,A,ABCD,العصب المسؤول عن حركات عضلات الوجه التعبيرية:,السابع,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟
240,241,Y1,Anatomy,Anatomy,خشانية,وتدية,قذالية,جبهية,,,A,ABCD,الزاوية الخلفية السفلية في العظم الجداري:,خشانية,ما هي الزاوية الخلفية السفلية في العظم الجداري؟
244,245,Y1,Anatomy,Anatomy,القاعدة.,جسم الفك السفلي.,الرأد.,الحافة السنخية.,,,C,ABCD,يسمى فرع الفك السفلي ايضا:,الرأد.,ما هو الاسم الآخر لفرع الفك السفلي؟
252,253,Y2,Anatomy,Anatomy,يمتد من اللقمة الأنسية للفخذ,يرتكز على الحدية الظنبوبية,يمنع ازياح الساق للأمام,يمنع ازياح الفخذ للأمام,,,C,ABCD,ماذا يفعل الرباط المتصالب الأمامى:,يمنع ازياح الساق للأمام,ماذا يفعل الرباط المتصالب الأمامي؟
254,255,Y1,Anatomy,Anatomy,الثقبة الإبرية الخشانية,الثقبة المدورة,الثقبة الشوكية,الثقبة البيضية,,,A,ABCD,يعبر العصب الوجهي عبر الثقبة ال:,الثقبة الإبرية الخشانية,ما هي الثقبة التي يعبر من خلالها العصب الوجهي؟
261,262,Y1,Anatomy,Anatomy,الغلوكاغون,الأنسولين,السوماتوستاتين,لا شيء مما سبق,,,B,ABCD,تفرز خلايا بيتا في البنكرياس :,الأنسولين,ماذا تفرز خلايا بيتا في البنكرياس؟
266,267,Y1,Anatomy,Anatomy,التامور الليفي,التامور المصلي الجداري,التامور المصلي الحشوي :,لا شيء مما سبق,,,A,ABCD,التامور الخارجي الذي لا يرتبط بالقلب,التامور الليفي,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟
268,269,Y1,Anatomy,Anatomy,الجسم,الميزابة,العنق,الرأس,,,C,ABCD,القسم من الضلع الواقع بين الرأس والحديبة:,العنق,ما هو القسم من الضلع الواقع بين الرأس والحديبة؟
272,273,Y1,Anatomy,Anatomy,الكعب,العقب,القعب,الفخذ,,,C,ABCD,مع أي عظم يتمفصل الظنبوب في الأسفل :,القعب,مع أي عظم يتمفصل الظنبوب في الأسفل؟
276,277,Y2,Anatomy,Anatomy,المستقيمه الرأسيه الخلفيه الصغيرة,المستقيمه الرأسيه الجانبيه,المستقيمه الرأسيه الاماميه,المستقيمه الرأسيه الخلفيه الكبيره,المنحرفه الرأسيه السفليه,,A,ABCDE,ترتبط من العضلات العميقه التاليه للمثلث الخلفى للعنق بحدبه الاطلس الخلفيه,المستقيمه الرأسيه الخلفيه الصغيرة,أي من العضلات العميقة التالية للمثلث الخلفي للعنق ترتبط بحدبة الأطلس الخلفية؟
278,279,Y1,Anatomy,Anatomy,دهليز الفم,اللثتين,جوف الفم المخصوص,القوس السنخية,,,C,ABCD,يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق:,جوف الفم المخصوص,ما هو التركيب الذي يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق؟
280,281,Y1,Anatomy,Anatomy,لفافة كولس,اللفافة المنوية الخارجية,الغلالة الغمدية,اللفافة المنوية الداخلية,,,C,ABCD,. البنية التي تغطي السطوح الامامي والانسي والوحشي للخصية هي,الغلالة الغمدية,ما هي البنية التي تغطي السطوح الأمامي والإنسي والوحشي للخصية؟
281,282,Y1,Anatomy,Anatomy,تحت الحنجرة وعلى جانبي الرغامي وأمامها,يتصل الفصين مع بعضهما بجسر نسيجي يدعى البرزخ,تحاط بلفافة من اللفافة الرقبية السطحية,A + B,,,A,ABCD,موقع الغدة الدرقية,تحت الحنجرة وعلى جانبي الرغامي وأمامها,أين يقع موقع الغدة الدرقية؟
282,283,Y1,Anatomy,Anatomy,الجدار الوحشى للأنف.,أرضية الأنف.,سقف الأنف.,كل ما سبق خطأ .,,,C,ABCD,تتوضع مستقبلات الشم في :,سقف الأنف.,أين تتوضع مستقبلات الشم؟
283,284,Y1,Anatomy,Anatomy,شحمية,بيتيدية,سكرية,لا شيء مما سبق,,,B,ABCD,هرمونات الغدة النخامية ذات طبيعة:,بيتيدية,ما هي طبيعة هرمونات الغدة النخامية؟
284,285,Y2,Anatomy,Anatomy,نموذج رزى,لا يتصل مع الكعبرى الزندى العلوى,عبره تتم حركه الكب والاستلقاء,لا يشارك رأس الكعبره فى تكوينه,,,A,ABCD,ما هو مفصل المرفق:,نموذج رزى,ما هو مفصل المرفق؟
285,286,Y2,Anatomy,Anatomy,أسفل الحافة الوحشية لعظم لوح الكتف.,الحافة السفلية لشوك الكتف.,الحفرة تحت الكتفية لعظم اللوح.,الحفرة تحت الشوكية لعظم اللوح.,أعلى الحافة الوحشية لعظم اللوح.,,A,ABCDE,تنشأ العضلة المدورة الكبيرة بشكل أساسي من :,أسفل الحافة الوحشية لعظم لوح الكتف.,ما هو المكان الذي تنشأ منه العضلة المدورة الكبيرة بشكل أساسي؟
286,287,Y1,Anatomy,Anatomy,أيسر الأجوف السفلي,خلف الأجوف السفلي,أيمن الأجوف السفلي,أمام الأجوف السفلي,,,A,ABCD,أين يتوضع الأبهر النازل البطني؟,أيسر الأجوف السفلي,أين يتوضع الأبهر النازل البطني؟
287,288,Y1,Anatomy,Anatomy,عرى اللفائفي والكولون السيني,الجيب المثاني الرحمي,الجيب المستقيمي المثاني,لا شيء مما سبق,,,A,ABCD,يجاور السطح العلوي لمثانة الرجل,عرى اللفائفي والكولون السيني,ما الذي يجاور السطح العلوي لمثانة الرجل؟
288,289,Y1,Anatomy,Anatomy,الحجاب الحاجز.,رافعات الأضلاع.,المستعرضة الصدرية.,العضلات الوربية.,,,A,ABCD,عضلة الشهيق الرئيسية:,الحجاب الحاجز.,ما هي عضلة الشهيق الرئيسية؟
289,290,Y1,Anatomy,Anatomy,شريان – وريد – حويضة,وريد – شريان – حويضة,حويضة – شريان – وريد,حويضة – وريد – شريان,,,C,ABCD,يدخل سرة الكلية من الخلف للأمام بالترتيب:,حويضة – شريان – وريد,ما هو ترتيب دخول التراكيب إلى سرة الكلية من الخلف للأمام؟
301,302,Y1,Anatomy,Anatomy,الوجه الوحشي للزج.,الوجه الإنسي السفلي للناتي الإبري.,الوجه الوحشي للناتئ المنقاري.,الوجه الأنسي للزج.,,,C,ABCD,تشاهد التلمة الكعبرية للزند على:,الوجه الوحشي للناتئ المنقاري.,أين تشاهد التلمة الكعبرية للزند؟
307,308,Y1,Anatomy,Anatomy,خلف الكلم الإنتهائي,في ذروة اللسان,أمام الثلم الإنتهائي,على حافتي اللسان,,,A,ABCD,تتوضع الثقبة العوراء في اللسان :,خلف الكلم الإنتهائي,أين تتوضع الثقبة العوراء في اللسان؟
312,313,Y1,Anatomy,Anatomy,المعي الدقيق,المري,المعدة,المعي الغليظ,,,A,ABCD,أطول أجزاء الأنبوب الهضمي :,المعي الدقيق,ما هو أطول أجزاء الأنبوب الهضمي؟
314,315,Y2,Anatomy,Anatomy,كمثرية - توأمية علوية - سادة باطنة - توأمية سفلية,كمثرية - توأمية علوية - توأمية سفلية - سادة باطنة,كمثرية - سادة باطنة - توأمية علوية - توأمية سفلية,توأمية علوية - سادة باطنة - كمثرية - توأمية سفلية,سادة باطنة - كمثرية - توأمية علوية - توأمية سفلية,,A,ABCDE,إن ترتيب العضلات من الأعلى للأسفل على الناحية الخلفية للألية:,كمثرية - توأمية علوية - سادة باطنة - توأمية سفلية,ما هو ترتيب العضلات من الأعلى للأسفل على الناحية الخلفية للألية؟
324,325,Y1,Anatomy,Anatomy,التامور الليفي,التامور المصلي الجداري,التامور المصلي الحشوي,لا شيء مما سبق,,,B,ABCD,الطبقة المبطنة للتامور الليفي:,التامور المصلي الجداري,ما هي الطبقة المبطنة للتامور الليفي؟
329,330,Y1,Anatomy,Anatomy,المري,المعي الدقيق,الكولون,البلعوم,,,B,ABCD,أطول أجزاء أنبوب الهضم:,المعي الدقيق,ما هو أطول أجزاء أنبوب الهضم؟
330,331,Y2,Histology,Anatomy,الغلوكاغون,الانسولين,الباراثورمون,الثيروكسين,الثالث والرابع,,B,ABCDE,الخلايا الشحمية قادرة على تصنيع Fatty acids من الغلوكوز هي عملية تتسرع بتاثير :,الانسولين,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟
337,338,Y1,Anatomy,Anatomy,الاربي,المدور,العريض,الوريدي,,,C,ABCD,يربط الرحم بجدران الحوض الجانبية الرباط:,العريض,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟
338,339,Y1,Anatomy,Anatomy,بني غامق,أبيض,مائل للصفرة,رمادي,,,A,ABCD,لون لب الكظر :,بني غامق,ما هو لون لب الكظر؟
346,347,Y2,Anatomy,Anatomy,ذقنية لسانية,ضرسية لامية,لامية لسانية,ذقنية لامية,ذات البطنين,,A,ABCDE,تشكل معظم الكتلة العضلية للسان.,ذقنية لسانية,ما الذي يشكل معظم الكتلة العضلية للسان؟
348,349,Y1,Anatomy,Anatomy,الخيطية,الفطرية,الورقية,المحوطة,,,A,ABCD,أصغر الحليمات الذوقية وأكثرها عدداً:,الخيطية,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟
353,354,Y1,Anatomy,Anatomy,عضلات جدار البطن الأمامي,عضلات العمود الفقري,عضلات الصدر السطحية,عضلات الصدر العميقة,,,B,ABCD,عضلات طويلة تربط الفقرات مع بعضها:,عضلات العمود الفقري,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟
