id,input,prediction,ground_truth,prediction_clean,ground_truth_clean,bleu_example,rouge1_example,rouge2_example,rougeL_example,bert_precision_example,bert_recall_example,bert_f1_example
49,تقع المنطقة الشمية في:,ANSWER: القرين العلوي,سقف الأنف,القرين العلوي,سقف الأنف,0,0,0,0,0.3493890464,0.1869150251,0.2680707574
50,يتصل المدورين بالأمام في الفخذ بـ:,ANSWER: الخط بين المدورين (intertrochanteric line),الخط بين المدورين,الخط بين المدورين (intertrochanteric line),الخط بين المدورين,0.1634812656,0,0,0,0.4630939066,0.9273765087,0.686183095
51,يوجد التلم الكعبري في جسم العضد:,ANSWER: في الخلف,على الوجه الخلفي.,في الخلف,على الوجه الخلفي.,0,0,0,0,0.658346355,0.3726387024,0.5125358105
53,يرتكز الرباط الإبري اللامي على:,ANSWER: القرن الصغير للعظم اللامي,النهاية العلوية للقرن الصغير للعظم اللامي.,القرن الصغير للعظم اللامي,النهاية العلوية للقرن الصغير للعظم اللامي.,0.1878296463,0,0,0,0.7909608483,0.6108260751,0.6999391317
54,تتشكل ضفيرة راشكوف في لب السن من :,ANSWER: ضفيرة من الألياف العصبية تحت طبقة الأرومات السنية,ألياف حسية.,ضفيرة من الألياف العصبية تحت طبقة الأرومات السنية,ألياف حسية.,0,0,0,0,0.2009467781,0.6611875892,0.4221479297
55,يقع المستقيم بين :,ANSWER: القولون السيني والقناة الشرجية,القولون السيني والقناة الشرجية,القولون السيني والقناة الشرجية,القولون السيني والقناة الشرجية,1,0,0,0,0.9999992847,0.9999992847,0.9999992847
56,حديبات مونتغومري هي غدد,ANSWER: غدد دهنية في الهالة حول الحلمة,دهنية,غدد دهنية في الهالة حول الحلمة,دهنية,0.04082482905,0,0,0,0.1003101319,0.681147933,0.3759193718
59,يتواجد في المناطق المعرضة لقوى السحب والشد,ANSWER: الكولاجين من النوع الأول,Fibrocartilage,الكولاجين من النوع الأول,Fibrocartilage,0,0,0,0,0,0,0
73,العصب الحجابي فرع الضفيرة :,ANSWER: الرقبية,الرقبية,الرقبية,الرقبية,0.177827941,0,0,0,0.9999992847,0.9999992847,0.9999992847
74,يفرز الأدرينالين من :,ANSWER: نخاع الكظر,لب الكظر,نخاع الكظر,لب الكظر,0.1495348781,0,0,0,0.407834053,0.6316229701,0.518221736
75,يتشكل الوريد الأجوف السفلي من إتحاد :,ANSWER: الوريدين الحرقفيين الأصليين,الوريدين الحرقفيين المشتركين الأيمن والأيسر,الوريدين الحرقفيين الأصليين,الوريدين الحرقفيين المشتركين الأيمن والأيسر,0.1233644514,0,0,0,0.8409332037,0.7544424534,0.7976890206
78,في الشرايين الطبقة الأكثر تمايزاً وكثافة هي:,ANSWER: الطبقة الوسطى (Tunica media),المتوسطة,الطبقة الوسطى (Tunica media),المتوسطة,0,0,0,0,0.1769293398,0.4952176511,0.3323617876
79,مما ينتج هرمون T4؟,ANSWER: من الغدة الدرقية,الدرق,من الغدة الدرقية,الدرق,0,0,0,0,0.07264236361,0.6067625284,0.3272868395
85,العضلة التي ترتكز بشكل أساسي على العظم الزورقي:,ANSWER: الظنبوبية الخلفية,الظنبوبي الخلفي,الظنبوبية الخلفية,الظنبوبي الخلفي,0,0,0,0,0.8332222104,0.9209822416,0.8769724965
87,تقع المنطقة الشمية في :,ANSWER: القرين العلوي,سقف الأنف,القرين العلوي,سقف الأنف,0,0,0,0,0.3493890464,0.1869150251,0.2680707574
88,الوسادة من النسيج الدهني فوق الارتفاق العاني تدعى,ANSWER: جبل الزهرة (جبل فينوس),جبل العانة,جبل الزهرة (جبل فينوس),جبل العانة,0.04082482905,0,0,0,0.3529346883,0.6007704139,0.4748750031
89,يعبر من الشق الحجاجي العلوي الأعصاب القحفية :,"ANSWER: III, IV, VI, V1",كل ما سبق صحيح,"III, IV, VI, V1",كل ما سبق صحيح,0,0,0,0,0,0,0
98,يتوضع الكولون السيني في,ANSWER: الحفرة الحرقفية اليسرى,الناحية المغبنية اليسرى,الحفرة الحرقفية اليسرى,الناحية المغبنية اليسرى,0.1136219366,0,0,0,0.6226722002,0.5797224045,0.6017615199
103,ما القسم العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف:,ANSWER: الثلمة الغربالية,الثلمة الغربالية,الثلمة الغربالية,الثلمة الغربالية,0.316227766,0,0,0,0.9999996424,0.9999996424,0.9999996424
105,الفروع الانتهائية للسبات الظاهر:,ANSWER: الشريان الصدغي السطحي والشريان الفكي العلوي,الفكي والصدغي والسطحي,الشريان الصدغي السطحي والشريان الفكي العلوي,الفكي والصدغي والسطحي,0.04082482905,0,0,0,0.4511845708,0.7600206733,0.6019525528
113,. عصب الفك العلوي يمر من,ANSWER: الثقبة المدورة,الثقبة المدورة,الثقبة المدورة,الثقبة المدورة,0.316227766,0,0,0,1,1,1
114,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي,ANSWER: القمة الوتدية (Sphenoidal crest),المنقار الوتدي,القمة الوتدية (Sphenoidal crest),المنقار الوتدي,0,0,0,0,0.3007333577,0.4813849032,0.3905229568
115,ما اسم العظم الذي يتوضع كيس الدمع عليه :,ANSWER: العظم الدمعي,الدمعي أنسي الحجاج,العظم الدمعي,الدمعي أنسي الحجاج,0.09069748828,0,0,0,0.537538588,0.3611249924,0.4487798512
116,ينشأ الشريان السباتي المشترك الأيسر من :,ANSWER: قوس الأبهر,قوس الأبهر مباشرة,قوس الأبهر,قوس الأبهر مباشرة,0.1918018355,0,0,0,0.9281981587,0.658544898,0.7905339599
120,ما طول الأسهر,ANSWER: 45 سم,45 سم,45 سم,45 سم,0.316227766,1,0,1,1,1,1
128,يعبر الشريان السحائي الأوسط عبر:,ANSWER: الثقبة الشوكية,الثقبة الشوكية,الثقبة الشوكية,الثقبة الشوكية,0.316227766,0,0,0,1,1,1
138,الطية الجلدية التي تغطي رأس القضيب تدعى,ANSWER: القلفة,القلفة,القلفة,القلفة,0.177827941,0,0,0,1,1,1
139,مكان شائع لإنحشار الأجسام الأجنبية في البلعوم الحنجري :,ANSWER: الجيب الكمثري (Pyriform sinus),الردب الكمثري,الجيب الكمثري (Pyriform sinus),الردب الكمثري,0.04082482905,0,0,0,0.3332467973,0.6849249601,0.5042203069
145,- ترتكز على الحفرة المدورية :,ANSWER: العضلة السدادية الظاهرة,العضلة السدادية الظاهرة,العضلة السدادية الظاهرة,العضلة السدادية الظاهرة,0.5623413252,0,0,0,1,1,1
147,أين يتوضع الدرز الأكليلي :,ANSWER: بين العظم الجبهي والعظمين الجداريين,يتوضع بين العظم الجبهي والجداريين.,بين العظم الجبهي والعظمين الجداريين,يتوضع بين العظم الجبهي والجداريين.,0.2177126202,0,0,0,0.7827340961,0.6019122601,0.6913692951
152,ماذا يفعل الرباط المتصالب الأمامي:,ANSWER: يمنع انزلاق الظنبوب للأمام على الفخذ,يمنع انزياح الساق للأمام,يمنع انزلاق الظنبوب للأمام على الفخذ,يمنع انزياح الساق للأمام,0.04854917717,0,0,0,0.5776318312,0.7371039391,0.6567926407
157,ما العصب القحفي الذي يعبر الثقبة البيضية :,ANSWER: العصب الفكي السفلي (الفرع الثالث من العصب مثلث التوائم),الفكي السفلي,العصب الفكي السفلي (الفرع الثالث من العصب مثلث التوائم),الفكي السفلي,0.03986357128,0,0,0,0.07825175673,0.6338181496,0.3425324857
159,تتفرع القصبات الفصية الى أي قصبات؟,ANSWER: القصبات القطعية,قطعية شدفية,القصبات القطعية,قطعية شدفية,0,0,0,0,0.4053535759,0.4842521846,0.4454181194
161,توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر في :,ANSWER: جذع الدماغ,جذع الدماغ,جذع الدماغ,جذع الدماغ,0.316227766,0,0,0,1,1,1
166,على ماذا يحوي البلعوم الفموي اللوزتين؟,ANSWER: اللوزتين الحنكيتين,الحنكيتين,اللوزتين الحنكيتين,الحنكيتين,0.1495348781,0,0,0,0.557443738,0.7805345654,0.6673143506
167,. على اي من وجوه الكبد التالية يوجد مسكن المرارة:,ANSWER: الوجه الحشوي (Visceral surface),السفلي,الوجه الحشوي (Visceral surface),السفلي,0,0,0,0,0,0,0
168,ما هو العصب القحفي الثاني:,ANSWER: العصب البصري,البصري - حاسي,العصب البصري,البصري - حاسي,0.09069748828,0,0,0,0.5684141517,0.4584250152,0.513653934
175,ما وظيفة تحت الكتفية:,ANSWER: دوران داخلي للكتف,دوران أنسي للكتف.,دوران داخلي للكتف,دوران أنسي للكتف.,0.09681772178,0,0,0,0.7415343523,0.7908993959,0.7664910555
178,في ارتكاز المشيمة المعيب previa placenta تتوضع المشيمة:,ANSWER: في القطعة السفلية للرحم,بين الجنين والمهبل.,في القطعة السفلية للرحم,بين الجنين والمهبل.,0,0,0,0,0.1442874968,0.2475373745,0.1967027336
181,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية,ANSWER: الطبقة السمحاقية من الأم الجافية,الام الجافية,الطبقة السمحاقية من الأم الجافية,الام الجافية,0.05372849659,0,0,0,0.4151814282,0.6978114843,0.5535919666
183,تتوضع المنطقة الشمية في :,ANSWER: القرين العلوي والثلث العلوي من الحاجز الأنفي,القسم العلوي من مخاطية الأنف,القرين العلوي والثلث العلوي من الحاجز الأنفي,القسم العلوي من مخاطية الأنف,0.06985342057,0,0,0,0.5879021883,0.6059850454,0.5975839496
184,الألياف التي تربط المراكز القشرية بالمحيط تُدعى:,ANSWER: ألياف الإسقاط,إسقاطية,ألياف الإسقاط,إسقاطية,0,0,0,0,0.3220902383,0.6291331053,0.4721203446
185,تتمادى البصلة في الأمام لتشكل في جسم القضيب:,ANSWER: الجسم الإسفنجي,الجسم الاسفنجي,الجسم الإسفنجي,الجسم الاسفنجي,0.1495348781,0,0,0,0.8263725638,0.8859196305,0.8562277555
193,أكبر غدد الجسم,ANSWER: الكبد,الكبد,الكبد,الكبد,0.177827941,0,0,0,1,1,1
194,يتفرع الشريان الكلوي لخمسة شرايين:,ANSWER: شرايين قطعية,قطعية,شرايين قطعية,قطعية,0.1495348781,0,0,0,0.4032247066,0.7777698636,0.5848326683
196,بماذا ينتهي الشريان الوجهي:,ANSWER: الشريان الزاوي,الشريان الزاوي,الشريان الزاوي,الشريان الزاوي,0.316227766,0,0,0,1,1,1
201,طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب :,ANSWER: المنطقة الغنية بالخلايا,المنطقة الغنية بالخلايا.,المنطقة الغنية بالخلايا,المنطقة الغنية بالخلايا.,0.4029351667,0,0,0,0.9425037503,0.9050734639,0.9238519073
202,تقع فوهة مصب الجيب الأكليلي :,ANSWER: في الأذين الأيمن,أمام وأسفل مصب الأجوف السفلي,في الأذين الأيمن,أمام وأسفل مصب الأجوف السفلي,0,0,0,0,0.4682204127,0.2499533147,0.3578773737
203,. الزاوية الامامية السفلية للعظم الجداري,ANSWER: البتريون (Pterion),وتدية,البتريون (Pterion),وتدية,0,0,0,0,0.1274122596,0.4232297838,0.2723125815
206,أي عصب هو المحرك لعضلات اللسان:,ANSWER: العصب تحت اللسان (الزوج الثاني عشر),12,العصب تحت اللسان (الزوج الثاني عشر),12,0,0,0,0,0,0.1694849133,0
208,ما البروز العظمي الذي يحتوي الوجه الداخلي لفرع الفك السفلي عليه:,ANSWER: اللقيمة الفكية السفلية (Mandibular lingula),اللسين,اللقيمة الفكية السفلية (Mandibular lingula),اللسين,0,0,0,0,0,0.3826264739,0.07103711367
209,مواد تفرزها الغدد استجابة للتنبيه وترحل عبر الدم :,ANSWER: الهرمونات,الهرمونات,الهرمونات,الهرمونات,0.177827941,0,0,0,1,1,1
210,ما الزاوية بين قبضة وجسم القص :,ANSWER: 165 درجة,لويس,165 درجة,لويس,0,0,0,0,0,0.006066726521,0
215,. يخرج العصب الفكي العلوي من الجمجمة عبر:,ANSWER: الثقبة المدورة,الثقبة المدورة,الثقبة المدورة,الثقبة المدورة,0.316227766,0,0,0,1,1,1
217,يتحدد المنصف العلوي جانبيا بـ:,ANSWER: غشاء الجنب المنصفي (الجنبة المنصفية),الجنية المنصفية.,غشاء الجنب المنصفي (الجنبة المنصفية),الجنية المنصفية.,0.03303164318,0,0,0,0.4541330934,0.6845175028,0.5676230788
218,- تتمفصل الوجيهات الموجودة على النواتي المستعرضة للفقرة الصدرية مع:,ANSWER: حديبة الضلع,رأس الضلع الموافق,حديبة الضلع,رأس الضلع الموافق,0.09069748828,0,0,0,0.3505723476,0.2213281691,0.2863087654
223,ترتكز العضلة العريضة الظهرية : (2017 ثانية),ANSWER: على الثلث الأوسط للشفة الإنسية للميزاب ذي الرأسين,قاع أخدود ذات الرأسين.,على الثلث الأوسط للشفة الإنسية للميزاب ذي الرأسين,قاع أخدود ذات الرأسين.,0.02777619034,0,0,0,0.259431392,0.4437924922,0.351064533
228,عدد القطع العصعصية في النخاع الشوكي هو :,ANSWER: 1,1,1,1,0.177827941,1,0,1,1,1,1
230,ما الطبقة التي تمثلها العضلة الدافعة في المثانة,ANSWER: الطبقة العضلية,العضلية,الطبقة العضلية,العضلية,0.1495348781,0,0,0,0.4039070904,0.7797036767,0.5860980749
231,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية :,ANSWER: خلايا ميركل,خلايا ميركل.,خلايا ميركل,خلايا ميركل.,0.1918018355,0,0,0,0.9340215921,0.9390851259,0.9366551042
235,ما اسم الكرة الصغيرة فوق قمة الغضروف :,ANSWER: Corniculate cartilage,القريني,Corniculate cartilage,القريني,0,0,0,0,0,0,0
236,لا توجد الغدد الزهمية في :,ANSWER: راحة اليد وأخمص القدم,راحة اليد وأخمص القدم,راحة اليد وأخمص القدم,راحة اليد وأخمص القدم,1,0,0,0,1,1,1
240,العصب المسؤول عن حركات عضلات الوجه التعبيرية:,ANSWER: العصب الوجهي (العصب القحفي السابع),السابع,العصب الوجهي (العصب القحفي السابع),السابع,0.03303164318,0,0,0,0,0.6527481079,0.2595553398
244,يقع الغضروف الحلقي مقابل الفقرة :,ANSWER: C6,C6,C6,C6,0.177827941,1,0,1,1,1,1
245,يسمى فرع الفك السفلي ايضا:,ANSWER: الناتئ المفصلي (Condylar process),الرأد.,الناتئ المفصلي (Condylar process),الرأد.,0,0,0,0,0,0.3171832263,0.09638920426
262,تفرز خلايا بيتا في البنكرياس :,ANSWER: الأنسولين,الأنسولين,الأنسولين,الأنسولين,0.177827941,0,0,0,1,1,1
267,التامور الخارجي الذي لا يرتبط بالقلب,ANSWER: التامور الليفي,التامور الليفي,التامور الليفي,التامور الليفي,0.316227766,0,0,0,1,1,1
269,القسم من الضلع الواقع بين الرأس والحديبة:,ANSWER: العنق,العنق,العنق,العنق,0.177827941,0,0,0,1,1,1
273,مع أي عظم يتمفصل الظنبوب في الأسفل :,ANSWER: الكاحل (عظم القعب/Talus),القعب,الكاحل (عظم القعب/Talus),القعب,0.03303164318,0,0,0,0.04900131375,0.6301111579,0.3246610761
277,ترتبط من العضلات العميقه التاليه للمثلث الخلفى للعنق بحدبه الاطلس الخلفيه,ANSWER: العضلة المائلة الرأسية العلوية (Obliquus capitis superior),المستقيمه الرأسيه الخلفيه الصغيرة,العضلة المائلة الرأسية العلوية (Obliquus capitis superior),المستقيمه الرأسيه الخلفيه الصغيرة,0,0,0,0,0.2491634786,0.3251780868,0.2880544364
279,يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق:,ANSWER: جوف الفم الخاص,جوف الفم المخصوص,جوف الفم الخاص,جوف الفم المخصوص,0.2402811414,0,0,0,0.8764110804,0.8112158775,0.8438822627
281,. البنية التي تغطي السطوح الامامي والانسي والوحشي للخصية هي,ANSWER: الغلالة الغمدية (Tunica vaginalis),الغلالة الغمدية,الغلالة الغمدية (Tunica vaginalis),الغلالة الغمدية,0.08633400214,0,0,0,0.4823311269,0.9244328141,0.6952198148
284,هرمونات الغدة النخامية ذات طبيعة:,ANSWER: بروتينية,بيتيدية,بروتينية,بيتيدية,0,0,0,0,0.6321194172,0.7778837085,0.7045432925
285,ما هو مفصل المرفق:,ANSWER: مفصل رزي (Hinge joint),نموذج رزى,مفصل رزي (Hinge joint),نموذج رزى,0,0,0,0,0.2177965492,0.2554222345,0.2377825379
286,تنشأ العضلة المدورة الكبيرة بشكل أساسي من :,ANSWER: السطح الخلفي للزاوية السفلية لعظم الكتف,أسفل الحافة الوحشية لعظم لوح الكتف.,السطح الخلفي للزاوية السفلية لعظم الكتف,أسفل الحافة الوحشية لعظم لوح الكتف.,0.04109599123,0,0,0,0.6636037827,0.6791525483,0.6719015837
288,يجاور السطح العلوي لمثانة الرجل,ANSWER: الأمعاء الدقيقة والقولون السيني,عرى اللفائفي والكولون السيني,الأمعاء الدقيقة والقولون السيني,عرى اللفائفي والكولون السيني,0.08034284189,0,0,0,0.4925434887,0.5020594001,0.498114109
289,عضلة الشهيق الرئيسية:,ANSWER: الحجاب الحاجز,الحجاب الحاجز.,الحجاب الحاجز,الحجاب الحاجز.,0.1918018355,0,0,0,0.9669789672,0.9691708088,0.9681267738
290,يدخل سرة الكلية من الخلف للأمام بالترتيب:,ANSWER: الحالب، الشريان الكلوي، الوريد الكلوي,حويضة – شريان – وريد,الحالب، الشريان الكلوي، الوريد الكلوي,حويضة – شريان – وريد,0,0,0,0,0.2541382313,0.5406414866,0.3945331275
302,تشاهد التلمة الكعبرية للزند على:,ANSWER: الوجه الوحشي للنهاية السفلية للزند,الوجه الوحشي للناتئ المنقاري.,الوجه الوحشي للنهاية السفلية للزند,الوجه الوحشي للناتئ المنقاري.,0.1136219366,0,0,0,0.6329419017,0.6482352614,0.6411626935
308,تتوضع الثقبة العوراء في اللسان :,ANSWER: عند قمة الثلم الانتهائي,خلف الكلم الإنتهائي,عند قمة الثلم الانتهائي,خلف الكلم الإنتهائي,0,0,0,0,0.5024704337,0.5255810022,0.5147914886
313,أطول أجزاء الأنبوب الهضمي :,ANSWER: الأمعاء الدقيقة,المعي الدقيق,الأمعاء الدقيقة,المعي الدقيق,0,0,0,0,0.415251106,0.7385761142,0.5728732347
330,أطول أجزاء أنبوب الهضم:,ANSWER: الأمعاء الدقيقة,المعي الدقيق,الأمعاء الدقيقة,المعي الدقيق,0,0,0,0,0.415251106,0.7385761142,0.5728732347
354,عضلات طويلة تربط الفقرات مع بعضها:,ANSWER: العضلات المستعرضة الشوكية,عضلات العمود الفقري,العضلات المستعرضة الشوكية,عضلات العمود الفقري,0,0,0,0,0.5460377932,0.5648249388,0.5561382771
358,يقع التلفيف خلف المركزي في :,ANSWER: الفص الجداري,الفص الجداري.,الفص الجداري,الفص الجداري.,0.1918018355,0,0,0,0.9381791949,0.9429237247,0.9406472445
361,التلفيف خلف المركزي يحوي باحة :,ANSWER: الحس الجسمي العام,الحس الجسدي الأولية,الحس الجسمي العام,الحس الجسدي الأولية,0.1136219366,0,0,0,0.6997049451,0.6380593181,0.6692493558
367,أصغر الحليمات الذوقية وأكثرها عدداً:,ANSWER: الحليمات الخيطية,الخيطية,الحليمات الخيطية,الخيطية,0.1495348781,0,0,0,0.3821437359,0.8018379807,0.5847073197
377,عضلات لها منشأ عظمي وترتكز على باطن جلد الوجه:,ANSWER: عضلات التعبير الوجهي (عضلات الوجه),عضلات الوجه التعبيرية,عضلات التعبير الوجهي (عضلات الوجه),عضلات الوجه التعبيرية,0.06985342057,0,0,0,0.6627321243,0.719131887,0.6912940741
380,أطول أجزاء أنبوب الهضم هي:,ANSWER: الأمعاء الدقيقة,المعي الدقيق,الأمعاء الدقيقة,المعي الدقيق,0,0,0,0,0.415251106,0.7385761142,0.5728732347
382,ينشأ الجذع الرئوي من :,ANSWER: البطين الأيمن,البطين الأيمن,البطين الأيمن,البطين الأيمن,0.316227766,0,0,0,0.9999996424,0.9999996424,0.9999996424
391,. عدد اشفاع الاعصاب الرقيبة,ANSWER: 8 أزواج,8 ازواج من اشفاع الاعصاب,8 أزواج,8 ازواج من اشفاع الاعصاب,0.0333657413,1,0,1,0.6308508515,0.2942668498,0.4581859708
392,المنطقة المتوسطة من نواح البطن:,ANSWER: المنطقة السرية,السرية,المنطقة السرية,السرية,0.1495348781,0,0,0,0.1868519932,0.7282703519,0.4448855519
394,يصل بين الأذينة اليسرى والبطين الأيسر :,ANSWER: الصمام التاجي (المترال),فوهة التاجي,الصمام التاجي (المترال),فوهة التاجي,0.05372849659,0,0,0,0.3617157936,0.416487813,0.3899547458
395,يعطي الرباط الحرقفي القطني منشأ ل:,ANSWER: العضلة القطنية المربعة,العضلة المربعة القطنية.,العضلة القطنية المربعة,العضلة المربعة القطنية.,0.1071464222,0,0,0,0.8895418644,0.8947984576,0.8923438787
397,عدد  الأهرام التي يتألف اللب الكلوي منها :,ANSWER: 8-18,۱۲ هرم,8-18,۱۲ هرم,0,0,0,0,0,0,0
453,القسم العلوي المتسع من الحالب بدعى,ANSWER: الحويضة,الحويضة,الحويضة,الحويضة,0.177827941,0,0,0,0.9999992847,0.9999992847,0.9999992847
469,يستمر الشريان تحت الترقوة بالشريان:,ANSWER: الإبطي,الابطي,الإبطي,الابطي,0,0,0,0,0.5295364261,0.6025217175,0.5664940476
481,كم طول حنجرة الرجل:,ANSWER: 44 ملم,4.5 سم,44 ملم,4.5 سم,0,0,0,0,0.2248577327,0.2761741877,0.2516081333
582,القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد يحوي,ANSWER: الحبل السري والرباط المدور,تلم الرباط الوريدي,الحبل السري والرباط المدور,تلم الرباط الوريدي,0,0,0,0,0.4983226955,0.6078353524,0.5532621145
592,العصب الحركي للعضلات الماضغة :,ANSWER: العصب مثلث التوائم (الفرع الفكي السفلي),الخامس,العصب مثلث التوائم (الفرع الفكي السفلي),الخامس,0,0,0,0,0,0.2173140943,0
597,العضو المتخصص بتشكيل الصوت والتدخل بالدور في الكلام :,ANSWER: الحنجرة,الحنجرة,الحنجرة,الحنجرة,0.177827941,0,0,0,0.9999989271,0.9999989271,0.9999989271
603,العصب القحفي المتواسط بإفراز الغدد الدمعية واللعابية هو العصب رقم :,ANSWER: VII,السابع,VII,السابع,0,0,0,0,0.2822032869,0,0
1361,ما هي الزاوية التقريبة للرابطة في جزيء الإيثين:,ANSWER: 120 درجة,120,120 درجة,120,0.1495348781,1,0,1,0,0.4056687951,0
1369,سم النواتج المتشكلة عند تفاعل معدن الصوديوم مع الاتانول؟,ANSWER: إيثوكسيد الصوديوم وغاز الهيدروجين,اوكسيد الصوديوم وهيدروجين,إيثوكسيد الصوديوم وغاز الهيدروجين,اوكسيد الصوديوم وهيدروجين,0.08034284189,0,0,0,0.6889297366,0.8327167034,0.7603082657
