id,level,question,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,keep
14,Y1,اختر الخاطئ :,Anatomy,Anatomy,للمخ ست طبقات,يقسم المخ الى باحات حسب الانتظام النسيجي,الباحات الأولية تعمل على تخزين الذاكرة المكتسبة,كل ما سبق صحيح,,,C,ABCD,no
15,Y2,لا يمكن تمييز Internal Elastic Lamina بسهولة في :,Histology and Anatomy,Anatomy,Cerebral Artery,الأول والثالث,Elastic Artery,Muscular Artery,,,C,ABCDE,no
16,Y1,الحافة من الفرع التي تشكل زاوية الفك السفلي:,Anatomy,Anatomy,الأمامية,الخلفية,العلوية,الوحشية,,,B,ABCD,yes
17,Y2,تتعصب بالعصب الشظوى السطحى,Anatomy,Anatomy,العضله الظنبوبيه الخلفية,الرأس المستقيم للمستقيمه الفخذية,العضله الخياطية,العضلة المأبضيه,العضله الشظويه الطويله,,E,ABCDE,yes
18,Y1,كل ما يلي من أثلام الوجه الوحشي لنصف الكرة المخية ماعدا :,Anatomy,Anatomy,الثلم الحزامي,المركزي,الثلم الجداري القذالي,الثلم الوحشي,,,A,ABCD,no
19,Y2,تشاهد الجسور بين الخلوية في:,Histology,Anatomy,الطبقة القاعدية من الانسجة الظهارية,الطبقة الشائكة من النسيج الظهاري المطبق,ظهارة المعدة,بين الخلايا العضلية السلية,,,B,ABCD,yes
20,Y1,العضلات الوحشية في الساق عدا:,Anatomy,Anatomy,الشظوية الرابعة,الشظوية القصيرة,الشظوية الثالثة,الشظوية الطويلة,,,A,ABCD,no
21,Y1,تتحول الثلمتين الاسكيتين إلى ثقبتين بواسطة,Anatomy,Anatomy,الرباط العجزي الشوكي + الرباط الأربي,الرباط العجزي الشوكي العجزي الحدبي,الرباط الحدبي + الرباط الإربي,كل ما سبق خطأ,,,B,ABCD,yes
22,Y2,في وضع الراحة (النظر الى جسم بعيد(:,Histology,Anatomy,ترتخي zonule fibers,تتقلص العضلة الهدبية.,يطبق الجسم الهدبي شدة على ألياف النطيقة وتتسطح العدسة.,كل ما سبق صحيح.,,,C,ABCD,no
23,Y2,اختر الإجابة الصحيحة حول Ovulation :,Histology,Anatomy,تحدث حوالي اليوم 14 من الدورة الشهرية.,ينتج عنها خلية بيضية ثانوية و جسم قطبي واحد.,إذا لم تتلقح الخلية البيضية الثانوية خالل 24 ساعة تبدأ بالتنكس.,كل ما سبق صحيح.,,,D,ABCD,no
24,Y2,التعصيب الحسي للطرف العلوي: (2016 أولى),Anatomy,Anatomy,الجلدي الأنسي للساعد من الزندي.,الجلدي الخلفي للعضد من العصب الكعبري.,الجلدي الخلفي للساعد من العصب الكعبري.,الجلدي الوحشي العلوي للعضد من الإبطي.,الثلثين الوحشيين لراحة اليد من العصب الناصف.,,A,ABCDE,no
25,Y1,. اختر الاجابة الخاطئة المتعلقة بالبلعوم:,Anatomy,Anatomy,يدعى Pharynx,يتصل مع الرغامي باربطة ليفية,يمتد من القحف حتى الفقرة الرقبية السادسة,قسماه الفموي والحنجري يتبعان للجهاز الهضمي,,,B,ABCD,no
26,Y1,ما يلي من عضلات الساعد الخلفية العميقة عدا:,Anatomy,Anatomy,باسطة الخنصر,باسطة الإبهام الطويلة,باسطة السبابة,باسطة الإبهام القصيرة,,,A,ABCD,no
27,Y1,يساهم بتشكيل مسبع ويليس ما عدا:,Anatomy,Anatomy,السباتي الظاهر,السباتي الباطن الأيسر,القاعدي,السباتي الباطن الأيمن,,,A,ABCD,no
28,Y1,يفرز هرمون ال PTH :,Anatomy,Anatomy,الغدد جارات الدرق,الغدة الدرقية,النخامي,الكظر,,,A,ABCD,yes
29,Y1,من وظائف الهرمونات التي يفرزها المبيض :,Anatomy,Anatomy,تضمن تطور وصيانة الصفات الجنسية الأنثوية,تنظم الدورات الطمثية,تحافظ على الرحم للحمل,كل ما سبق صحيح,,,D,ABCD,no
30,Y2,توجد فيه Lymphatic vessels,Histology,Anatomy,Hyalin cartilage,Elastic cartilage,fubrocartilage,كل ما سبق صحيح,كل ما سبق خطأ.,,E,ABCDE,no
31,Y2,Sebaceous gland في الجلد :,Histology and Anatomy,Anatomy,هي انبوبة ذات قناة طويلة,تبدأ عملها عند البلوغ,تتواجد في أدمة الجلد الرقيق والسميك,الأول والثاني,,,B,ABCDE,no
32,Y1,طبقات ال Midbrain :,Anatomy,Anatomy,يحتوي بين القسم المتوسط والخلي على المسال المخي,السقف في المركز,الساق خلفية,الغطاء في الامام,,,A,ABCD,no
33,Y2,غشاء الخلية العضلية,Histology,Anatomy,Sarcolemma,Epimysium,Axolemma,Endomyium,Hypertrophy,,A,ABCDE,no
34,Y2,العبارة الصحيحة عن المبيض:,Histology,Anatomy,معظم نسيج المبيض يتألف من اللب.,مغطى بظهارة بسيطة اسطوانية.,معظم نسيج المبيض يتألف من قشر.,اللب والقشر منفصلان عن بعضهما بحاجز ليفي.,,,C,ABCD,no
35,Y1,يقع بين جسم الفقرة والقوس الفقرية :,Anatomy,Anatomy,الثقبة المستعرضة,الثقبة بين الفقرية,الثقبة الفقرية,الثقبة المغذية,,,C,ABCD,yes
36,Y1,الفازوبريسين:,Anatomy,Anatomy,OT,ADH,FSH,T3,,,B,ABCD,no
37,Y1,أقسام البلعوم ماعدا:,Anatomy,Anatomy,الأنفي,الفموي,المريني,الحنجري,,,C,ABCD,no
38,Y1,. الاجابة الخاطئة حول السائل الدماغي الشوكي,Anatomy,Anatomy,ينتج من ال choroid plexus,يمكن بزله اسفل الفقرة القطنية الثانية,يتم ارتشافه في الجيب الوريدي الصلبي,له دور في النقل الهرموني,,,C,ABCD,no
39,Y2,اختر العبارة الخاطئة عن Aganglionosis :,Histology,Anatomy,غياب الautonomic ganglia,تؤدي لتضخم منطقة ماقبل الإصابة,عيانيا˝ غياب لويحات باير,Megacolon,,,C,ABCD,no
40,Y2,نسبة خلايا كوبفر للخلايا الكبدية :,Histology,Anatomy,0.05,0.15,0.2,0.3,,,B,ABCD,no
41,Y2,كل ما يلي صحيح عن الظهارة التنفسية:,Histology and Anatomy,Anatomy,الخلايا القاعدية هي خلايا جذعية نشطة انقسامياً,الخلايا الكأسية أكثر وفرة من الخلايا مهدبة,الخلايا الحبيبة تعتبرعصبية صماوية,A+C,كل ما سبق صحيح,,D,ABCDE,no
42,Y1,- كل ما يلي صحيح عن العظام الطويلة ما عدا:,Anatomy,Anatomy,نمو العظم يتم في اتجاهين,منطقة نضج وتصنيع عناصر الدم,يتألف من جسم ونهايتين,مثال عنها Femur,,,A,ABCD,no
43,Y1,تتحدد الثلمة البكرية بين,Anatomy,Anatomy,الناتئ الزجي + الناتئ المنقاري,الناتئ الزجي + الحفرة الحفرة البكرية,الحفرة البكرية + الناتئ المنقاري,كل ما سبق خطأ,,,A,ABCD,no
44,Y1,يحفز PTH تحويل ViTD إلى كالسيفيرول في :,Anatomy,Anatomy,المعي,العظم,الكلية,لا شيء مما سبق,,,A,ABCD,no
45,Y1,ما يلي صحيح عن الحنك ماعدا,Anatomy,Anatomy,له قسم صلب,له قسم رخو,يفصل كلياً البلعوم الفموي عن الأنفي,من اقسامه اللهاة,,,C,ABCD,no
46,Y1,. ترتكز العضلة ذات الرأسين الفخذية على,Anatomy,Anatomy,Tibial tuberosity,Head of fibula,Radial tuberosity,Ulnar tuberosity,,,B,ABCD,no
47,Y1,يتكون الشدقان مما يلي ما عدا:,Anatomy,Anatomy,ألياف عضلية مخططة,الجلد,القوس السنخية,الغشاء المخاطي,,,C,ABCD,no
48,Y1,تضم الحزمة الوعانية العصبية العضدية ماعدا:,Anatomy,Anatomy,الشريان العضدي,الوريد العضدي,العضب العضدي,العضب الناصف و الزندي,,,C,ABCD,no
49,Y1,تقع المنطقة الشمية في:,Anatomy,Anatomy,سقف الأنف,مقدمة الأنف,الجدارا الوحشي للأنف,الجدار الانسي للأنف,,,A,ABCD,yes
50,Y1,يتصل المدورين بالأمام في الفخذ بـ:,Anatomy,Anatomy,الخط بين المدورين,العرف بين المدورين,الثلمة بين المدورة,لا شئ مما سبق,,,A,ABCD,yes
51,Y1,يوجد التلم الكعبري في جسم العضد:,Anatomy,Anatomy,على الوجه الخلفي.,على الوجه الانسي.,على الوجه الوحشي.,كل ماسبق خطأ.,,,A,ABCD,yes
52,Y1,يتوضع المريء في:,Anatomy,Anatomy,المنصف العلوي,المنصف الخلفي,المنصف الأوسط,A+B,,,D,ABCD,no
53,Y1,يرتكز الرباط الإبري اللامي على:,Anatomy,Anatomy,النهاية العلوية للقرن الصغير للعظم اللامي.,النهاية العلوية للقرن الكبير للعظم اللامي C.,الوجه الأمامي للعظم اللامي.,كل ما سبق خطأ.,,,A,ABCD,no
54,Y2,تتشكل ضفيرة راشكوف في لب السن من :,Histology,Anatomy,ألياف ودية.,ألياف نظيرة ودية,ألياف حسية.,كل من a و .b,,,C,ABCD,yes
55,Y1,يقع المستقيم بين :,Anatomy,Anatomy,القولون النازل والقولون السيني,القولون السيني والقناة الشرجية,القولون السيني والقولون المعترض,القولون المعترض والقولون السيني,,,B,ABCD,yes
56,Y1,حديبات مونتغومري هي غدد,Anatomy,Anatomy,دهنية,لعابية,عرقية,صباغية,,,A,ABCD,yes
57,Y1,يعبر الشق الحجاجي السفلي:,Anatomy,Anatomy,العصب القحفي الرابع,العصب القحفي الثالث,A+B,لا شيء مما سبق,,,D,ABCD,no
58,Y2,ما يلي صحيح عن جزر لانغرهانس :,Histology and Anatomy,Anatomy,الخلايا Bتفرز الغوكلغو,الخلايا A تفرز الانسولين,الخلايا F تفرز السوماتوستاتين,كل ما سبق خطأ,,,D,ABCDE,no
59,Y2,يتواجد في المناطق المعرضة لقوى السحب والشد,Histology,Anatomy,Fibrocartilage,Elastic cartilage,Hyaline cartilage,Elastic cartilage + hyaline cartilage كلاهما,كل ماسبق خطأ,,A,ABCDE,no
60,Y1,العضلة الحرقفية :,Anatomy,Anatomy,تنشأ من الحفرة الحرقفية.,ترتكز على عظم الفخذ.,تعمل على بسط الفخذ على البطن.,تسهم في ثني الجذع للأمام.,,,C,ABCD,no
61,Y1,يشبه بشكله خاتماً ذا فص كبير :,Anatomy,Anatomy,الحلقي,الطرجهالي,الدرقي,القريني,,,A,ABCD,no
62,Y2,في السبيل المعدي المعوي :,Histology,Anatomy,تناول الطعام =<تنغلق التفاغرات الشريانية الوريدية =<يزيد مرور الدم.,حالة الصوم=<تنغلق التفاغرات =<يزيد مرور الدم.,في تناول الطعام لا حاجة لمرور الدم.,كل ماسبق خطأ.,,,A,ABCD,no
63,Y1,الطبقة الثالثة من عضلات أخمص القدم تشمل عدا:,Anatomy,Anatomy,باسطة الإصبع,قابضة الإبهام,قابضة الإصبع الصغرى,مقربة الإبهام,,,A,ABCD,no
64,Y1,المحرك لعضلات اللسان :,Anatomy,Anatomy,11,7,12,9,,,C,ABCD,yes
65,Y1,يتواجد على الوجه الداخلي أو اللساني لعظم الفك السفلي كل ما يلى عدا :,Anatomy,Anatomy,الناشرة الذقنية .,الخط الضرسى اللامي.,حفرة الغدة تحت الفك السفلى.,حفرة ذات البطنين.,,,A,ABCD,no
66,Y1,مصطلحات الحركة في مستوى الأطراف كل ما يلي صحيح عدا:,Anatomy,Anatomy,التقريب والتبعيد عندما نضع الطرف بجانب الجسم أو نبعده عنه.,الدوران الأنسي أو الوحشي عندما يدور الطرف حول محوره الطولاني.,الرفع هي الحركة للأعلى والخفض الحركة نحو الأسفل.,العطف عندما يتحرك الطرف العلوي نحو الخلف في المستوى السهمي.,,,D,ABCD,no
67,Y2,يمر خلف جذر الرئة اليسرى:,Anatomy,Anatomy,القناة الصدرية.,الأبهر النازل الصدري.,العصب الحجابي الأيسر.,القسم الصدري من الجذع الودي.,الحسب المبهم الأيسر.,,E,ABCDE,no
68,Y2,كل الغدد التالية هي حصرا Endocrine باستثناء,Histology,Anatomy,الدرق,الكبد,الغدة النخامية,جارات الدرق,الأول والثالث.,,B,ABCDE,no
69,Y1,الأنف الظاهر بتألف مما يلي ما عدا:,Anatomy,Anatomy,Apex,Root,Ala,Floor,,,A,ABCD,no
70,Y2,خلايا تمتاز نواها بمظهر وجه الساعة أو العجلة.,Histology,Anatomy,Plasma cells,Macrophages,Neutrophils,Basophils,كل ما سبق خطا.,,A,ABCDE,no
71,Y1,كل ما يلي من فروع الضفيرة القطنية ماعدا :,Anatomy,Anatomy,العصب الحرقفي الوركي,العصب الحرقفي الخثلي,العصب الحرقفي الفخذي,العصب الحرقفي الأربي,,,A,ABCD,no
72,Y1,عضلات الساق الأمامية عدا:,Anatomy,Anatomy,الظنبوبية الأمامية,باسطة إبهام القدم الطويلة,باسطة الخنصر القصيرة,باسطة الأصابع الطويلة,,,C,ABCD,no
73,Y1,العصب الحجابي فرع الضفيرة :,Anatomy,Anatomy,العضدية,القطنية,الرقبية,العجزية,,,C,ABCD,yes
74,Y1,يفرز الأدرينالين من :,Anatomy,Anatomy,قشرة الكظر,لب الكظر,الطحال,البنكرياس,,,B,ABCD,yes
75,Y1,يتشكل الوريد الأجوف السفلي من إتحاد :,Anatomy,Anatomy,الوريدين الحرقفيين الخارجي والداخلي,الوريدين الحرقفيين المشتركين الأيمن والأيسر,الوريدين الفخذيين,كل ما سبق خطأ,,,B,ABCD,yes
76,Y1,كل ما يلي صحيح عن عظم العانة عدا :,Anatomy,Anatomy,يتمفصل جسما عظمي العانة في الخلف عبر ارتفاق العانة.,يتحد الفرع العلوي مع الحرقفة والاسك لتكوين الحق.,يتحد الفرع السفلي مع الإسك أسفل الثقبة السادية.,تدعى الحافة العلوية لجسم العانة بالعرف العاني.,,,A,ABCD,no
77,Y2,يصعد من الحافه العلويه للغده النكفيه ويصعب حسياً قسماً من فروه الرأس,Anatomy,Anatomy,infra-orbital nerve,external nasal nerve,buccal nerve,Imental nerve,Auriculo-temporal nerve,,E,ABCDE,no
78,Y2,في الشرايين الطبقة الأكثر تمايزاً وكثافة هي:,Histology and Anatomy,Anatomy,الخارجية,المتوسطة,الداخلية والمتوسطة,الداخلية,,,B,ABCDE,yes
79,Y1,مما ينتج هرمون T4؟,Anatomy,Anatomy,التوتة,الكظر,الدرق,النخامى,,,C,ABCD,yes
80,Y1,يتألف القفص الصدري مما يلي ما عدا:,Anatomy,Anatomy,العمود الفقري,القص,الأضلاع,الأوراب,,,A,ABCD,no
81,Y1,الغدد الرئيسية للجهاز الغدي الصماوي ماعدا:,Anatomy,Anatomy,الكبد,التوتة,المبيض,المعتكلة,,,A,ABCD,no
82,Y2,تتم حركة رفع الفك السفلي بألياف من العضلة:,Anatomy,Anatomy,ذات البطنين.,الجناحية الوحشية.,الجناحية الأنسية.,الضرسية اللامية.,ولا واحدة مما سبق.,,c,ABCDE,no
83,Y2,تمثل لفافة غالوديت Gallaudet:,Anatomy,Anatomy,اللفافة العميقة للعجان.,اللفافة العميقة للصفن.,اللفافة العميقة للقضيب.,اللفافة العميقة للحبل المنوي.,اللفافة العميقة لجدار البطن.,,A,ABCDE,no
84,Y2,حبال الضفيرة العضدية: (2007 أولى),Anatomy,Anatomy,الأنسي يتشكل من الجذع المتوسط,الوحشي يتشكل من الجذع السفلي,الخلفي يتوضع خلف الوريد الإبطي,يمتد الوحشي أعلى ووحشي الشريان الإبطي,,,d,ABCDE,no
85,Y2,العضلة التي ترتكز بشكل أساسي على العظم الزورقي:,Anatomy,Anatomy,الظنبوبي الأمامي,الظنبوبي الخلفي,الشظوية الطويلة,الشظوية القصيرة,قابضة الإبهام الطويلة,,B,ABCDE,yes
86,Y1,من فروع الزلاقي ماعدا:,Anatomy,Anatomy,الطحالي,المعدي الأيسر,المعدي الأيمن,الكبدي,,,C,ABCD,no
87,Y1,تقع المنطقة الشمية في :,Anatomy,Anatomy,سقف الأنف,مقدمة الأنف,الجدار الوحشي للأنف,الجدار الأنسى للأنف,,,A,ABCD,yes
88,Y1,الوسادة من النسيج الدهني فوق الارتفاق العاني تدعى,Anatomy,Anatomy,جبل العانة,الشفر الصغير,الشفر الكبير,دهليز الفرج,,,A,ABCD,yes
89,Y1,يعبر من الشق الحجاجي العلوي الأعصاب القحفية :,Anatomy,Anatomy,الثالث + الرابع,السادس,الفرع العينى الخامس,كل ما سبق صحيح,,,D,ABCD,no
90,Y1,الناشزة القذالية الظاهرة والبارزة الصليبية تتوضعان في:,Anatomy,Anatomy,القسم القاعدي,القسم الجانبي,القسم الصدفى,الثقبة الكبيرة,,,C,ABCD,no
91,Y2,تتواجد العناصر التالية في المثلث الخلفي: 2015) أولي),Anatomy,Anatomy,الشريان السباتي الظاهر.,الشريان السباتي الباطن.,الوريد الوداجي الباطن.,الشريان القذالي.,,,d,ABCDE,no
92,Y1,كل ما يلي صحيح عن الصفحة العامودية للعظم الغربالي ماعدا:,Anatomy,Anatomy,تشكل الجزء الامامي العلوي للوتيرة الانفية.,تمر عبرها الياف العصب الشمي.,تتصل مع الميكعة.,يبدو عرف الديك وكأنه استمرار لها.,,,B,ABCD,no
93,Y1,كل ما يلي صحيح عن الدرق عدا :,Anatomy,Anatomy,تفرز الخلايا المجاورة للجريبات أيضا ثلاثي يودوثيرونين T3,تفرز الخلايا الجريبية التيروكسين,تفرز الخلايا المجاورة للجريبات الكالسيتونين T4,تحيط بالغدة الدرقية محفظة مشتقة من اللفافة الرقبية العميقة,,,A,ABCD,no
94,Y1,العظم القذالي (الخاطئة):,Anatomy,Anatomy,تقع الحديبة الضلعية عند اتصال الجسم مع العنق .,يزداد طول الأضلاع من الضلع الأولى حتى الضلع الخامسة ثم يتناقص.,يتمفصل رأس الضلع مع وجيهين ضلعيين مع فقرتين متجاورتين.,تتصل الأضلاع الحقيقة بالقص بواسطة الغضاريف الضلعية.,,,A,ABCD,no
95,Y2,من وظائف الأدمة كل مما يلي ما عدا :,Histology,Anatomy,دعم البشرة.,ربط البشرة مع النسيج الشحمي تحت الجلد.,تجديد خلايا الجلد.,كل ما سبق صحيح.,,,C,ABCD,no
96,Y1,كل ما يلي صحيح عن المخي عدا:,Anatomy,Anatomy,يراقب الحركة والتوازن.,تصله معلومات عن وضعية الجسم من المفاصل والأوتار والدهليز.,يقع بالحفرة القحفية المتوسطة.,يقوم بمقارنة الأمر الحركي وتنفيذه.,,,C,ABCD,no
97,Y2,الجوف الحقى تمفصل الورك :,Anatomy,Anatomy,له سطح مفصلى كروى الشكل,يتشكل من اجتماع ثلاث عظام,حافته العلوية مثلمه,هو جوف ضحل نسبياً,,,B,ABCD,no
98,Y1,يتوضع الكولون السيني في,Anatomy,Anatomy,الناحية المغبنية اليمنى,الناحية المغبنية اليسرى,الخثلية,لا شيء مما سبق,,,B,ABCD,yes
99,Y1,من أقسام العظم الوتدي ما عدا:,Anatomy,Anatomy,الثقبة الكبرى,الجناح الكبير,الجناح الصغير,الجسم,,,A,ABCD,no
100,Y2,العضلة المخاطية في الوصل المريئي الفؤادي :,Histology,Anatomy,متقطعة.,مستمرة.,غير موجودة.,غير منتظمة.,,,B,ABCD,no
