id,level,question,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,keep,Reason ,Confidence 
22,Y2,في وضع الراحة (النظر الى جسم بعيد(:,Histology,Anatomy,ترتخي zonule fibers,تتقلص العضلة الهدبية.,يطبق الجسم الهدبي شدة على ألياف النطيقة وتتسطح العدسة.,كل ما سبق صحيح.,,,C,ABCD,no,indirect question,high
23,Y2,اختر الإجابة الصحيحة حول Ovulation :,Histology,Anatomy,تحدث حوالي اليوم 14 من الدورة الشهرية.,ينتج عنها خلية بيضية ثانوية و جسم قطبي واحد.,إذا لم تتلقح الخلية البيضية الثانوية خالل 24 ساعة تبدأ بالتنكس.,كل ما سبق صحيح.,,,D,ABCD,no,choose the right answer,high
24,Y2,التعصيب الحسي للطرف العلوي: (2016 أولى),Anatomy,Anatomy,الجلدي الأنسي للساعد من الزندي.,الجلدي الخلفي للعضد من العصب الكعبري.,الجلدي الخلفي للساعد من العصب الكعبري.,الجلدي الوحشي العلوي للعضد من الإبطي.,الثلثين الوحشيين لراحة اليد من العصب الناصف.,,A,ABCDE,no,indirect question,high
25,Y1,. اختر الاجابة الخاطئة المتعلقة بالبلعوم:,Anatomy,Anatomy,يدعى Pharynx,يتصل مع الرغامي باربطة ليفية,يمتد من القحف حتى الفقرة الرقبية السادسة,قسماه الفموي والحنجري يتبعان للجهاز الهضمي,,,B,ABCD,no,choose the wrong answer,high
26,Y1,ما يلي من عضلات الساعد الخلفية العميقة عدا:,Anatomy,Anatomy,باسطة الخنصر,باسطة الإبهام الطويلة,باسطة السبابة,باسطة الإبهام القصيرة,,,A,ABCD,no,"""ما عدا""",high
27,Y1,يساهم بتشكيل مسبع ويليس ما عدا:,Anatomy,Anatomy,السباتي الظاهر,السباتي الباطن الأيسر,القاعدي,السباتي الباطن الأيمن,,,A,ABCD,no,"""ما عدا""",high
29,Y1,من وظائف الهرمونات التي يفرزها المبيض :,Anatomy,Anatomy,تضمن تطور وصيانة الصفات الجنسية الأنثوية,تنظم الدورات الطمثية,تحافظ على الرحم للحمل,كل ما سبق صحيح,,,D,ABCD,no,infinite answers,high
30,Y2,توجد فيه Lymphatic vessels,Histology,Anatomy,Hyalin cartilage,Elastic cartilage,fubrocartilage,كل ما سبق صحيح,كل ما سبق خطأ.,,E,ABCDE,no,choose the wrong answer,high
31,Y2,Sebaceous gland في الجلد :,Histology and Anatomy,Anatomy,هي انبوبة ذات قناة طويلة,تبدأ عملها عند البلوغ,تتواجد في أدمة الجلد الرقيق والسميك,الأول والثاني,,,B,ABCDE,no,indirect question,high
32,Y1,طبقات ال Midbrain :,Anatomy,Anatomy,يحتوي بين القسم المتوسط والخلي على المسال المخي,السقف في المركز,الساق خلفية,الغطاء في الامام,,,A,ABCD,no,indirect question,high
33,Y2,غشاء الخلية العضلية,Histology,Anatomy,Sarcolemma,Epimysium,Axolemma,Endomyium,Hypertrophy,,A,ABCDE,no,answer in english,high
34,Y2,العبارة الصحيحة عن المبيض:,Histology,Anatomy,معظم نسيج المبيض يتألف من اللب.,مغطى بظهارة بسيطة اسطوانية.,معظم نسيج المبيض يتألف من قشر.,اللب والقشر منفصلان عن بعضهما بحاجز ليفي.,,,C,ABCD,no,choose the right answer,high
36,Y1,الفازوبريسين:,Anatomy,Anatomy,OT,ADH,FSH,T3,,,B,ABCD,no,indirect question,high
37,Y1,أقسام البلعوم ماعدا:,Anatomy,Anatomy,الأنفي,الفموي,المريني,الحنجري,,,C,ABCD,no,"""ما عدا""",high
38,Y1,. الاجابة الخاطئة حول السائل الدماغي الشوكي,Anatomy,Anatomy,ينتج من ال choroid plexus,يمكن بزله اسفل الفقرة القطنية الثانية,يتم ارتشافه في الجيب الوريدي الصلبي,له دور في النقل الهرموني,,,C,ABCD,no,choose the wrong answer,high
39,Y2,اختر العبارة الخاطئة عن Aganglionosis :,Histology,Anatomy,غياب الautonomic ganglia,تؤدي لتضخم منطقة ماقبل الإصابة,عيانيا˝ غياب لويحات باير,Megacolon,,,C,ABCD,no,choose the wrong answer,high
41,Y2,كل ما يلي صحيح عن الظهارة التنفسية:,Histology and Anatomy,Anatomy,الخلايا القاعدية هي خلايا جذعية نشطة انقسامياً,الخلايا الكأسية أكثر وفرة من الخلايا مهدبة,الخلايا الحبيبة تعتبرعصبية صماوية,A+C,كل ما سبق صحيح,,D,ABCDE,no,indirect questions & infinite answers,high
42,Y1,- كل ما يلي صحيح عن العظام الطويلة ما عدا:,Anatomy,Anatomy,نمو العظم يتم في اتجاهين,منطقة نضج وتصنيع عناصر الدم,يتألف من جسم ونهايتين,مثال عنها Femur,,,A,ABCD,no,"""ما عدا""",high
45,Y1,ما يلي صحيح عن الحنك ماعدا,Anatomy,Anatomy,له قسم صلب,له قسم رخو,يفصل كلياً البلعوم الفموي عن الأنفي,من اقسامه اللهاة,,,C,ABCD,no,"""ما عدا""",high
46,Y1,. ترتكز العضلة ذات الرأسين الفخذية على,Anatomy,Anatomy,Tibial tuberosity,Head of fibula,Radial tuberosity,Ulnar tuberosity,,,B,ABCD,no,answer in english,medium (we can maybe just write the ground truth arabic translation)
47,Y1,يتكون الشدقان مما يلي ما عدا:,Anatomy,Anatomy,ألياف عضلية مخططة,الجلد,القوس السنخية,الغشاء المخاطي,,,C,ABCD,no,"""ما عدا""",high
48,Y1,تضم الحزمة الوعانية العصبية العضدية ماعدا:,Anatomy,Anatomy,الشريان العضدي,الوريد العضدي,العضب العضدي,العضب الناصف و الزندي,,,C,ABCD,no,"""ما عدا""",high
52,Y1,يتوضع المريء في:,Anatomy,Anatomy,المنصف العلوي,المنصف الخلفي,المنصف الأوسط,A+B,,,D,ABCD,no,choose the right answer,high
56,Y1,حديبات مونتغومري هي غدد,Anatomy,Anatomy,دهنية,لعابية,عرقية,صباغية,,,A,ABCD,no,indirect question,high
57,Y1,يعبر الشق الحجاجي السفلي:,Anatomy,Anatomy,العصب القحفي الرابع,العصب القحفي الثالث,A+B,لا شيء مما سبق,,,D,ABCD,no,choose the right answer,high
58,Y2,ما يلي صحيح عن جزر لانغرهانس :,Histology and Anatomy,Anatomy,الخلايا Bتفرز الغوكلغو,الخلايا A تفرز الانسولين,الخلايا F تفرز السوماتوستاتين,كل ما سبق خطأ,,,D,ABCDE,no,choose the right answer,high
59,Y2,يتواجد في المناطق المعرضة لقوى السحب والشد,Histology,Anatomy,Fibrocartilage,Elastic cartilage,Hyaline cartilage,Elastic cartilage + hyaline cartilage كلاهما,كل ماسبق خطأ,,A,ABCDE,no,answer in english,high
60,Y1,العضلة الحرقفية :,Anatomy,Anatomy,تنشأ من الحفرة الحرقفية.,ترتكز على عظم الفخذ.,تعمل على بسط الفخذ على البطن.,تسهم في ثني الجذع للأمام.,,,C,ABCD,no,indirect question,high
61,Y1,يشبه بشكله خاتماً ذا فص كبير :,Anatomy,Anatomy,الحلقي,الطرجهالي,الدرقي,القريني,,,A,ABCD,no,indirect question,high
62,Y2,في السبيل المعدي المعوي :,Histology,Anatomy,تناول الطعام =<تنغلق التفاغرات الشريانية الوريدية =<يزيد مرور الدم.,حالة الصوم=<تنغلق التفاغرات =<يزيد مرور الدم.,في تناول الطعام لا حاجة لمرور الدم.,كل ماسبق خطأ.,,,A,ABCD,no,indirect question,high
63,Y1,الطبقة الثالثة من عضلات أخمص القدم تشمل عدا:,Anatomy,Anatomy,باسطة الإصبع,قابضة الإبهام,قابضة الإصبع الصغرى,مقربة الإبهام,,,A,ABCD,no,"""ما عدا""",high
65,Y1,يتواجد على الوجه الداخلي أو اللساني لعظم الفك السفلي كل ما يلى عدا :,Anatomy,Anatomy,الناشرة الذقنية .,الخط الضرسى اللامي.,حفرة الغدة تحت الفك السفلى.,حفرة ذات البطنين.,,,A,ABCD,no,"""ما عدا""",high
66,Y1,مصطلحات الحركة في مستوى الأطراف كل ما يلي صحيح عدا:,Anatomy,Anatomy,التقريب والتبعيد عندما نضع الطرف بجانب الجسم أو نبعده عنه.,الدوران الأنسي أو الوحشي عندما يدور الطرف حول محوره الطولاني.,الرفع هي الحركة للأعلى والخفض الحركة نحو الأسفل.,العطف عندما يتحرك الطرف العلوي نحو الخلف في المستوى السهمي.,,,D,ABCD,no,"""ما عدا""",high
67,Y2,يمر خلف جذر الرئة اليسرى:,Anatomy,Anatomy,القناة الصدرية.,الأبهر النازل الصدري.,العصب الحجابي الأيسر.,القسم الصدري من الجذع الودي.,الحسب المبهم الأيسر.,,E,ABCDE,no,vague (could be about diff systems),high
68,Y2,كل الغدد التالية هي حصرا Endocrine باستثناء,Histology,Anatomy,الدرق,الكبد,الغدة النخامية,جارات الدرق,الأول والثالث.,,B,ABCDE,no,choose the wrong answer,high
69,Y1,الأنف الظاهر بتألف مما يلي ما عدا:,Anatomy,Anatomy,Apex,Root,Ala,Floor,,,A,ABCD,no,"""ما عدا""",high
70,Y2,خلايا تمتاز نواها بمظهر وجه الساعة أو العجلة.,Histology,Anatomy,Plasma cells,Macrophages,Neutrophils,Basophils,كل ما سبق خطا.,,A,ABCDE,no,answer in english,high
71,Y1,كل ما يلي من فروع الضفيرة القطنية ماعدا :,Anatomy,Anatomy,العصب الحرقفي الوركي,العصب الحرقفي الخثلي,العصب الحرقفي الفخذي,العصب الحرقفي الأربي,,,A,ABCD,no,"""ما عدا""",high
72,Y1,عضلات الساق الأمامية عدا:,Anatomy,Anatomy,الظنبوبية الأمامية,باسطة إبهام القدم الطويلة,باسطة الخنصر القصيرة,باسطة الأصابع الطويلة,,,C,ABCD,no,"""ما عدا""",high
76,Y1,كل ما يلي صحيح عن عظم العانة عدا :,Anatomy,Anatomy,يتمفصل جسما عظمي العانة في الخلف عبر ارتفاق العانة.,يتحد الفرع العلوي مع الحرقفة والاسك لتكوين الحق.,يتحد الفرع السفلي مع الإسك أسفل الثقبة السادية.,تدعى الحافة العلوية لجسم العانة بالعرف العاني.,,,A,ABCD,no,"""ما عدا""",high
77,Y2,يصعد من الحافه العلويه للغده النكفيه ويصعب حسياً قسماً من فروه الرأس,Anatomy,Anatomy,infra-orbital nerve,external nasal nerve,buccal nerve,Imental nerve,Auriculo-temporal nerve,,E,ABCDE,no,answer in english,high
80,Y1,يتألف القفص الصدري مما يلي ما عدا:,Anatomy,Anatomy,العمود الفقري,القص,الأضلاع,الأوراب,,,A,ABCD,no,"""ما عدا""",high
81,Y1,الغدد الرئيسية للجهاز الغدي الصماوي ماعدا:,Anatomy,Anatomy,الكبد,التوتة,المبيض,المعتكلة,,,A,ABCD,no,"""ما عدا""",high
82,Y2,تتم حركة رفع الفك السفلي بألياف من العضلة:,Anatomy,Anatomy,ذات البطنين.,الجناحية الوحشية.,الجناحية الأنسية.,الضرسية اللامية.,ولا واحدة مما سبق.,,c,ABCDE,no,wrong answer,high
83,Y2,تمثل لفافة غالوديت Gallaudet:,Anatomy,Anatomy,اللفافة العميقة للعجان.,اللفافة العميقة للصفن.,اللفافة العميقة للقضيب.,اللفافة العميقة للحبل المنوي.,اللفافة العميقة لجدار البطن.,,A,ABCDE,no,indirect question,high
84,Y2,حبال الضفيرة العضدية: (2007 أولى),Anatomy,Anatomy,الأنسي يتشكل من الجذع المتوسط,الوحشي يتشكل من الجذع السفلي,الخلفي يتوضع خلف الوريد الإبطي,يمتد الوحشي أعلى ووحشي الشريان الإبطي,,,d,ABCDE,no,indirect question,high
86,Y1,من فروع الزلاقي ماعدا:,Anatomy,Anatomy,الطحالي,المعدي الأيسر,المعدي الأيمن,الكبدي,,,C,ABCD,no,"""ما عدا""",high
90,Y1,الناشزة القذالية الظاهرة والبارزة الصليبية تتوضعان في:,Anatomy,Anatomy,القسم القاعدي,القسم الجانبي,القسم الصدفى,الثقبة الكبيرة,,,C,ABCD,no,indirect question,high
91,Y2,تتواجد العناصر التالية في المثلث الخلفي: 2015) أولي),Anatomy,Anatomy,الشريان السباتي الظاهر.,الشريان السباتي الباطن.,الوريد الوداجي الباطن.,الشريان القذالي.,,,d,ABCDE,no,indirect question & wrong answer,high
92,Y1,كل ما يلي صحيح عن الصفحة العامودية للعظم الغربالي ماعدا:,Anatomy,Anatomy,تشكل الجزء الامامي العلوي للوتيرة الانفية.,تمر عبرها الياف العصب الشمي.,تتصل مع الميكعة.,يبدو عرف الديك وكأنه استمرار لها.,,,B,ABCD,no,"""ما عدا""",high
93,Y1,كل ما يلي صحيح عن الدرق عدا :,Anatomy,Anatomy,تفرز الخلايا المجاورة للجريبات أيضا ثلاثي يودوثيرونين T3,تفرز الخلايا الجريبية التيروكسين,تفرز الخلايا المجاورة للجريبات الكالسيتونين T4,تحيط بالغدة الدرقية محفظة مشتقة من اللفافة الرقبية العميقة,,,A,ABCD,no,"""ما عدا""",high
94,Y1,العظم القذالي (الخاطئة):,Anatomy,Anatomy,تقع الحديبة الضلعية عند اتصال الجسم مع العنق .,يزداد طول الأضلاع من الضلع الأولى حتى الضلع الخامسة ثم يتناقص.,يتمفصل رأس الضلع مع وجيهين ضلعيين مع فقرتين متجاورتين.,تتصل الأضلاع الحقيقة بالقص بواسطة الغضاريف الضلعية.,,,A,ABCD,no,indirect question,high
95,Y2,من وظائف الأدمة كل مما يلي ما عدا :,Histology,Anatomy,دعم البشرة.,ربط البشرة مع النسيج الشحمي تحت الجلد.,تجديد خلايا الجلد.,كل ما سبق صحيح.,,,C,ABCD,no,"""ما عدا""",high
96,Y1,كل ما يلي صحيح عن المخي عدا:,Anatomy,Anatomy,يراقب الحركة والتوازن.,تصله معلومات عن وضعية الجسم من المفاصل والأوتار والدهليز.,يقع بالحفرة القحفية المتوسطة.,يقوم بمقارنة الأمر الحركي وتنفيذه.,,,C,ABCD,no,"""ما عدا""",high
97,Y2,الجوف الحقى تمفصل الورك :,Anatomy,Anatomy,له سطح مفصلى كروى الشكل,يتشكل من اجتماع ثلاث عظام,حافته العلوية مثلمه,هو جوف ضحل نسبياً,,,B,ABCD,no,indirect question,high
99,Y1,من أقسام العظم الوتدي ما عدا:,Anatomy,Anatomy,الثقبة الكبرى,الجناح الكبير,الجناح الصغير,الجسم,,,A,ABCD,no,"""ما عدا""",high
100,Y2,العضلة المخاطية في الوصل المريئي الفؤادي :,Histology,Anatomy,متقطعة.,مستمرة.,غير موجودة.,غير منتظمة.,,,B,ABCD,no,indirect question,high
101,Y1,الخاطئ مما يلي هو :,Anatomy,Anatomy,يصب Hemiazygos Veinفي Azygos Vein والذي يصب Superior Vena Cava,يوجد Basilar Vein في الوجه الأنسي للذراع,يتشكل Azygos Vein من الوريد القطني الصاعد الأيسر,يعطي Cephalic Vein الوريد المرفقي الناصف,,,A,ABCD,no,choose the wrong answer,high
102,Y2,تسبب أذية منشأ العصب الفكي السفلي ما عدا: (2017 أولى),Anatomy,Anatomy,فقدان حسي لمخاطية قاع الفم.,فقدان حس الغدة تحت اللسان.,فقدان حسي للثلثين الأماميين للسان.,فقدان حس اللثة اللسانية.,فقدان تذوق للثلثين الأماميين للسان.,,E,ABCDE,no,"""ما عدا""",high
104,Y1,إحدى العضلات التالية تربط الزنار الكتفي بالرأس :,Anatomy,Anatomy,شبه المنحرفة.,المدورة الكبيرة.,العريضة الظهرية.,المعينية الكبيرة.,,,A,ABCD,no,choose the right answer,high
106,Y1,تضم الحزمة الوعانية العصبية العضدية ماعدا:,Anatomy,Anatomy,الشريان العضدي,الوريد العضدي,العضب العضدي,العضب الناصف و الزندي,,,C,ABCD,no,"""ما عدا""",high
107,Y1,. خاطئة عن النوى القاعدية,Anatomy,Anatomy,مراكز حسية في عمق المادة البيضاء,تتالف من النواة المذنبة والعدسية,مسؤولة عن تنسيق الفعالية الحركية,مراكز حركية في عمق المادة البيضاء,,,A,ABCD,no,indirect question,high
108,Y1,ينزح الخلط المائي إلى :,Anatomy,Anatomy,قناة شليم (الجيب الوريدي الصليبي),الجيب المستقيم,الجيب السهمي العلوي,الوريد المخي الكبير,,,A,ABCD,no,choose the right answer,high
109,Y2,من أربطة مفصل الورك: (2007),Anatomy,Anatomy,الرباط العجزي الحدبي,الرباط العجزي الشوكي,الرباط العاني العلوي,الرباط الحرقفي الفخذي,,,d,ABCDE,no,infinite answers,high
110,Y2,تتصل الحفرة الجناحية الحنكية مع البنى التالية ماعدا: )2014 ثانية),Anatomy,Anatomy,الأذن الوسطى.,الحفرة القحفية الوسطى.,التجويف الأنفي.,التجويف الفموي .,تجويف الحجاج.,,a,ABCDE,no,"""ما عدا""",high
111,Y2,العبارة الخاطئة عن الشرايين المرنة هي :,Histology,Anatomy,تساعد على استقرار ضخ الدم.,لونها مائل للأصفر بسبب تراكم الكولسترول.,الصفيحة المرنة الداخلية موجودة.,كل ما سبق خاطئ.,,,B,ABCD,no,choose the wrong answer,high
112,Y1,المنطقة المتوسطة في نواح البطن,Anatomy,Anatomy,الشرسوفية,الخثلية,السرية,المغبنية,,,C,ABCD,no,indirect question,high
117,Y1,الطبقة الأولى من عضلات أخمص القدم تشمل عدا:,Anatomy,Anatomy,العضلات الخراطينية,مبعدة إبهام القدم,مبعدة إصبع القدم الصغرى,قابضة الأصابع القصيرة,,,A,ABCD,no,"""ما عدا""",high
118,Y2,تمفصلات رصغ القدم : (2017),Anatomy,Anatomy,العقب مع أسفل الظنبوب,القعب مع النردي,الزورقي مع الاسفينية,الزورقي مع العقب,,,c,ABCDE,no,indirect question,high
119,Y1,. يخرج العصب الفكي العلوي من القحف عبر,Anatomy,Anatomy,Foramen rotundum,Foramen ovale,Foramen spinosium,Foramen lacenum,,,A,ABCD,no,answer in english,high
121,Y1,تزداد مناطق الفيتامين في المناطق التالية عدا:,Anatomy,Anatomy,راحة اليد.,حول فتحة الشرج.,اللعوة.,الأعضاء التناسلية الخارجية.,,,A,ABCD,no,"""ما عدا""",high
122,Y1,امتداد الألياف المغروية يسمى :,Anatomy,Anatomy,خطوط الامتداد,الخطوط المغروية,خطوط التشطر,خطوط التوازي,,,C,ABCD,no,indirect,high
123,Y2,الغدد الدهليزية الكبيرة (بارثولين),Histology,Anatomy,تتوضع في جدار المهبل.,وظيفتها إفراز المخاط.,هي غدد مزدوجة.,كل ما سبق صحيح.,,,D,ABCD,no,choose the right answer,high
124,Y1,تشمل العضلات الأنسية في الفخذ عدا:,Anatomy,Anatomy,المقربة الطويلة,المقربة القصيرة,المقربة الخلفية,العضلة الناحلة,,,C,ABCD,no,"""ما عدا""",high
125,Y2,اختار الجواب الصحيح اذا كان هناك جوابا صحيحا واحدا فقط أو اختر الجواب الأكثر شمولا وتكاملا اذا كان هناك أكثر من جواب صحيح,Histology,Anatomy,الحافة المخططة مكونة من زغيبات واهداب,الحافة المشرشة مكونة من زغيبات طويلة واهداب,القضبان الانتهائية مكونة من مناطق الالتصاق والانسداد ) ZONULA OCCLUDNS +ZONULA ADHERE IS,الغشاء القاعدي مكون من صفيحة قاعدية + صفيحة من الجاف شبكية,الغشاء القاعدي مكون من صفيحة قاعدية فقط,,C,ABCDE,no,choose the right answer,high
126,Y1,. الخطأ حول الفقرة الرقبية الاولى:,Anatomy,Anatomy,ليس لها جسم,لها قوسان امامية وخلفية,على الوجه الامامي للقوس الخلفية يوجد نقرة مفصلية,على الوجه السفلي لكل من الكتلتين الجانبيتين سطح مفصلي,,,C,ABCD,no,infinite answers,high
127,Y2,يتم تنظيم أفرازات البنكرياس من خلال:,Histology,Anatomy,السيكريتين,الكولي سيتوكينين,العصب المبهم,جميع ما سبق صحيح,,,D,ABCD,no,infinite answers,high
129,Y2,اختر الإجابة الصحيحة,Histology,Anatomy,تستطيع خلية Schwann واحدة تشكيل غمد النخاعين للعديد من الألياف العصبية,تتواجد الخلايا النجمية البروتو بلاسمية في المادة السنجابية,ال microglia تتكاثر لتشكل ندبة خلوية نسيجية عند الأنية,الإجابتان الأولى والثانية صحيحتان,كل ما سبق صحيح,,B,ABCDE,no,choose the right answer,high
130,Y2,مستوى فتحة نفير السمع في:,Anatomy,Anatomy,الصماخ السفلي.,الصماخ الأوسط.,الصماخ العلوي.,الردهة.,البلعوم الأنفي.,,A,ABCDE,no,indirect question,high
131,Y1,العضلات العرقوبية تشمل ما يلي عدا:,Anatomy,Anatomy,ذات الرأسين الفخذية,رباعية الرؤوس الفخذية,نصف الوترية,نصف الغشائية,,,B,ABCD,no,"""ما عدا""",high
132,Y2,في النسج الشحمية، الـ Brown fat –,Histology,Anatomy,ينجم لونه عن غزارة الشعريات الدموية فيه,موجود في أماكن واسعة من الجسم.,لا يمكن أن يتحول إلى Unilocular adipose tissue,الأول والثالث,كل ما سبق صحيح,,D,ABCDE,no,choose the right answer,high
133,Y1,. الخاطئ عن الجوب الانفية,Anatomy,Anatomy,الفكي هو الاكبر,الوتدي يمتد احيانا للقذالي,الجبهي جيب واحد متصل,تتصل الخلايا الغربالية الامامية احيانا مع الجبهي,,,C,ABCD,no,choose the wrong answer,high
134,Y1,اختر العبارة الخاطنة :,Anatomy,Anatomy,النواة المذنبة تنتهي بالجسم اللوزي,النواة المذنبة تتشكل باللحاء والكرة الشاحبة,النواة العدسية تقع وحشي النواة المذنبة,في النواة العدسية اللحاء وحشي الكرة الشاحبة,,,B,ABCD,no,choose the wrong answer,high
135,Y2,اختر الإجابة الخاطئة في الجسيمة الكلوية:,Histology,Anatomy,قطر الجسيمة الكلوية 200 ميكرون,الحيز البولي هو الفاصل بين الطبقة الداخلية والخارجية وهو حيز الرشح,خلايا الطبقة الرجلاء هي خلايا الطبقة الخارجية,تبلغ سماكة حاجز الرشح 0.1ميكرون,,,A,ABCD,no,choose the wrong answer,high
136,Y1,أهم محتويات المراق الأيسر,Anatomy,Anatomy,المعدة,الطحال,الفص الكبير الأيسر,الكولون النازل,,,B,ABCD,no,infinite answers,high
137,Y2,مايلي صحيح بالنسبة للنسيج العضلي الهيكلي:,Histology,Anatomy,بروتين الميوسيزين myomesin يوجد في الخطوط z,المنطقة H تمثل خيوط الميوزين غير المتداخلة مع الاكتين,يمتد القسيم العضلي من الخط M الى الخط M التالي,الاجابتان A+C,كل ماسبق صحيح,,B,ABCDE,no,choose the right answer,high
140,Y1,من وظائف عضلات البطن ما عدا:,Anatomy,Anatomy,تعمل كمطاردة,ثني الجذع وتحريكه,إذا انقبضت تؤدي إلى شهيق قوي,دعم محتويات البطن,,,C,ABCD,no,"""ما عدا""",high
141,Y1,اختر الإجابة الخاطئة المتعلقة بعضلات الحوض والعجان:,Anatomy,Anatomy,العضلة الكمثرية هي من عضلات أرضية الحوض.,لا تشكل العضلة السدادية الخارجية جزء من عضلات أرضية الحوض.,يتشكل الحجاب الحوضي من العضلتين رافعة الشرج والكمثرية.,تشكل المصرة الاحليلية جزء من عضلات العجان.,,,C,ABCD,no,choose the wrong answer,high
142,Y1,من فروع الحرقفي الباطن ماعدا,Anatomy,Anatomy,المثاني العلوي,المستقيمي المتوسط والسفلي,الفرجي الداخلي,السري والعجاني,,,A,ABCD,no,"""ما عدا""",high
143,Y1,امتداد البريتوان بين حشا والجدار الأمامي للبطن,Anatomy,Anatomy,ثرب,صفاق,رباط,مسراق,,,C,ABCD,no,indirect question,high
144,Y2,الأصل النسيجي للـ Epithelioid cells أو الخلايا الظهارائية.,Histology,Anatomy,Plasma cells,Macrophages,Erythrocytes,Basophils,كل ما سبق خطأ,,B,ABCDE,no,answer in english,high
146,Y2,تحت قيد الباسطات أمام الكاحل : (2017 أولى(,Anatomy,Anatomy,وتر الظنبوبية الأمامية على الطرف الأنسي,وتر باسطة الإبهام الطويلة على الرف الوحشي,العصب الظنبوبي الأمامي يمر فوق القيد,الشريان الظنبوبي االأمامي يمر فوق القيد,,,a,ABCDE,no,indirect question,high
148,Y1,العضلات التي تقوم ببسط الذراع على الكتف ما يلي:,Anatomy,Anatomy,العريضة الظهرية.,المدورة الكبيرة .,الوتر الطويل لذات الرأسين العضدية.,الصدرية الكبيرة.,,,C,ABCD,no,indirect question,high
149,Y2,الخلايا الدبقية:,Histology,Anatomy,تنشأ كلها من نقي العظم,اقل عددا من العصبونات,الخلايا قليلة التعصبنات هي بالعات,A+B,كل ماسبق خطأ,,E,ABCDE,no,choose the right answer,high
