id,input,prediction,ground_truth
,بماذا ينتهي الشريان الوجهي؟,الوجه artery,C
,ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟,الodontogenic,B
,أين تقع فوهة مصب الجيب الأكليلي؟,الduodenum,C
,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,ال notch of the greater wing,B
,أي عصب هو المحرك لعضلات اللسان؟,الهيو,C
,ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,المنطقة of the mandible,C
,ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟,هرمones,B
,ما هي الزاوية بين قبضة وجسم القص؟,120 degrees,A
,من أين يخرج العصب الفكي العلوي من الجمجمة؟,الفتام,C
,ما الذي يحدد المنصف العلوي جانبياً؟,الخط الناصي,A
,ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟,الخيش and the nasal cavity,B
,أين ترتكز العضلة العريضة الظهرية؟,العمود,A
,ما هو القولون الذي يمتد بشكل أفقي؟,القولون transversum,C
,كم عدد القطع العصعصية في النخاع الشوكي؟,31,D
,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,الdetrusor,B
,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,مستقبلات,B
,ما اسم الكرة الصغيرة فوق قمة الغضروف؟,الغضروف الارتكازي,B
,أين لا توجد الغدد الزهمية؟,الpalms,A
,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟,الوجه,A
,ما هي الزاوية الخلفية السفلية في العظم الجداري؟,الجوف,A
,ما هو الاسم الآخر لفرع الفك السفلي؟,المنطقة of the mandible,C
,ماذا يفعل الرباط المتصالب الأمامي؟,ثبات of the knee,C
,ما هي الثقبة التي يعبر من خلالها العصب الوجهي؟,الستابes,A
,ماذا تفرز خلايا بيتا في البنكرياس؟,إنسولين,B
,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟,التمور,A
,ما هو القسم من الضلع الواقع بين الرأس والحديبة؟,ال neck,C
,مع أي عظم يتمفصل الظنبوب في الأسفل؟,Tibia,C
,أي من العضلات العميقة التالية للمثلث الخلفي للعنق ترتبط بحدبة الأطلس الخلفية؟,Rectus capitis posterior major,A
,ما هو التركيب الذي يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق؟,البلع,C
,ما هي البنية التي تغطي السطوح الأمامي والإنسي والوحشي للخصية؟,الترميس,C
,أين يقع موقع الغدة الدرقية؟,الرقبة,A
,أين تتوضع مستقبلات الشم؟,البلع,C
,ما هي طبيعة هرمونات الغدة النخامية؟,بروتins,B
,ما هو مفصل المرفق؟,مفصل الزند,A
,ما هو المكان الذي تنشأ منه العضلة المدورة الكبيرة بشكل أساسي؟,الscapula,A
,أين يتوضع الأبهر النازل البطني؟,Behind the peritoneum,A
,ما الذي يجاور السطح العلوي لمثانة الرجل؟,الوريد,A
,ما هي عضلة الشهيق الرئيسية؟,الضرس,A
,ما هو ترتيب دخول التراكيب إلى سرة الكلية من الخلف للأمام؟,"الوريد, artery, ureter",C
,أين تشاهد التلمة الكعبرية للزند؟,الظهر,C
,أين تتوضع الثقبة العوراء في اللسان؟,خلف الكلم inth,A
,ما هو أطول أجزاء الأنبوب الهضمي؟,الsmall intestine,A
,ما هو ترتيب العضلات من الأعلى للأسفل على الناحية الخلفية للألية؟,العضلات of the posterior compartment,A
,ما هي الطبقة المبطنة للتامور الليفي؟,الmesothelium,B
,ما هو أطول أجزاء أنبوب الهضم؟,الامعاء,B
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,إنسولين,B
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,الرباط of the ovary,C
,ما هو لون لب الكظر؟,أحمر,A
,ما الذي يشكل معظم الكتلة العضلية للسان؟,الgeniogloss,A
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,فولiform,A
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,العضلات of the back,B
,ما هو أضيق قسم في جذع الدماغ؟,ال medulla oblongata,C
,أين يقع التلفيف خلف المركزي؟,الлобule,B
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,البروس,A
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,فولiform,A
,ما هي المجموعة العضلية التي تنتمي إليها العضلة الحرقفية؟,العضلات of the abdomen,A
,ما هو القسم المسؤول عن تنظيم الفعالية الحياتية الذاتية؟,الديencephalon,A
,ما هي المادة شبيهة بالهلام التي تشغل أربعة أخماس المقلة؟,الفيبر,B
,أين تقع أجسام العصبونات التي تفرز الهرمون المضاد للإدرار ADH؟,الypothalamus,B
,ما هي العضلات التي لها منشأ عظمي وترتكز على باطن جلد الوجه؟,الmuscles of facial expression,B
,ما هو مصدر التروية الرئيسية للمعدة؟,الشرية celiac,B
,ما هي أطول أجزاء أنبوب الهضم؟,الsmall intestine,B
,من أين ينشأ الجذع الرئوي؟,البروتuberance,A
,ما هو اسم المنعكس الذي يحدث عند رفع الخصية والصفن للأعلى؟,المنعكس الإحليل,B
,ما هو العظم الذي يحتوي على تلم في وجهه السفلي لمرور وتر الشظية الطويلة؟,الرق,A
,ما هي المنطقة المتوسطة من نواحي البطن؟,المنطقة umbilical,C
,ما الذي يصل بين الأذينة اليسرى والبطين الأيسر؟,الفتق,B
,ما الذي يعطي الرباط الحرقفي القطني منشأ له؟,الاليف of the sacrum,A
,ماذا يحفز ACTH إفرازه؟,CRH,B
,ما هو أكثر أقسام الإحليل قابلية للتمدد وأعرضها؟,الbulb,A
,مما يتكون الزنار الحوضي؟,الاسيل,A
,أين تقع الباحة الحركية الأولية؟,الfrontal lobe,B
,ما هي العضلة المسؤولة عن قبض الفخذ وقبض الساق؟,العضة,A
,أين تتوضع الغدة تحت الطية اللسانية؟,تحت the tongue,C
,أين يتوضع السرج التركي؟,الغدة,B
,ما هو القسم مع الضلع الواقع بين الرأس والحدبية؟,ال neck,C
,كم عدد شدف النخاع الشوكي؟,Five,A
,ما هي العضلة الموسعة المسؤولة عن فتح الحنجرة؟,السترنothyroid,B
,ما يُدعى القسم العلوي المتسع من الحالب؟,الpelvis,A
,أين توجد نقطة التعظم البدئية في لوح الكتف؟,المنطقة of the scapula,B
,ما هو الشريان الذي يستمر به الشريان تحت الترقوة؟,الشرى axillary,A
,ما هو الشريان الذي يمكن الشعور بنبضه عند الحافة السفلية للفك السفلي أمام العضلة الماضغة؟,الوجه,B
,ما هو الشريان الذي يعتبر الشريان المخي الخلفي فرعاً منه؟,الشرايين,A
,ما هو أكبر أعضاء الجسم وزناً ومساحة؟,الجلد,B
,ما الذي يشكله نصفا الكرة المخية مع الدماغ البيني؟,الforebrain,A
,ما هو اسم الحافة اليسرى للمعدة التي تمتد من الفؤاد إلى البواب؟,المنع,C
,ما هو مصدر نشأة الشريان الشوكي الأمامي؟,Basilar artery,A
,أين يقع الثرب الصغير؟,الright atrium,A
,أين تقع صفيحة الأكيمات؟,الduodenum,A
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,البروس,A
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,الطرق,A
,ما نوع المفصل الحلقي الطرجهالي؟,مفصل synovial,B
,ما هو رقم العصب الحركي للعضلات الماضغة؟,الخام,B
,كم عدد فصيصات الخصية؟,250,A
,أين ترتكز العضلة الأخمعية الخلفية بوتر رقيق؟,الmandible,A
,أين يتوضع الثلم المهمازي؟,الmedulla oblongata,A
,ما هي المنطقة التي يقع بينها القسيم العضلي (sarcomere)؟,Z lines,D
,ما الذي تنتجه الخلايا المجاورة للجريبات في الدرق؟,ثيروكسين,C
,ما الذي تتحول إليه الوحيدات Monocytes بعد مغادرتها الدوران؟,خلايا البلعم,A
,ما هو الشريان الذي ينتهي به الشريان الوجهي؟,الأنجول,C
,أين يتوضع الثلم المهمازي؟,الmedulla oblongata,A
,ما هو العصب القحفي الذي يحمل التعصيب نظير الودي للقلب؟,العصب vagus,C
,ما هي العضلة التي يمر العصب تحت اللساني في الناحية تحت الفك عميقاً منها؟,الهيوجlossus,E
,تحت أي قسم من أقسام التشريح يندرج التنبيب الرغامي؟,الأنف,C
,ما هي العظام التي يتشكل منها مفصل الركبة؟,"الفخذ, tibia, patella",A
,ما هي الحركة الخاصة بالساعد؟,supination,A
,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,الgallbladder,B
,ماذا تشكل الصفيحتان السفليتان للشفرين الصغيرين عند اتحادهما؟,الفريulum,A
,ما هي الانطباعات التي توجد على العظم الجداري؟,الانطباعات of the middle meningeal artery,B
,ما هو العصب الحركي للعضلات الماضغة؟,الثال,B
,أين يقع الشق الحجاجي السفلي؟,الجوف,A
,ما هو العضو المتخصص بتشكيل الصوت والتدخل بالدور في الكلام؟,اللس,B
,ما هي حركة الركبة للخلف بمستوى سهمي؟,الانثناء,A
,ما هو العصب القحفي المتواسط بإفراز الغدد الدمعية واللعابية؟,الوجه,A
,أين تتوضع الصفيحة الأفقية للعظم الغربالي؟,الethmoid,C
,ما هو لون لب الكظر؟,أحمر,A
,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,ال orbital,B
,ما هو لون لب الكظر؟,أحمر,A
,ما هي اللفافة التي تحيط بجسم القضيب؟,اللفافة of Buck,A
,ما هي العضلة التي تعد من العضلات الوحشية للساق وقد تعد من العضلات الأمامية للساق؟,العضة,C
,ما هو أول ما يتأثر من الخلايا الكبدية في حالة الإصابة بنقص الأكسجة؟,الخلايا around the central vein,B
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,العضلات of the back,B
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الغلف,C
,من أين يتفرع الشريان الأكليلي الأيمن والأيسر؟,الأورطة,A
,متى ينشأ برزخ الأبهر؟,During the 4th week,C
,ما هو أصغر الفروع الأمامية للأبهر البطني؟,ال epigastric artery,C
,ما هي الألياف التي تربط التلافيف والفصوص في نصف كرة مخية واحد؟,الألياف of U,B
,ما هي ميزابة النبض بين أوتار العضلات؟,ال tendons,A
,ما هو الوريد السطحي الذي يشكل الابطي؟,الوريد basilic,A
,ماذا تفرز الخلايا ألفا في البنكرياس؟,غلوكاج,A
,ما هو اسم أعمق الانخفاضات في الصيوان؟,السيك,A
,ما هي وظيفة هرمون الغدة جار الدرقية PTH؟,زيادة calcium,A
,ما الذي يمتد من المنخر حتى المنعر؟,الnasopharynx,C
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,الغدة,C
,أين تتوضع الطية المخملة؟,الcolon,B
,ما هو الهرمون الذي يفرز PTH؟,Parathyroid hormone,A
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,إنسولين,B
,ما هي العضلات التي تعمل على توازن الرأس على الجذع؟,العضلات of the neck,C
,من أين يخرج العصب الوجهي من الجمجمة؟,الستهم,A
,ما الذي يتصل به المدورين بالخلف في الفخذ؟,الobturator nerve,B
,أين يدخل الحالبان المثانة؟,الثاني,A
,ما هي الباحة المسؤولة عن حركات العين؟,المنطقة frontalis,D
,ما هو الشريان الذي ينشأ منه الجذع المشترك للشريان بين العظمين؟,Subclavian artery,A
,ما هو وجه عظم الترقوة الذي عليه ميزابة طولانية؟,Superior,B
,من أين يفرز الغلوكاغون؟,الجزيرة of Langerhans,B
,ما هي الطبقة المبطنة للتامور الليفي؟,الmesothelium,B
,ما هو معنى التوسع في نهاية الأسهر؟,تورم,A
,كم عدد فقرات الجزء الصدري من العمود الفقري؟,12,B
,من أين ينتج هرمون الأستروجين؟,الغدد التناسلية,B
,ما هي الفروع الانتهائية للسباني الخارجي؟,الarteria palmaris,C
,ما هو مصدر التعصيب الحركي لعضلات الظهر العميقة؟,الضفيرة,B
,ما هو الجيب الوريدي الذي يصب في الوريد الوداجي الباطن؟,الوريد jugular,C
,أين يتوضع العظم الكتفي؟,الظهر,A
,ما هي المنطقة الأعمق في الغدة الكظرية؟,المدلة,A
,ما الذي يقع بين النواة العدسية من جهة والنواة والمهاد من الجهة الأخرى؟,الthalamus,C
,ما الذي ينفتح على القرين الأنفي العلوي؟,الجيب ethmoidal,A
,أين يمكن إجراء الحقن العضلي في القسم العلوي؟,العضل,B
,أين تتوضع الاحدوبة الدالية في العضد؟,المنطقة of the deltoid,B
,ما هو أكبر الجيوب جانب الأنف؟,الجيوب الماكسillary,A
,ما هو العصب المحرك لعضلات اللسان؟,الهيو,C
,ما الذي يتوضع تحت الخط الضرسي اللامي؟,الخط الألب,C
,ما هي الطبقة المحيطة بالقلب والمرتبطة به؟,الطبقة الصرة,C
,ما هو الشريان الذي ينشأ منه الشريان الزاوي؟,الشريان ophthalmic,A
,ما هو تشكل الوريد المأبضي؟,تكوين of the great saphenous vein,A
,ما هي المنطقة الأعمق في قشر الكظر؟,الreticularis,C
,أين يقع التلم الوحشي؟,الbrainstem,A
,أين يصب الوريد الكلوي؟,الوريد cave,C
,أين ترتكز العضلة المدورة الصغيرة؟,العظم of the wrist,e
,ما هو الجزء من البلعوم الذي يتبعه الردب الكمثري؟,الnasopharynx,C
,كم عدد الأعصاب القحفية؟,12,B
,أين تتوضع نواة العصب العاشر؟,المدولا,B
,ما هو العنصر الذي يجاور الرغامي من الخلف؟,الغدة sublingual,C
,ما هو العصب القحفي الذي يجتاز النفق الصدري؟,الفرنix,B
,ما هو العظم الأضخم في هيكل القدم؟,الكلب,B
,أين يوجد النفير البلعومي السمعي؟,الأنف,C
,ما الذي يحد فتحة وينسلو من الأسفل؟,المنطقة of the mandible,B
,ما يُسمى الوجه الأمامي للوح الكتف؟,الوجه,C
,ما هو الشريان الذي يروي القولون الصاعد؟,الشرى الكولique,C
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الغلف,C
,ما يُدعى القسم العلوي المتسع من الحالب؟,الpelvis,C
,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟,الجلوتيس,C
,ما هي الطبقة من الكظر التي تتألف من حبال مقوسة من خلايا عمودية متقاربة؟,الزغابة,A
,ما هي الخلايا التي تتوضع في اللحمة بين النبيبات؟,خلايا ليد,B
,ما هو السطح الخلفي للفخذ تحت المدور الكبير؟,الثقب,B
,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,الgallbladder,B
,ما هو الشريان الذي يروي معظم الوجه الوحشي للمخ؟,الشرى السحني,B
,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟,الجلوتيس,C
,ما هو العصب القحفي الذي يعبر الثقبة البيضية؟,الثال,C
,ما هو الهرمون الذي يسبب دفقه الشديد حدوث عملية الإباضة؟,لوتين,A
,ما هو الهرمون الذي يستهدف الدرق ويحفز إفراز الهرمون الدرقي؟,ثيرostimulating hormone,C
,ما هي أكبر عقدة مفردة من النسيج اللمفاوي؟,الطحال,B
,ما هي العضلة الرئيسية المسؤولة عن قبض المرفق؟,الثني,A
,ما هي التراكيب التي توجد على حافتي اللسان وتحوي براعم ذوقية كثيرة؟,الزغ,C
,ما هي الشعيرات الدموية التي تغلفها محفظة بومان؟,الglomerulus,B
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ال condyle,B
,ما الذي تغلفه العضلة البصلية الإسفنجية؟,الurethra,C
,من أين يخرج العصب الشوكي؟,الفتحة intervertebral,A
,ما هي الألياف التي تعصب العضلة مصرة الحدقة؟,ال parasympathetic,B
,ما هو البطين الذي يحويه الدماغ البيني داخله؟,Third ventricle,C
,ما الذي يشغل الجزء العلوي من قبة القحف؟,الدماغ,A
,ما هو العصب الذي يعصب الغدة النكفية؟,الجلوف,C
,من أين يخرج العصب تحت اللساني؟,الجذ of the hypoglossal nerve,A
,ما هي الخلايا البالعة الكبدية؟,خلايا كوه,C
,أين يصب الوريد الصافن الكبير (الأنسي)؟,الوريد الفخذي,A
,ما هو الشريان الذي يستمر به الريان تحت الترقوة؟,الثقب,A
,ما تُدعى الردب بين عنق الرحم والمهبل؟,فورنيكس,C
,في أي مستوى من الفقرات الصدرية يتم التمفصل بين قبضة وجسم القص؟,T2,C
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,الرباط of the ovary,C
,ما هي العضلة التي تنشأ من الشوكة الحرقفية الأمامية العلوية وترتكز انسي الظنبوب؟,العضة of the thigh,C
,ما هي الطبقة البطانية الرحمية التي تتعرض إلى تغيرات ملحوظة أثناء الدورة الشهرية؟,الاندر,A
,ما هو موقع مستقبلات الضغط المسؤولة عن المنعكس القلبي التثبيطي؟,Carotid sinus,B
,ما هو أكبر أعضاء الجسم وزناً ومساحة؟,الجلد,B
,ما هي البنية الأكثر علواً في جذر الرئة اليسرى؟,العرق,A
,ما هو المكان الذي يعبر من خلاله الشريان السحاني الأوسط؟,السلخ,C
,ما هو الجوف الهوائي الذي يحوي عظيمات السمع؟,الطبلة,C
,ما هي وظيفة النهايات العصبية الحرة الواردة ضمن ألياف العضلة القلبية؟,Detection of stretch,C
,ما هي الخلايا التي تخزن فيتامين A في الكبد؟,خلايا ستار,B
,من أين يحمل الشريان الرئوي الدم غير المؤكسج؟,القلب,C
,ما هو العصب القحفي الثاني؟,الoptic nerve,A
,ما هو العظم الذي تنتمي إليه الثلمة الاسكية الصغيرة؟,المنطقة of the sphenoid,B
,ما هو الغضروف المرتبط مع الحلقة الرغامية الأولى؟,الغضروف of the cricoid,A
,ما هو المفصل الذي يتألف من سطحين كل منهما محدب في اتجاه ومقعر في اتجاه آخر؟,مفصل السرج,A
,ما هو أكبر أعصاب الجسم؟,العصب السيتatic,D
,كم عدد العضلات بين العظمية الأخمصية؟,Three,A
,أين ينتهي الأبهر النازل؟,الأورط,C
,ما هي المراكز المسؤولة عن تنسيق الفعالية الحركية وضمان الثباتية؟,الخلايا of the basal ganglia,A
,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,ال orbital,B
,أين ينفتح الجيب الفكي؟,المنخ,C
,ما هو أكبر أقسام المعثكلة؟,اليس,A
,ما هي الحدود التشريحية للحجرة الخلفية للعين؟,العصب optic,A
,أين ترتكز العضلة الشظوية القصيرة؟,الخامس metatarsal,A
,ما هي المنطقة في الحنجرة التي تشمل الطيتين الصوتيتين والمسافة بينهما؟,الجلوتيس,A
,أين تقع الوهدة في البلعوم؟,البلع,B
,ما هي الغدة التي تتوضع تحت الطية اللسانية؟,غدة sublingual,C
,ما هو العصب الذي ينتقل عبره الحس غير العام (حس الذوق) من الثلث الأمامي للسان؟,الخد,A
,ماذا يروي المساريقي العلوي؟,الstomach,A
,ما هي المنطقة الأعمق من قشر الكظر؟,الmedulla,C
,ما هي الفقرة التي تحتوي على ثقبة فقرية كبيرة ومثلثية الشكل؟,C2,A
,ما هو لون قشر الكظر؟,أصفر,C
,ما هو النسيج الضام الليفي الذي يرتكز حول السطوح المفصلية؟,الغضروف,A
,كم عدد شدف النخاع الشوكي؟,Five,A
,ما هو التصريف اللمفاوي للثلث الخلفي للسان؟,الجلدية lymph nodes,E
,ما هي الغدة التي تقوم بإفراز الميلاتونين؟,الغدة pineal,C
,ما هو الشريان الذي له انطباعات على الوجه الداخلي للعظم الصدغي وهو فرع من أي شريان؟,المنجial,A
,ما هو التصنيف الذي يمكننا من معرفة العضلات التي تشارك في كل مرحلة مفصلية وتطبيق ذلك أثناء الفحص؟,تصنيف العضلات,A
,ما هي الشرايين التي تسير بين الفصوص بإتجاه القشرة على كل جانب من جانبي الهرم الكلوي؟,الشرايين interlobar,B
,ما هو الدواء الأمثل لبدء التخدير لمريض مصاب بنزف حاد؟,كيتامين,E
,ما هو المخدر الذي يتميز بالمباشرة والصحو السريعين؟,بروفول,E
,ما هو الدواء الأمثل لبدء التخدير لمريض مصاب بنزف رضي حاد؟,كيتامين,C
,ما هو المرخي العضلي الأمثل لتسهيل تنبيب مريض ذي خطورة عالية للاستنشاق؟,روكronium,A
,ما هو الترياق المناسب للتسمم بالمورفين؟,نالوكسون,A
,ما الذي يشير إليه بقاء عيني المريض مفتوحتين مع رأرأة خفيفة وحركات غير هادفة بعد إعطائه جرعة من الكيتامين؟,تخدير غير كامل,E
,ما هو الدواء المنتخب للإرخاء العضلي والتنبيب لمريض يعاني من قصور كلوي ويحتاج لعملية إسعافية؟,روكورonium,C
,ما هو المرخي العضلي المفضل استعماله لمريض سيخضع لجراحة إسعافية ويعاني من قصور كلوي؟,Cisatracurium,B
,ماذا يفكك الببسين؟,بروتين,B
,ما التعبير الصحيح لوصف جزيئات الإيثين في تفاعل تشكيل البولي إيثين؟,مونome,A
,ماذا يسبب عوز إنزيم البيروفات كيناز؟,نقص في ATP,A
,ماذا ندعو آلية تفاعل الكلور مع البروبان في ضوء الشمس لإنتاج 1-كلورو بروبان؟,تحلل,B
,ما هي الاسطوانات المنحنية التي تكون سهلة التمييز لمحتواها الكاسر للضوء؟,الاستول,B
,ما هي الحموض الأمينية المشحونة سلبياً؟,حمض glutamic,B
,ما هي أعراض عوز فيتامين البيوتين؟,تقرحات,D
,ما هي مفرزات الصفراء؟,Bile,C
,ما هي خصائص الشجرة الوراثية لخلة متنحية جسدية فيها الأبوين مصابين؟,All offspring affected,B
,ما هي النواتج المتشكلة عند تفاعل معدن الصوديوم مع الإيثانول؟,هيدروجين and sodium ethoxide,A
,ما هي خصائص أنزيم RNA Polymerase؟,إزوم,A
,ما هو النكليوتيد في جزيء DNA؟,Nucleoside triphosphate,A
,ما هو فيتامين البيوتين؟,فيتامين B7,B
,ما هي حالة عدم تحمل اللاكتوز؟,عدم تحمل اللاكتوز,B
,ما هو اسم الاستر المتشكل عندما يتفاعل الميتانول مع حمض البوتانوئيك بوجود بضع قطرات من حمض الكبريت المركز؟,إستر,B
,ما هو سبب الوفاة لدى مرض التلاسيميا؟,فشل القلب,C
,ما هي الصبغيات التي يوجد فيها الكروماتين المغاير؟,X chromosomes,A
,ما المركب الذي ينقص منه نتيجة التأخر في فصل البلازما أو المصل من الكريات في الدم؟,البروتين,D
,ما هو المركب الذي يستخدم كزمرة ملحقة لجميع الإنزيمات الناقلة الزمرة الأمين؟,Pyridoxal phosphate,C
,ما هو العلاج الثاني لمرض الثلاسيميا بيتا؟,نقل الدم,D
,ما هو الاضطراب الذي يتميز بفرط شديد في بيليروبين المصل غير المرتبط وعوز جزئي في UDPGT؟,Crigler-Najjar syndrome,C
,ما هو سبب الوفاة لدى مرضى التلاسيميا؟,نقص الحديد,C
,ماذا يسبب عوز الثيامين الشديد؟,بري بري,D
,كم يبلغ عدد الجينات التي تشفر لجزيئات الرنا الأصغري miRNAs في مجين الإنسان؟,1048,C
,أين يتم اصطناع الدقائق الكيلوسية؟,الخلايا of the small intestine,D
,ما هو الإنزيم الذي يتم بوساطته ربط شدف أوكازاكي؟,DNA ligase,B
,ما هو أكثر الأنزيمات فعالية تحفيزية في جسم الإنسان؟,كاتالase,B
,ما هو الشكل الفعال لفيتامين B6؟,Pyridoxal phosphate,C
,ما هو الموقع الطبيعي للجين الورمي ABL؟,9q34,B
,كم عدد طبقات الفوسفولبيد في المذيلة؟,Two,C
,ما هو التركيب الذي يدخل فيه الكولاجين 4؟,الbasement membrane,B
,ما الذي تؤدي إليه استلة الهيستونات؟,تثبيط,A
,ما هي الخصائص التي تتميز بها شجرة النسب الحاوية على حالة وراثة متعلقة بالمتقدرات والأم فقط فيها مصابة؟,ميتو,C
,ما هو الحمض الأميني الذي تتم أستلة الهستونات له؟,Acetylation,C
,ما هي المكونات التي تتألف منها الفوسفولبيدات بالإضافة إلى حمضين دسمين والفوسفات؟,Glycerol,D
,ما هي الوظيفة الوحيدة لسيغما في إنزيم بوليمراز RNA البكتيري؟,Cleavage,D
,ما هي الأجزاء التي تتبادل بينها الإشارات الجزيئية التي يعتمد عليها ضبط النظام الخلوي الجذعي؟,الخلايا الجذعية,C
,ما تدعى البروتينات المشكلة لمعقدات الثقوب النووية؟,نوكلوبورين,D
