id,input,prediction,ground_truth,judge_label
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,الوصفي,C,Incorrect
,على أي من وجوه الكبد يوجد مسكن المرارة؟,الوجه الأيمن,C,Incorrect
,ما هو العصب القحفي الثاني؟,النسبي,A,Incorrect
,ما وظيفة العضلة تحت الكتفية؟,الانقباض,b,Incorrect
,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,الانقباض,C,Incorrect
,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,المنوال,A,Incorrect
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,الملاحظة,A,Incorrect
,ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟,الحدقة,B,Incorrect
,ما هي أكبر غدد الجسم؟,الغدة الدرقية,A,Incorrect
,ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟,ANSWER: الشريان السباتي,A,Incorrect
,بماذا ينتهي الشريان الوجهي؟,الانقباض,C,Incorrect
,ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟,الملاحظة,B,Incorrect
,أين تقع فوهة مصب الجيب الأكليلي؟,الاستيل كوليك,C,Incorrect
,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,الحد الأعلى,B,Incorrect
,أي عصب هو المحرك لعضلات اللسان؟,الحداني,C,Incorrect
,ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,الملاحظة,C,Incorrect
,ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟,الهرمونات,B,Correct
,ما هي الزاوية بين قبضة وجسم القص؟,15,A,Incorrect
,من أين يخرج العصب الفكي العلوي من الجمجمة؟,الخامسة,C,Incorrect
,ما الذي يحدد المنصف العلوي جانبياً؟,المنصف,A,Incorrect
,ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟,الانبوب القحفي,B,Incorrect
,أين ترتكز العضلة العريضة الظهرية؟,الملاحظة,A,Incorrect
,ما هو القولون الذي يمتد بشكل أفقي؟,القولون المستعرض,C,Correct
,كم عدد القطع العصعصية في النخاع الشوكي؟,13,D,Incorrect
,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,العضلات الملس,B,Incorrect
,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,الملاحظة,B,Incorrect
,ما اسم الكرة الصغيرة فوق قمة الغضروف؟,الاسمي,B,Incorrect
,أين لا توجد الغدد الزهمية؟,الملاحظة,A,Incorrect
,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟,الملاحظة,A,Incorrect
,ما هي الزاوية الخلفية السفلية في العظم الجداري؟,الملاحظة,A,Incorrect
,ما هو الاسم الآخر لفرع الفك السفلي؟,ANSWER: فرع شفة,C,Incorrect
,ماذا يفعل الرباط المتصالب الأمامي؟,A+B,C,Incorrect
,ما هي الثقبة التي يعبر من خلالها العصب الوجهي؟,الانبوب,A,Incorrect
,ماذا تفرز خلايا بيتا في البنكرياس؟,النسبي,B,Incorrect
,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟,الملاحظة,A,Incorrect
,ما هو القسم من الضلع الواقع بين الرأس والحديبة؟,الحدبة,C,Incorrect
,مع أي عظم يتمفصل الظنبوب في الأسفل؟,الوصلي,C,Incorrect
,أي من العضلات العميقة التالية للمثلث الخلفي للعنق ترتبط بحدبة الأطلس الخلفية؟,الملاحظة,A,Incorrect
,ما هو التركيب الذي يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق؟,الأنبوب القفزي,C,Incorrect
,ما هي البنية التي تغطي السطوح الأمامي والإنسي والوحشي للخصية؟,البرولاكتين,C,Incorrect
,أين يقع موقع الغدة الدرقية؟,العنق,A,Correct
,أين تتوضع مستقبلات الشم؟,الانقباض,C,Incorrect
,ما هي طبيعة هرمونات الغدة النخامية؟,"A,B",B,Incorrect
,ما هو مفصل المرفق؟,A+B,A,Incorrect
,ما هو المكان الذي تنشأ منه العضلة المدورة الكبيرة بشكل أساسي؟,الملاحظة,A,Incorrect
,أين يتوضع الأبهر النازل البطني؟,الملاحظة,A,Incorrect
,ما الذي يجاور السطح العلوي لمثانة الرجل؟,الملاحظة,A,Incorrect
,ما هي عضلة الشهيق الرئيسية؟,الحديدة,A,Incorrect
,ما هو ترتيب دخول التراكيب إلى سرة الكلية من الخلف للأمام؟,الاستدلالي,C,Incorrect
,أين تشاهد التلمة الكعبرية للزند؟,الملاحظة,C,Incorrect
,أين تتوضع الثقبة العوراء في اللسان؟,A+B,A,Incorrect
,ما هو أطول أجزاء الأنبوب الهضمي؟,القولون,A,Incorrect
,ما هو ترتيب العضلات من الأعلى للأسفل على الناحية الخلفية للألية؟,الملاحظة,A,Incorrect
,ما هي الطبقة المبطنة للتامور الليفي؟,البراكين,B,Incorrect
,ما هو أطول أجزاء أنبوب الهضم؟,القولون,B,Incorrect
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,النسبي,B,Incorrect
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,الرباطات الوعائية,C,Incorrect
,ما هو لون لب الكظر؟,الصفرة,A,Correct
,ما الذي يشكل معظم الكتلة العضلية للسان؟,العضلات الملس,A,Incorrect
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,الملس,A,Incorrect
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,الملاحظة,B,Incorrect
,ما هو أضيق قسم في جذع الدماغ؟,الملخص,C,Incorrect
,أين يقع التلفيف خلف المركزي؟,الجمجمة,B,Incorrect
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,الملاحظة,A,Incorrect
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,الملس,A,Incorrect
,ما هي المجموعة العضلية التي تنتمي إليها العضلة الحرقفية؟,A+B,A,Incorrect
,ما هو القسم المسؤول عن تنظيم الفعالية الحياتية الذاتية؟,النسبي,A,Incorrect
,ما هي المادة شبيهة بالهلام التي تشغل أربعة أخماس المقلة؟,الملاحظة,B,Incorrect
,أين تقع أجسام العصبونات التي تفرز الهرمون المضاد للإدرار ADH؟,المنطقة الماملة,B,Incorrect
,ما هي العضلات التي لها منشأ عظمي وترتكز على باطن جلد الوجه؟,الملاحظة,B,Incorrect
,ما هو مصدر التروية الرئيسية للمعدة؟,ANSWER: الشريان الأبهر,B,Incorrect
,ما هي أطول أجزاء أنبوب الهضم؟,القولون,B,Incorrect
,من أين ينشأ الجذع الرئوي؟,الاستيل كولين,A,Incorrect
,ما هو اسم المنعكس الذي يحدث عند رفع الخصية والصفن للأعلى؟,المنعكس السيسني,B,Incorrect
,ما هو العظم الذي يحتوي على تلم في وجهه السفلي لمرور وتر الشظية الطويلة؟,الرتبي,A,Incorrect
,ما هي المنطقة المتوسطة من نواحي البطن؟,الملاحظة,C,Incorrect
,ما الذي يصل بين الأذينة اليسرى والبطين الأيسر؟,الاستيل كولين,B,Incorrect
,ما الذي يعطي الرباط الحرقفي القطني منشأ له؟,الحوض,A,Incorrect
,ماذا يحفز ACTH إفرازه؟,الاستروجين,B,Incorrect
,ما هو أكثر أقسام الإحليل قابلية للتمدد وأعرضها؟,الاستيل كولين,A,Incorrect
,مما يتكون الزنار الحوضي؟,الملاحظة,A,Incorrect
,أين تقع الباحة الحركية الأولية؟,الملاحظة,B,Incorrect
,ما هي العضلة المسؤولة عن قبض الفخذ وقبض الساق؟,الملاحظة,A,Incorrect
,أين تتوضع الغدة تحت الطية اللسانية؟,ANSWER: تحت اللسان,C,Incorrect
,أين يتوضع السرج التركي؟,الخامسة,B,Incorrect
,ما هو القسم مع الضلع الواقع بين الرأس والحدبية؟,الحدبة,C,Incorrect
,كم عدد شدف النخاع الشوكي؟,3,A,Incorrect
,ما هي العضلة الموسعة المسؤولة عن فتح الحنجرة؟,الرتبي,B,Incorrect
,ما يُدعى القسم العلوي المتسع من الحالب؟,الملاحظة,A,Incorrect
,أين توجد نقطة التعظم البدئية في لوح الكتف؟,ANSWER: على خط الانحدار,B,Incorrect
,ما هو الشريان الذي يستمر به الشريان تحت الترقوة؟,ANSWER: الشريان السباتي,A,Incorrect
,ما هو الشريان الذي يمكن الشعور بنبضه عند الحافة السفلية للفك السفلي أمام العضلة الماضغة؟,الانقباضي,B,Incorrect
,ما هو الشريان الذي يعتبر الشريان المخي الخلفي فرعاً منه؟,الانقباضي,A,Incorrect
,ما هو أكبر أعضاء الجسم وزناً ومساحة؟,الجلد,B,Correct
,ما الذي يشكله نصفا الكرة المخية مع الدماغ البيني؟,الدماغ,A,Correct
,ما هو اسم الحافة اليسرى للمعدة التي تمتد من الفؤاد إلى البواب؟,الحد الأيسر,C,Incorrect
,ما هو مصدر نشأة الشريان الشوكي الأمامي؟,A+B,A,Incorrect
,أين يقع الثرب الصغير؟,الاسمي,A,Incorrect
,أين تقع صفيحة الأكيمات؟,الملاحظة,A,Incorrect
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,الملاحظة,A,Incorrect
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,الملاحظة,A,Incorrect
,ما نوع المفصل الحلقي الطرجهالي؟,مفصل كروزي,B,Incorrect
,ما هو رقم العصب الحركي للعضلات الماضغة؟,5,B,Correct
,كم عدد فصيصات الخصية؟,250,A,Incorrect
,أين ترتكز العضلة الأخمعية الخلفية بوتر رقيق؟,الرتبي,A,Incorrect
,أين يتوضع الثلم المهمازي؟,الملاحظة,A,Incorrect
,ما هي المنطقة التي يقع بينها القسيم العضلي (sarcomere)؟,الاسمي,D,Incorrect
,ما الذي تنتجه الخلايا المجاورة للجريبات في الدرق؟,الملاحظة,C,Incorrect
,ما الذي تتحول إليه الوحيدات Monocytes بعد مغادرتها الدوران؟,الخلايا النجمية,A,Incorrect
,ما هو الشريان الذي ينتهي به الشريان الوجهي؟,ANSWER: الشريان السحني,C,Incorrect
,أين يتوضع الثلم المهمازي؟,الملاحظة,A,Incorrect
,ما هو العصب القحفي الذي يحمل التعصيب نظير الودي للقلب؟,A+B,C,Incorrect
,ما هي العضلة التي يمر العصب تحت اللساني في الناحية تحت الفك عميقاً منها؟,الملحقة,E,Incorrect
,تحت أي قسم من أقسام التشريح يندرج التنبيب الرغامي؟,ANSWER: تنظير هضمي علوي,C,Incorrect
,ما هي العظام التي يتشكل منها مفصل الركبة؟,الرتبي,A,Incorrect
,ما هي الحركة الخاصة بالساعد؟,الانحناء,A,Incorrect
,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,الملاحظة,B,Incorrect
,ماذا تشكل الصفيحتان السفليتان للشفرين الصغيرين عند اتحادهما؟,الملاحظة,A,Incorrect
,ما هي الانطباعات التي توجد على العظم الجداري؟,الانطباعات,B,Incorrect
,ما هو العصب الحركي للعضلات الماضغة؟,الخامس,B,Correct
,أين يقع الشق الحجاجي السفلي؟,الملاحظة,A,Incorrect
,ما هو العضو المتخصص بتشكيل الصوت والتدخل بالدور في الكلام؟,الملاحظة,B,Incorrect
,ما هي حركة الركبة للخلف بمستوى سهمي؟,الانحناء,A,Incorrect
,ما هو العصب القحفي المتواسط بإفراز الغدد الدمعية واللعابية؟,الملاحظة,A,Incorrect
,أين تتوضع الصفيحة الأفقية للعظم الغربالي؟,الصفحة,C,Incorrect
,ما هو لون لب الكظر؟,الصفرة,A,Incorrect
,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,المنوال,B,Incorrect
,ما هو لون لب الكظر؟,الصفرة,A,Incorrect
,ما هي اللفافة التي تحيط بجسم القضيب؟,الملاحظة,A,Incorrect
,ما هي العضلة التي تعد من العضلات الوحشية للساق وقد تعد من العضلات الأمامية للساق؟,الملاحظة,C,Incorrect
,ما هو أول ما يتأثر من الخلايا الكبدية في حالة الإصابة بنقص الأكسجة؟,الخلايا النجمية,B,Incorrect
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,الملاحظة,B,Incorrect
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الملاحظة,C,Incorrect
,من أين يتفرع الشريان الأكليلي الأيمن والأيسر؟,الاستيل كوليك,A,Incorrect
,متى ينشأ برزخ الأبهر؟,الانقباض,C,Incorrect
,ما هو أصغر الفروع الأمامية للأبهر البطني؟,الاستيل كوليك,C,Incorrect
,ما هي الألياف التي تربط التلافيف والفصوص في نصف كرة مخية واحد؟,الملاحظة,B,Incorrect
,ما هي ميزابة النبض بين أوتار العضلات؟,الاستدلالي,A,Incorrect
,ما هو الوريد السطحي الذي يشكل الابطي؟,الوريد الأجوف العلوي,A,Incorrect
,ماذا تفرز الخلايا ألفا في البنكرياس؟,A+B,A,Incorrect
,ما هو اسم أعمق الانخفاضات في الصيوان؟,الانقباض,A,Incorrect
,ما هي وظيفة هرمون الغدة جار الدرقية PTH؟,الرتبي,A,Incorrect
,ما الذي يمتد من المنخر حتى المنعر؟,الحدقة,C,Incorrect
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,الاستيل كولين,C,Incorrect
,أين تتوضع الطية المخملة؟,الملاحظة,B,Incorrect
,ما هو الهرمون الذي يفرز PTH؟,الغدة الدرقية,A,Incorrect
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,النسبي,B,Incorrect
,ما هي العضلات التي تعمل على توازن الرأس على الجذع؟,العضلات الوتدية,C,Incorrect
,من أين يخرج العصب الوجهي من الجمجمة؟,المنوال,A,Incorrect
,ما الذي يتصل به المدورين بالخلف في الفخذ؟,الوريد الأجوف السفلي,B,Incorrect
,أين يدخل الحالبان المثانة؟,الملاحظة,A,Incorrect
,ما هي الباحة المسؤولة عن حركات العين؟,الملاحظة,D,Incorrect
,ما هو الشريان الذي ينشأ منه الجذع المشترك للشريان بين العظمين؟,ANSWER: الشريان الأبهر,A,Incorrect
,ما هو وجه عظم الترقوة الذي عليه ميزابة طولانية؟,الملاحظة,B,Incorrect
,من أين يفرز الغلوكاغون؟,A+B,B,Incorrect
,ما هي الطبقة المبطنة للتامور الليفي؟,البراكين,B,Incorrect
,ما هو معنى التوسع في نهاية الأسهر؟,الاستدلالي,A,Incorrect
,كم عدد فقرات الجزء الصدري من العمود الفقري؟,13,B,Incorrect
,من أين ينتج هرمون الأستروجين؟,الملاحظة,B,Incorrect
,ما هي الفروع الانتهائية للسباني الخارجي؟,الانتهائي,C,Incorrect
,ما هو مصدر التعصيب الحركي لعضلات الظهر العميقة؟,A+B,B,Incorrect
,ما هو الجيب الوريدي الذي يصب في الوريد الوداجي الباطن؟,الوريد الأجوف العلوي,C,Incorrect
,أين يتوضع العظم الكتفي؟,الرتبي,A,Incorrect
,ما هي المنطقة الأعمق في الغدة الكظرية؟,الملاحظة,A,Incorrect
,ما الذي يقع بين النواة العدسية من جهة والنواة والمهاد من الجهة الأخرى؟,الملحق,C,Incorrect
,ما الذي ينفتح على القرين الأنفي العلوي؟,الخلايا النجمية,A,Incorrect
,أين يمكن إجراء الحقن العضلي في القسم العلوي؟,المنطقة القفزية,B,Incorrect
,أين تتوضع الاحدوبة الدالية في العضد؟,الملاحظة,B,Incorrect
,ما هو أكبر الجيوب جانب الأنف؟,الجيوب الجبهية,A,Incorrect
,ما هو العصب المحرك لعضلات اللسان؟,الحداني,C,Incorrect
,ما الذي يتوضع تحت الخط الضرسي اللامي؟,الملاحظة,C,Incorrect
,ما هي الطبقة المحيطة بالقلب والمرتبطة به؟,المنصف,C,Incorrect
,ما هو الشريان الذي ينشأ منه الشريان الزاوي؟,الاسمي,A,Incorrect
,ما هو تشكل الوريد المأبضي؟,ANSWER: تبايني,A,Incorrect
,ما هي المنطقة الأعمق في قشر الكظر؟,الملاحظة,C,Incorrect
,أين يقع التلم الوحشي؟,الملاحظة,A,Incorrect
,أين يصب الوريد الكلوي؟,ANSWER: الوريد الأجوف السفلي,C,Correct
,أين ترتكز العضلة المدورة الصغيرة؟,الملاحظة,e,Incorrect
,ما هو الجزء من البلعوم الذي يتبعه الردب الكمثري؟,البلعوم الأنفي,C,Incorrect
,كم عدد الأعصاب القحفية؟,12,B,Correct
,أين تتوضع نواة العصب العاشر؟,البرولونجاتا,B,Correct
,ما هو العنصر الذي يجاور الرغامي من الخلف؟,الغدة الدرقية,C,Incorrect
,ما هو العصب القحفي الذي يجتاز النفق الصدري؟,الحداني,B,Incorrect
,ما هو العظم الأضخم في هيكل القدم؟,الورقة,B,Incorrect
,أين يوجد النفير البلعومي السمعي؟,النفير البلعومي السمعي,C,Incorrect
,ما الذي يحد فتحة وينسلو من الأسفل؟,المنوال,B,Incorrect
,ما يُسمى الوجه الأمامي للوح الكتف؟,الملاحظة,C,Incorrect
,ما هو الشريان الذي يروي القولون الصاعد؟,ANSWER: الشريان الكولكي,C,Incorrect
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الملاحظة,C,Incorrect
,ما يُدعى القسم العلوي المتسع من الحالب؟,الملاحظة,C,Incorrect
,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟,الرتبي,C,Incorrect
,ما هي الطبقة من الكظر التي تتألف من حبال مقوسة من خلايا عمودية متقاربة؟,الملاحظة,A,Incorrect
,ما هي الخلايا التي تتوضع في اللحمة بين النبيبات؟,الخلايا النجمية,B,Incorrect
,ما هو السطح الخلفي للفخذ تحت المدور الكبير؟,المنوال,B,Incorrect
,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,الملاحظة,B,Incorrect
,ما هو الشريان الذي يروي معظم الوجه الوحشي للمخ؟,الانقباضي,B,Incorrect
,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟,الرتبي,C,Incorrect
,ما هو العصب القحفي الذي يعبر الثقبة البيضية؟,A+B,C,Incorrect
,ما هو الهرمون الذي يسبب دفقه الشديد حدوث عملية الإباضة؟,الاستروجين,A,Incorrect
,ما هو الهرمون الذي يستهدف الدرق ويحفز إفراز الهرمون الدرقي؟,الملاحظة,C,Incorrect
,ما هي أكبر عقدة مفردة من النسيج اللمفاوي؟,الطحال,B,Incorrect
,ما هي العضلة الرئيسية المسؤولة عن قبض المرفق؟,الملاحظة,A,Incorrect
,ما هي التراكيب التي توجد على حافتي اللسان وتحوي براعم ذوقية كثيرة؟,الخلايا المخروطية,C,Incorrect
,ما هي الشعيرات الدموية التي تغلفها محفظة بومان؟,الشعيرات الدموية,B,Incorrect
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,الملاحظة,B,Incorrect
,ما الذي تغلفه العضلة البصلية الإسفنجية؟,الشرايين,C,Incorrect
,من أين يخرج العصب الشوكي؟,الفتحة بين الفقرات,A,Correct
,ما هي الألياف التي تعصب العضلة مصرة الحدقة؟,الاسمي,B,Incorrect
,ما هو البطين الذي يحويه الدماغ البيني داخله؟,الثالث,C,Correct
,ما الذي يشغل الجزء العلوي من قبة القحف؟,الجمجمة,A,Incorrect
,ما هو العصب الذي يعصب الغدة النكفية؟,الغسيل,C,Incorrect
,من أين يخرج العصب تحت اللساني؟,الخامسة,A,Incorrect
,ما هي الخلايا البالعة الكبدية؟,الخلايا النجمية,C,Incorrect
,أين يصب الوريد الصافن الكبير (الأنسي)؟,A+B,A,Incorrect
,ما هو الشريان الذي يستمر به الريان تحت الترقوة؟,ANSWER: الشريان تحت الترقوي,A,Incorrect
,ما تُدعى الردب بين عنق الرحم والمهبل؟,الرتبي,C,Incorrect
,في أي مستوى من الفقرات الصدرية يتم التمفصل بين قبضة وجسم القص؟,الرتبي,C,Incorrect
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,الرباطات الوعائية,C,Incorrect
,ما هي العضلة التي تنشأ من الشوكة الحرقفية الأمامية العلوية وترتكز انسي الظنبوب؟,A+B,C,Incorrect
,ما هي الطبقة البطانية الرحمية التي تتعرض إلى تغيرات ملحوظة أثناء الدورة الشهرية؟,الانابيب الكلوية,A,Incorrect
,ما هو موقع مستقبلات الضغط المسؤولة عن المنعكس القلبي التثبيطي؟,الاستيل كولين,B,Incorrect
,ما هو أكبر أعضاء الجسم وزناً ومساحة؟,الجلد,B,Correct
,ما هي البنية الأكثر علواً في جذر الرئة اليسرى؟,الحد الأعلى,A,Incorrect
,ما هو المكان الذي يعبر من خلاله الشريان السحاني الأوسط؟,الغدة الدرقية,C,Incorrect
,ما هو الجوف الهوائي الذي يحوي عظيمات السمع؟,الجمجمة,C,Incorrect
,ما هي وظيفة النهايات العصبية الحرة الواردة ضمن ألياف العضلة القلبية؟,الملاحظة,C,Incorrect
,ما هي الخلايا التي تخزن فيتامين A في الكبد؟,الخلايا النجمية,B,Correct
,من أين يحمل الشريان الرئوي الدم غير المؤكسج؟,البطين الأيمن,C,Correct
,ما هو العصب القحفي الثاني؟,النسبي,A,Incorrect
,ما هو العظم الذي تنتمي إليه الثلمة الاسكية الصغيرة؟,الجمجمة,B,Incorrect
,ما هو الغضروف المرتبط مع الحلقة الرغامية الأولى؟,A+B,A,Incorrect
,ما هو المفصل الذي يتألف من سطحين كل منهما محدب في اتجاه ومقعر في اتجاه آخر؟,الملاحظة,A,Incorrect
,ما هو أكبر أعصاب الجسم؟,الاستروهن,D,Incorrect
,كم عدد العضلات بين العظمية الأخمصية؟,13,A,Incorrect
,أين ينتهي الأبهر النازل؟,ANSWER: في البطن,C,Incorrect
,ما هي المراكز المسؤولة عن تنسيق الفعالية الحركية وضمان الثباتية؟,النسبي,A,Incorrect
,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,المنوال,B,Incorrect
,أين ينفتح الجيب الفكي؟,الخد,C,Incorrect
,ما هو أكبر أقسام المعثكلة؟,الملاحظة,A,Incorrect
,ما هي الحدود التشريحية للحجرة الخلفية للعين؟,الحد الأعلى,A,Incorrect
,أين ترتكز العضلة الشظوية القصيرة؟,الرتبي,A,Incorrect
,ما هي المنطقة في الحنجرة التي تشمل الطيتين الصوتيتين والمسافة بينهما؟,المنوال,A,Incorrect
,أين تقع الوهدة في البلعوم؟,البلعوم,B,Incorrect
,ما هي الغدة التي تتوضع تحت الطية اللسانية؟,ANSWER: الغدة النكفية,C,Incorrect
,ما هو العصب الذي ينتقل عبره الحس غير العام (حس الذوق) من الثلث الأمامي للسان؟,الخامس,A,Incorrect
,ماذا يروي المساريقي العلوي؟,الاستدلالي,A,Incorrect
,ما هي المنطقة الأعمق من قشر الكظر؟,الملاحظة,C,Incorrect
,ما هي الفقرة التي تحتوي على ثقبة فقرية كبيرة ومثلثية الشكل؟,A+B,A,Incorrect
,ما هو لون قشر الكظر؟,الصفحة,C,Incorrect
,ما هو النسيج الضام الليفي الذي يرتكز حول السطوح المفصلية؟,الملاحظة,A,Incorrect
,كم عدد شدف النخاع الشوكي؟,3,A,Incorrect
,ما هو التصريف اللمفاوي للثلث الخلفي للسان؟,اللمف,E,Incorrect
,ما هي الغدة التي تقوم بإفراز الميلاتونين؟,الغدة الصنوبرية,C,Correct
,ما هو الشريان الذي له انطباعات على الوجه الداخلي للعظم الصدغي وهو فرع من أي شريان؟,الانقباضي,A,Incorrect
,ما هو التصنيف الذي يمكننا من معرفة العضلات التي تشارك في كل مرحلة مفصلية وتطبيق ذلك أثناء الفحص؟,الملاحظة,A,Incorrect
,ما هي الشرايين التي تسير بين الفصوص بإتجاه القشرة على كل جانب من جانبي الهرم الكلوي؟,الشرايين بين الفصوص,B,Correct
,ما هو الدواء الأمثل لبدء التخدير لمريض مصاب بنزف حاد؟,الكلوريد,E,Incorrect
,ما هو المخدر الذي يتميز بالمباشرة والصحو السريعين؟,البروبوفول,E,Correct
,ما هو الدواء الأمثل لبدء التخدير لمريض مصاب بنزف رضي حاد؟,الكلوريد,C,Incorrect
,ما هو المرخي العضلي الأمثل لتسهيل تنبيب مريض ذي خطورة عالية للاستنشاق؟,البروميثازين,A,Incorrect
,ما هو الترياق المناسب للتسمم بالمورفين؟,النالكسون,A,Correct
,ما الذي يشير إليه بقاء عيني المريض مفتوحتين مع رأرأة خفيفة وحركات غير هادفة بعد إعطائه جرعة من الكيتامين؟,الاستيل كولين,E,Incorrect
