id,specialty,level,answer,question,original_options,generated_options,bertscore_f1,flagged
3682,Ophthalmology,Y5,B,في الحول الشللي عند البالغين يشكو المريض من:,"أ) حول متناوب
ب) رؤية مزدوجة (شفع)
ج) تدهور حدة الرؤية
د) كل ما سبق خطأ","أ) ازدواج الرؤية (Diplopia) يزداد عند النظر باتجاه العضلة المصابة  
ب) نقص حدة البصر بسبب كسل العين (Amblyopia) كعرض رئيسي  
ج) حكة واحمرار بالعين مع إفرازات مخاطية  
د) ألم شديد بالعين مع رهاب ضوء حاد كعرض أساسي",0.874,True
4832,Statistics,Y1,B,إذا علمت أن احتمال شفاء مريض مصاب بالزكام خلال أسبوع دون اللجوء للطبيب هو 0.6 فإذا كان لدينا10 مرضاً بالزكام ولم يرجع الطبيب فالمسألة مسألة توزيع:,"أ) برنولي
ب) حداني
ج) بواسوني
د) أسي","أ) توزيع ثنائي الحدين (Binomial)  
ب) توزيع بواسون (Poisson)  
ج) التوزيع الطبيعي (Normal)  
د) التوزيع الهندسي (Geometric)",0.8642,True
2281,Genetics,Y1,C,أم مصابة أنجبت ذكرًا مصابًا بالورم التليفي العصبي، تسأل عن اختطار المرض في الحمل التالي، علما أن زوجها سليم. الجواب هو:,"أ) 0
ب) 0.25
ج) 0.5
د) 1","أ) 50% في كل حمل بغضّ النظر عن جنس الجنين  
ب) 25% في كل حمل  
ج) 0% لأن الزوج سليم  
د) 100% لأن الأم مصابة",0.8381,False
54,Histology,Y2,C,تتشكل ضفيرة راشكوف في لب السن من :,"أ) ألياف ودية.
ب) ألياف نظيرة ودية
ج) ألياف حسية.
د) كل من a و .b","أ) ألياف عصبية حسية غير مُغمَّدة بالميالين (Aδ و C) تحت طبقة الأرومات السنية  
ب) شبكة من الشعيرات الدموية والأوردة الدقيقة في المنطقة تحت الأرومات السنية  
ج) ألياف كولاجينية كثيفة ضمن طبقة الخلايا الغنية (Cell-rich zone)  
د) خلايا مناعية (بالعات وخلايا بلازمية) متجمعة قرب العاج واللب",0.8563,True
1309,Biochemistry,Y1,A,يمكن ان تفاعل جزيئات الاتن مع بعضها تحت ظروف معنية لتشكل البولي اتن (متعدد اتن) ما التعبير الصحيح لوصف جزيئات الاتن في هذا التفاعل:,"أ) مونوميرات (موحودات)
ب) كربوكاتيون
ج) نكليوفيلات
د) جذور حرة","أ) مونومرات (وحدات بنائية) تخضع لبلمرة إضافة لتكوين سلاسل بولي إيثين  
ب) محفزات تزيد سرعة التفاعل دون أن تُستهلك  
ج) مذيبات تذيب المواد المتفاعلة ولا تدخل في تركيب البوليمر  
د) نواتج نهائية مستقرة لا يمكنها التفاعل لتكوين سلاسل أطول",0.882,True
3465,Ophthalmology,Y5,D,قد تخفي جرحا صلبيا,"أ) جروح الجسم البلوري
ب) جروح الصلبة
ج) جروح القرنية
د) جروح الملتحمة","أ) قشرة دموية سميكة  
ب) وذمة موضعية شديدة  
ج) ورم دموي تحت الجلد  
د) نسيج ندبي متليف",0.8871,True
2790,Physics,Y1,B,في المصورة البسيطة يجب أن تكون العدسة في حالة الأجسام البعيدة على :,"أ) بعد بؤري واحد من العدسة
ب) بعد بؤري واحد من الفلم
ج) A,B
د) كل ماسبق خاطئ","أ) وضع اللانهاية (∞)  
ب) وضع الماكرو (Macro)  
ج) وضع التركيز القريب (Near focus)  
د) وضع الزوم الأقصى (Maximum zoom)",0.8491,False
2279,Genetics,Y1,D,تعالج مريضات سرطان الثدي اللواتي تعبر خلايهن عن الـ HER–2 بـ :,"أ) التاموكسيفين
ب) البوسينودلول
ج) الهرسبتين
د) imantinib","أ) تراستوزوماب (Herceptin)  
ب) تاموكسيفين  
ج) ميثوتريكسات  
د) إيماتينيب",0.9,True
1275,Anesthesia,Y3,B,مريض سيخضع جراحي اسعافي ويعاني من قصور كلوي يفضل استعمال المرخي العضلي التالي:,"أ) A. بانكورانيوم
ب) B. أتراكوريوم
ج) C. بيبيكورونيوم
د) D. ميفاكوريوم","أ) سكسينيل كولين  
ب) روكورونيوم  
ج) أتراكوريوم  
د) بانكورونيوم",0.9317,True
1765,Cell Biology,Y1,D,يتحول G3P لاحقا إلى:,"أ) غلوكوز فوسفات
ب) أحماض دسمة
ج) أحماض أمينية
د) أحماض نووية","أ) جلوكوز (Glucose)  
ب) بيروفات (Pyruvate)  
ج) فركتوز-1،6-ثنائي الفوسفات (Fructose-1,6-bisphosphate)  
د) أسيتيل مرافق الإنزيم أ (Acetyl-CoA)",0.8553,True
2760,Physics,Y1,B,لحنى قضيب من الحديد يجب,"أ) تغير الذرات في مواقع معينة
ب) تغير ترتيب الذرات
ج) تكثيف الذرات في مواقع معينة
د) كل ما سبق صحيح","أ) تسخينه ثم ثنيه تدريجيًا باستخدام كماشة أو قالب مناسب  
ب) تبريده بالماء أولًا ثم محاولة ثنيه مباشرة بالقوة  
ج) دهنه بالزيت فقط ثم ثنيه دون تسخين  
د) طرقه بمطرقة وهو بارد دون تثبيت أو دعم",0.8679,True
839,Anatomy,Y1,C,المنطقة الفاصلة بين الطيتين الصوتيين:,"أ) الدهليز
ب) البطين
ج) مشق المزمار
د) الجوف تحت المزماري","أ) المزمار  
ب) لسان المزمار  
ج) الدهليز الحنجري  
د) الحبال الصوتية الكاذبة",0.9176,True
761,Anatomy,Y1,B,- يمكن إجراء الحقن العضلي في القسم العلوي من :,"أ) ذات الرأسين العضدية
ب) الدالية
ج) الغرابية العضدية
د) المدورة الصغيرة","أ) العضلة الألوية الكبرى (الربع العلوي الخارجي من الإلية)  
ب) العضلة الدالية في الذراع (الثلث العلوي من العضد)  
ج) العضلة ذات الرأسين العضدية (الجزء العلوي من الذراع)  
د) عضلة الساق التوأمية (الجزء العلوي من بطة الساق)",0.8789,True
3115,Gastroenterology,Y1,B,الشوارد التي يكون تركيزها أقل في اللعاب منه في البلازما:,"أ) صوديوم وبيكربونات.
ب) صوديوم وكلور.
ج) بيكربونات وكلور.
د) بوتاسيوم وكلور.","أ) الصوديوم والكلوريد  
ب) البوتاسيوم والبيكربونات  
ج) الكالسيوم والمغنيسيوم  
د) الفوسفات واليوريا",0.8906,True
794,Anatomy,Y1,يكون مزقه الأثر fastigium,تتميز المظاهر التشريحية قي الوصل الجسري البصلي ما عدا:,"أ) يتجد الشريانان الفقريان ليشكلا الشريان القاعدي
ب) تعبر السيل الهرمية من الساق الجسري الى الساق البصلي
ج) يستمر الغشل الانسي جنيب الناصف
د) يتوضع الردهان الوحشيان للبطين الرابع","أ) وجود النوى القحفية للأعصاب VI وVII وVIII  
ب) وجود التصالب الهرمي (Pyramidal decussation)  
ج) وجود السويقة المخيخية الوسطى (Middle cerebellar peduncle)  
د) وجود التكوين الشبكي (Reticular formation)",0.8421,False
2943,Physics,Y1,D,العلاقة التي تربط بين البعد البؤري وبعد الجسم وبعد الخيال في حالة العدسة الرقيقة هي :,"أ) 1/p1 - 1/q2= 1/f
ب) 1/p1 +n/q1= 1-n/R1
ج) n/p2+1/q2= n-1/R2
د) 1/p +1/q=1/f","أ) \( \frac{1}{f}=\frac{1}{u}+\frac{1}{v} \)  
ب) \( f=u+v \)  
ج) \( \frac{1}{f}=\frac{1}{u}-\frac{1}{v} \)  
د) \( f=\frac{uv}{u+v} \)",0.8341,False
2820,Physics,Y1,D,أيا من العبارات الاتية خاطئة:,"أ) تتفق الحركة الانسحابية الدورانية التي يستخدم فيها عدة كواشف مع المبدأ الثاني.
ب) تنتمي أجهزة الحركة الدورانية البحتة إلى المبدأ الثالث.
ج) المبدأ الرابع يتعلق بدوران الصمام الموك للأشعة فقط حول المنطقة المدروسة
د) تتوزع الكواشف وفق قوس دائرية تقع زاويتها بين و في ماسح المبدأ الرابع.","أ) العبارة الأولى  
ب) العبارة الثانية  
ج) العبارة الثالثة  
د) العبارة الرابعة",0.8447,False
4950,Surgery,Y3,C,4. أثناء إجراء ايكو بطن لسيدة حامل تبلغ من العمر 30 سنة تبين وجود كتلة متكلسة في الشرسوف يبلغ قطرها 1 سم وقد سمع لغط في منطقة الشرسوف ولم يكن لديها أي أع أعراض. ما هو التشخيص المحتمل؟,"أ) 1. تمزق طحال.
ب) 2. احتشاء طحال.
ج) 3. أم دم شريان طحالي.
د) 4. فرفريه نقص الصفيحات البدنية.","أ) تمدد كاذب/حقيقي في الشريان الطحالي متكلس (Splenic artery aneurysm)  
ب) حصاة مرارية متكلسة (Cholelithiasis)  
ج) ورم ليفي رحمي متكلس (Calcified uterine fibroid)  
د) تكلس عقدة لمفية/حبيبة قديمة في الشرسوف (Calcified lymph node/granuloma)",0.847,False
2169,Genetics,Y1,C,يعتمد تفاعل السلسلة على استخدام منهيات التفاعل المؤلفة من:,"أ) ريبوز منقوص الأوكسجين يحتوي على زمرة هيدروكسيل في الموقع 3’
ب) ريبوز يحتوي زمرة هيدروكسيل في الموقعين 2’ و 3’
ج) ريبوز منقوص الأوكسجين لا يحتوي على زمرة هيدروكسيل في الموقع 3’
د) ريبوز لا يحتوي زمرة هيدروكسيل في الموقعين 3’ و 2’","أ) نيوكليوتيدات قصيرة أحادية السلسلة (Primers)  
ب) إنزيم بوليميراز DNA مقاوم للحرارة (مثل Taq polymerase)  
ج) نيوكليوتيدات ثلاثية الفوسفات (dNTPs)  
د) محلول منظم يحوي MgCl₂ وأملاح مناسبة للتفاعل",0.8308,False
357,Anatomy,Y1,B,115من عضلات الزنار الكتفي المرتبطة بالعضد,"أ) الصدرية الكبيرة
ب) تحت الترقوة
ج) فوق الشوكية
د) الدالية","أ) العضلة الدالية  
ب) العضلة فوق الشوكة  
ج) العضلة تحت الشوكة  
د) العضلة المدورة الكبرى",0.9115,True
3766,Pharmacology,Y3,D,يمكن للحديد أن يدخل في تركيب:,"أ) السيتوكروم أكسيداز.
ب) مونو امینواکسیداز.
ج) الكاتالاز.
د) كل ما سبق صحيح.","أ) الهيموغلوبين والميوغلوبين  
ب) الكولاجين في النسيج الضام  
ج) هرمونات الغدة الدرقية (T3 وT4)  
د) فيتامين B12 (الكوبالامين)",0.8477,False
4395,Physiology,Y1,B,في حال تناول كميات كبيرة من الماء يزداد:,"أ) الضغط الحلولي للبول
ب) ADH
ج) الضغط الحلولي للمصورة
د) حجم البول","أ) حجم البول (إدرار البول)  
ب) تركيز البول (يزداد تركيزه)  
ج) إفراز الهرمون المضاد لإدرار البول ADH  
د) أسمولالية البلازما (تركيز الأملاح في الدم)",0.9018,True
1024,Anatomy,Y1,B,- كل مما يلي ليست من النقاط التشريحية للوجه الداخلي للفك السفلي ما عدا:,"أ) الخط المائل
ب) الحدبة النابية
ج) الخط الضرسي اللامي
د) الناشزة الذقنية","أ) الخط المائل الخارجي  
ب) الخط اللامي (Mylohyoid line)  
ج) الثقبة الذقنية  
د) الحفرة تحت الذقنية (Submental fossa)",0.8975,True
3103,Gastroenterology,Y1,B,من العوامل التي تسبب زيادة امتصاص الحديد في المعي الدقيق:,"أ) ارتفاع قيمة PH الوسط المعوي.
ب) انخفاض قيمة PH الوسط المعوي.
ج) نقص الإرتروبيوتين.
د) وجود حمض الفيتي.","أ) نقص مخازن الحديد في الجسم (مثل فقر الدم بعوز الحديد)  
ب) زيادة حموضة المعدة وتناول فيتامين C  
ج) التهاب الأمعاء المزمن وسوء الامتصاص  
د) تناول مثبطات مضخة البروتون وتقليل حموضة المعدة",0.8633,True
647,Anatomy,Y1,C,أصغر الفروع الأمامية للابهر البطني:,"أ) الجذع البطني
ب) المساريقي العلوي
ج) المساريقي السفلي
د) الشريان الكظري","أ) الشريان المساريقي العلوي  
ب) الشريان المساريقي السفلي  
ج) الجذع الزلاقي (الشريان البطني)  
د) الشرايين الكظرية الوسطى",0.9479,True
4525,Statistics,Y1,D,أحد الأمثلة عن المصادر الخارجية :,"أ) سجلات المرضى في المشفى
ب) مسم التسويق في شركة الادوية
ج) مكتب الاستقبال في قسم الإسعاف
د) توجيه الأسئلة أو بالمشاهدة","أ) الكتب والمراجع العلمية  
ب) قواعد البيانات والمواقع الإلكترونية  
ج) الخبرات الشخصية والملاحظات الذاتية  
د) المجلات والدوريات العلمية",0.8773,True
2404,Physics,Y1,B,وفقا للعلاقة E=EA فإن طاقة ارتباط النواة الكلية تتناسب مع:,"أ) كتلة تكويناتها.
ب) عدد تكويناتها.
ج) حجم تكويناتها.
د) . A,C","أ) عدد الكتلة \(A\)  
ب) عدد البروتونات \(Z\)  
ج) عدد النيوترونات \(N\)  
د) مربع عدد الكتلة \(A^2\)",0.8709,True
2965,Chemistry,Y1,D,ان الزمرة الوظيفية للالكنات,"أ) COOH-
ب) CH3-
ج) C-C
د) C=C","أ) رابطة ثلاثية كربون–كربون (C≡C)  
ب) رابطة مزدوجة كربون–كربون (C=C)  
ج) رابطة أحادية كربون–كربون (C–C)  
د) مجموعة الهيدروكسيل (–OH)",0.8573,True
4734,Statistics,Y1,D,من الخطوات الرئيسية عند تصميم العينات:,"أ) تحديد هدف الدراسة
ب) تحديد المجتمع محل الدراسة
ج) تحديد الإطار
د) كل ما ذكر صحيح","أ) تحديد مجتمع الدراسة وإطار العينة  
ب) اختيار طريقة المعاينة المناسبة (عشوائية/طبقية/عنقودية)  
ج) تحديد حجم العينة بناءً على الدقة المطلوبة والقوة الإحصائية  
د) وضع خطة لجمع البيانات وتقليل التحيز ومعالجة عدم الاستجابة",0.8791,True
1577,Biochemistry,Y2,C,تحدث الوفاة لدى مرضى التلاسيميا بسبب:,"أ) انحلال الدم
ب) تراكم الخضاب الجنيني
ج) تراكم الحديد
د) النوب الألمية الشديدة جدا والمتكررة","أ) فشل قلبي نتيجة ترسّب الحديد (داء ترسّب الأصبغة الدموية)  
ب) أزمة لا تنسّجية حادة بسبب عدوى بارفو فيروس B19  
ج) نزف شديد بسبب نقص الصفائح الدموية  
د) فشل كلوي حاد نتيجة انحلال دم شديد",0.8847,True
571,Anatomy,Y1,A,يتوضع الثلم المهمازي على الوجه:,"أ) الانسي
ب) الوحشي
ج) السفلي
د) لا شيء مما سبق","أ) الأنسي للفص الجبهي  
ب) الوحشي للفص الصدغي  
ج) السفلي للفص القذالي  
د) الخلفي للفص الجداري",0.9152,True
377,Anatomy,Y1,B,عضلات لها منشأ عظمي وترتكز على باطن جلد الوجه:,"أ) العضلات الماضغة
ب) عضلات الوجه التعبيرية
ج) عضلات العنق
د) لا شئ مما سبق","أ) العضلات الجلدية للوجه (عضلات التعبير الوجهي)  
ب) العضلات الماضغة (عضلات المضغ)  
ج) العضلات المحركة للعين (خارج المقلة)  
د) عضلات اللسان (الداخلية والخارجية)",0.907,True
1869,Genetics,Y1,C,تقوم القلنسوة بحماية سلسلة الرنا من التدرك بإنزيمات :,"أ) النكلياز
ب) الإندونكلياز
ج) الليغاز
د) البريماز","أ) الإكسونوكليازات (Exonucleases)  
ب) الإندونوكليازات (Endonucleases)  
ج) إنزيمات الربط (Ligases)  
د) إنزيمات النسخ (RNA polymerase)",0.8809,True
2373,Physics,Y1,C,تتناسب قرينة الانكسار وسط مادي معين ..........مع .........الأمواج في ذلك الوسط,"أ) طرديا - مربع السرعة
ب) عكسيا - مربع السرعة
ج) عكسيا - سرعة
د) طرديا - سرعة","أ) طرديًا مع سرعة الأمواج في ذلك الوسط  
ب) عكسيًا مع سرعة الأمواج في ذلك الوسط  
ج) طرديًا مع تردد الأمواج في ذلك الوسط  
د) عكسيًا مع طول الموجة في ذلك الوسط",0.8975,True
655,Anatomy,Y1,B,الألياف التي تربط التلافيف والفصوص في نصف كرة مخية واحد:,"أ) إسقاطية
ب) ترابطية
ج) صوارية
د) التقائية","أ) الألياف الترابطية (Association fibers)  
ب) الألياف الرابطة بين نصفي الكرة (Commissural fibers)  
ج) الألياف الإسقاطية (Projection fibers)  
د) الألياف القوسية (Arcuate fibers)",0.8728,True
