id,input,prediction,ground_truth
,ما هي الطبقة المبطنة للتامور الليفي؟,A,B
,ما هو معنى التوسع في نهاية الأسهر؟,A,A
,كم عدد فقرات الجزء الصدري من العمود الفقري؟,A,B
,من أين ينتج هرمون الأستروجين؟,A,B
,ما هي الفروع الانتهائية للسباني الخارجي؟,A,C
,ما هو مصدر التعصيب الحركي لعضلات الظهر العميقة؟,Dorsal rami,B
,ما هو الجيب الوريدي الذي يصب في الوريد الوداجي الباطن؟,A,C
,أين يتوضع العظم الكتفي؟,A,A
,ما هي المنطقة الأعمق في الغدة الكظرية؟,A: 3A,A
,ما الذي يقع بين النواة العدسية من جهة والنواة والمهاد من الجهة الأخرى؟,A,C
,ما الذي ينفتح على القرين الأنفي العلوي؟,A,A
,أين يمكن إجراء الحقن العضلي في القسم العلوي؟,A,B
,أين تتوضع الاحدوبة الدالية في العضد؟,A,B
,ما هو أكبر الجيوب جانب الأنف؟,B1,A
,ما هو العصب المحرك لعضلات اللسان؟,D5,C
,ما الذي يتوضع تحت الخط الضرسي اللامي؟,A,C
,ما هي الطبقة المحيطة بالقلب والمرتبطة به؟,A,C
,ما هو الشريان الذي ينشأ منه الشريان الزاوي؟,A,A
,ما هو تشكل الوريد المأبضي؟,A,A
,ما هي المنطقة الأعمق في قشر الكظر؟,A,C
,أين يقع التلم الوحشي؟,A,A
,أين يصب الوريد الكلوي؟,A: into the inferior vena cava,C
,أين ترتكز العضلة المدورة الصغيرة؟,A,e
,ما هو الجزء من البلعوم الذي يتبعه الردب الكمثري؟,A,C
,كم عدد الأعصاب القحفية؟,A,B
,أين تتوضع نواة العصب العاشر؟,A,B
,ما هو العنصر الذي يجاور الرغامي من الخلف؟,A,C
,ما هو العصب القحفي الذي يجتاز النفق الصدري؟,D,B
,ما هو العظم الأضخم في هيكل القدم؟,A,B
,أين يوجد النفير البلعومي السمعي؟,A,C
,ما الذي يحد فتحة وينسلو من الأسفل؟,A,B
,ما يُسمى الوجه الأمامي للوح الكتف؟,A,C
,ما هو الشريان الذي يروي القولون الصاعد؟,A2A,C
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,A,C
,ما يُدعى القسم العلوي المتسع من الحالب؟,A,C
,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟,A,C
,ما هي الطبقة من الكظر التي تتألف من حبال مقوسة من خلايا عمودية متقاربة؟,A,A
,ما هي الخلايا التي تتوضع في اللحمة بين النبيبات؟,B,B
,ما هو السطح الخلفي للفخذ تحت المدور الكبير؟,A,B
,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,A,B
,ما هو الشريان الذي يروي معظم الوجه الوحشي للمخ؟,A5,B
,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟,A,C
,ما هو العصب القحفي الذي يعبر الثقبة البيضية؟,A,C
,ما هو الهرمون الذي يسبب دفقه الشديد حدوث عملية الإباضة؟,A,A
,ما هو الهرمون الذي يستهدف الدرق ويحفز إفراز الهرمون الدرقي؟,A: TSH,C
,ما هي أكبر عقدة مفردة من النسيج اللمفاوي؟,"A: دren

A",B
,ما هي العضلة الرئيسية المسؤولة عن قبض المرفق؟,A,A
,ما هي التراكيب التي توجد على حافتي اللسان وتحوي براعم ذوقية كثيرة؟,A,C
,ما هي الشعيرات الدموية التي تغلفها محفظة بومان؟,A,B
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,A,B
,ما الذي تغلفه العضلة البصلية الإسفنجية؟,Bunches of dipping fibers,C
,من أين يخرج العصب الشوكي؟,D4,A
,ما هي الألياف التي تعصب العضلة مصرة الحدقة؟,D3,B
,ما هو البطين الذي يحويه الدماغ البيني داخله؟,C) Third Ventricle,C
,ما الذي يشغل الجزء العلوي من قبة القحف؟,A,A
,ما هو العصب الذي يعصب الغدة النكفية؟,"D5

D5",C
,من أين يخرج العصب تحت اللساني؟,A,A
,ما هي الخلايا البالعة الكبدية؟,CupD KuepD,C
,أين يصب الوريد الصافن الكبير (الأنسي)؟,A,A
,ما هو الشريان الذي يستمر به الريان تحت الترقوة؟,A,A
,ما تُدعى الردب بين عنق الرحم والمهبل؟,A,C
,في أي مستوى من الفقرات الصدرية يتم التمفصل بين قبضة وجسم القص؟,B,C
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,A,C
,ما هي العضلة التي تنشأ من الشوكة الحرقفية الأمامية العلوية وترتكز انسي الظنبوب؟,A,C
,ما هي الطبقة البطانية الرحمية التي تتعرض إلى تغيرات ملحوظة أثناء الدورة الشهرية؟,A,A
,ما هو موقع مستقبلات الضغط المسؤولة عن المنعكس القلبي التثبيطي؟,Aortic arch and carotid sinuses,B
,ما هو أكبر أعضاء الجسم وزناً ومساحة؟,A,B
,ما هي البنية الأكثر علواً في جذر الرئة اليسرى؟,A,A
,ما هو المكان الذي يعبر من خلاله الشريان السحاني الأوسط؟,A,C
,ما هو الجوف الهوائي الذي يحوي عظيمات السمع؟,A,C
,ما هي وظيفة النهايات العصبية الحرة الواردة ضمن ألياف العضلة القلبية؟,A,C
,ما هي الخلايا التي تخزن فيتامين A في الكبد؟,C3A3E6,B
,من أين يحمل الشريان الرئوي الدم غير المؤكسج؟,A: right ventricle,C
,ما هو العصب القحفي الثاني؟,D,A
,ما هو العظم الذي تنتمي إليه الثلمة الاسكية الصغيرة؟,A,B
,ما هو الغضروف المرتبط مع الحلقة الرغامية الأولى؟,A,A
,ما هو المفصل الذي يتألف من سطحين كل منهما محدب في اتجاه ومقعر في اتجاه آخر؟,Biconcave,A
,ما هو أكبر أعصاب الجسم؟,A,D
,كم عدد العضلات بين العظمية الأخمصية؟,A,A
,أين ينتهي الأبهر النازل؟,A,C
,ما هي المراكز المسؤولة عن تنسيق الفعالية الحركية وضمان الثباتية؟,A. Cerebellar Ataxia,A
,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,A,B
,أين ينفتح الجيب الفكي؟,A,C
,ما هو أكبر أقسام المعثكلة؟,A,A
,ما هي الحدود التشريحية للحجرة الخلفية للعين؟,BONE:,A
,أين ترتكز العضلة الشظوية القصيرة؟,A,A
,ما هي المنطقة في الحنجرة التي تشمل الطيتين الصوتيتين والمسافة بينهما؟,A,A
,أين تقع الوهدة في البلعوم؟,A,B
,ما هي الغدة التي تتوضع تحت الطية اللسانية؟,A,C
,ما هو العصب الذي ينتقل عبره الحس غير العام (حس الذوق) من الثلث الأمامي للسان؟,A,A
,ماذا يروي المساريقي العلوي؟,A,A
,ما هي المنطقة الأعمق من قشر الكظر؟,A,C
,ما هي الفقرة التي تحتوي على ثقبة فقرية كبيرة ومثلثية الشكل؟,A,A
,ما هو لون قشر الكظر؟,C: yellow,C
,ما هو النسيج الضام الليفي الذي يرتكز حول السطوح المفصلية؟,A,A
,كم عدد شدف النخاع الشوكي؟,A,A
,ما هو التصريف اللمفاوي للثلث الخلفي للسان؟,A,E
,ما هي الغدة التي تقوم بإفراز الميلاتونين؟,A,C
,ما هو الشريان الذي له انطباعات على الوجه الداخلي للعظم الصدغي وهو فرع من أي شريان؟,A,A
,ما هو التصنيف الذي يمكننا من معرفة العضلات التي تشارك في كل مرحلة مفصلية وتطبيق ذلك أثناء الفحص؟,BASD,A
,ما هي الشرايين التي تسير بين الفصوص بإتجاه القشرة على كل جانب من جانبي الهرم الكلوي؟,A,B
,ما هو الدواء الأمثل لبدء التخدير لمريض مصاب بنزف حاد؟,A,E
,ما هو المخدر الذي يتميز بالمباشرة والصحو السريعين؟,BKDCA,E
,ما هو الدواء الأمثل لبدء التخدير لمريض مصاب بنزف رضي حاد؟,A,C
,ما هو المرخي العضلي الأمثل لتسهيل تنبيب مريض ذي خطورة عالية للاستنشاق؟,A,A
,ما هو الترياق المناسب للتسمم بالمورفين؟,"Dextrose, Naloxone",A
,ما الذي يشير إليه بقاء عيني المريض مفتوحتين مع رأرأة خفيفة وحركات غير هادفة بعد إعطائه جرعة من الكيتامين؟,B5A,E
,ما هو الدواء المنتخب للإرخاء العضلي والتنبيب لمريض يعاني من قصور كلوي ويحتاج لعملية إسعافية؟,A1B1C1D1E1B,C
,ما هو المرخي العضلي المفضل استعماله لمريض سيخضع لجراحة إسعافية ويعاني من قصور كلوي؟,A. CISD,B
,ماذا يفكك الببسين؟,B612,B
,ما التعبير الصحيح لوصف جزيئات الإيثين في تفاعل تشكيل البولي إيثين؟,B0B,A
,ماذا يسبب عوز إنزيم البيروفات كيناز؟,"B

D",A
,ماذا ندعو آلية تفاعل الكلور مع البروبان في ضوء الشمس لإنتاج 1-كلورو بروبان؟,C3H7Cl,B
,ما هي الاسطوانات المنحنية التي تكون سهلة التمييز لمحتواها الكاسر للضوء؟,Birefringent,B
,ما هي الحموض الأمينية المشحونة سلبياً؟,A,B
,ما هي أعراض عوز فيتامين البيوتين؟,C3 Deficiency,D
,ما هي مفرزات الصفراء؟,C3,C
,ما هي خصائص الشجرة الوراثية لخلة متنحية جسدية فيها الأبوين مصابين؟,C,B
,ما هي النواتج المتشكلة عند تفاعل معدن الصوديوم مع الإيثانول؟,A: sodium ethoxide,A
,ما هي خصائص أنزيم RNA Polymerase؟,A,A
,ما هو النكليوتيد في جزيء DNA؟,C,A
,ما هو فيتامين البيوتين؟,B7,B
,ما هي حالة عدم تحمل اللاكتوز؟,"B

B",B
,ما هو اسم الاستر المتشكل عندما يتفاعل الميتانول مع حمض البوتانوئيك بوجود بضع قطرات من حمض الكبريت المركز؟,A,B
,ما هو سبب الوفاة لدى مرض التلاسيميا؟,Dysfunction of multiple organs,C
,ما هي الصبغيات التي يوجد فيها الكروماتين المغاير؟,B,A
,ما المركب الذي ينقص منه نتيجة التأخر في فصل البلازما أو المصل من الكريات في الدم؟,C3,D
,ما هو المركب الذي يستخدم كزمرة ملحقة لجميع الإنزيمات الناقلة الزمرة الأمين؟,A6,C
,ما هو العلاج الثاني لمرض الثلاسيميا بيتا؟,"Disease

Disease",D
,ما هو الاضطراب الذي يتميز بفرط شديد في بيليروبين المصل غير المرتبط وعوز جزئي في UDPGT؟,Dubin-Johnson syndrome,C
,ما هو سبب الوفاة لدى مرضى التلاسيميا؟,Dysfunction of multiple organs,C
,ماذا يسبب عوز الثيامين الشديد؟,CD3,D
,كم يبلغ عدد الجينات التي تشفر لجزيئات الرنا الأصغري miRNAs في مجين الإنسان؟,A,C
,أين يتم اصطناع الدقائق الكيلوسية؟,C6D9D2B6D,D
,ما هو الإنزيم الذي يتم بوساطته ربط شدف أوكازاكي؟,DnaB,B
,ما هو أكثر الأنزيمات فعالية تحفيزية في جسم الإنسان؟,Catalase,B
,ما هو الشكل الفعال لفيتامين B6؟,"B6alplmide

B6alplmide",C
,ما هو الموقع الطبيعي للجين الورمي ABL؟,A,B
,كم عدد طبقات الفوسفولبيد في المذيلة؟,A,C
,ما هو التركيب الذي يدخل فيه الكولاجين 4؟,C4D,B
,ما الذي تؤدي إليه استلة الهيستونات؟,A,A
,ما هي الخصائص التي تتميز بها شجرة النسب الحاوية على حالة وراثة متعلقة بالمتقدرات والأم فقط فيها مصابة؟,D4D,C
,ما هو الحمض الأميني الذي تتم أستلة الهستونات له؟,A,C
,ما هي المكونات التي تتألف منها الفوسفولبيدات بالإضافة إلى حمضين دسمين والفوسفات؟,"C3D

C1D

C2D",D
,ما هي الوظيفة الوحيدة لسيغما في إنزيم بوليمراز RNA البكتيري؟,C,D
,ما هي الأجزاء التي تتبادل بينها الإشارات الجزيئية التي يعتمد عليها ضبط النظام الخلوي الجذعي؟,B,C
,ما تدعى البروتينات المشكلة لمعقدات الثقوب النووية؟,C,D
,كيف تتم إزالة المتقدرات الحاوية على طفرات بالية؟,DQA1,B
,ما هو عامل الإطلاق في حقيقيات النوى؟,A,C
,ما هي الروابط التي تربط سلسلتي عديدي النكليوتيد مع بعضهما البعض؟,C3,C
,ما هي خصائص الشجرة الوراثية لخلة متنحية فيها الأبوين مصابين؟,C,D
,ما هو أكبر مستوى من المستويات التراتبية للحياة؟,A,B
,ما هو الحمض الأميني الذي تبدأ به جميع عديدات الببتيد في بدائيات النوى؟,A,B
,ما الذي يدل عليه تقدير نسبة تنوع النمط الظاهري لخلة ما بسبب الاختلافات الجينية؟,C,A
,ما هي الآلية التي تضمن للخلية الجذعية استمرارها إلى ما لا نهاية؟,"B
A",C
,ما هو الحمض الأميني الذي نتج عن ترجمة أول جزيء رنا مرسال صنعي؟,A,C
,ما هي الإنزيمات التي تقوم القلنسوة بحماية سلسلة الرنا من التدرك بها؟,A,C
,ما هو مقدار المادة الوراثية التي يتشاركها أقرباء من الدرجة الثانية مع المستلفت؟,A,D
,أين يلتحم الغشاءان النوويان؟,B,B
,ما هي النتائج المتوقعة في حال إصابة أب بصفة تخضع لوراثة متنحية مرتبطة بالصبغي X؟,B,D
,ما هي النظرية التي تفسر ظهور المتقدرات والصانعات بإدخال جراثيم داخل الخلايا تقوم بالفسفرة والتركيب الضوئي؟,D,A
,ماذا يسبب وجود الألائل السائد في الأنماط الجينية المختلفة التالية RRYY و RrYy و RRYy و RrYY؟,A,A
,ما هو المكان الذي توجد فيه أكبر نسبة للبروتينات في أغشية خلايا الجسم؟,D,B
,ما هو المسؤول عن إزالة مشراع الرنا قرب انتهاء تنسخ الدنا واستبدالها بنكليوتيدات الدنا؟,A,A
,ما الذي ترتبط به الصبيغيات الشقيقة على أنيبيبات مغزل الانقسام؟,C,C
,ما المميز بشجرة النسب الحاوية على حالة وراثة متعلقة بالمتقدرات والتي تكون فيها الأم فقط مصابة؟,Disease Dispersion,C
,ما هو الاختلاف بين الانترونات والاكسونات؟,A,D
,ما الذي تمثله الخطوط الأفقية التي ترسم أعلى الدوائر والمربعات في شجرة النسب؟,C,C
,علام تحتوي الخلايا التي يعبر عنها مصطلح الهيولي المتغايرة؟,C,A
,ما هي الطرق التي يمكن من خلالها تمييز الصبغيات بعضها عن بعض؟,C-banding,C
,ما هو التعبير الذي يُستخدم للطاقة الكامنة المختزنة في مدروج للشحنات الكهربائية؟,C,A
,ما الذي تتشكل منه الأرجل الصفائحية؟,A,A
