id,input,prediction,ground_truth
,أين تقع فوهة مصب الجيب الأكليلي؟,الجهاز الهضمي,C
,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,الزج,B
,أي عصب هو المحرك لعضلات اللسان؟,الهيوجلوس,C
,ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,المنقطة,C
,ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟,هرمونات,B
,ما هي الزاوية بين قبضة وجسم القص؟,الزاوية القفصية,A
,من أين يخرج العصب الفكي العلوي من الجمجمة؟,الفتحة الشمية,C
,ما الذي يحدد المنصف العلوي جانبياً؟,العضلة السтернаكليدوماستoid,A
,ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟,الأنف والفتحة,B
,أين ترتكز العضلة العريضة الظهرية؟,العمود الفقري,A
,ما هو القولون الذي يمتد بشكل أفقي؟,القولون المستعرض,C
,كم عدد القطع العصعصية في النخاع الشوكي؟,31,D
,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,العضة,B
,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,مستقبلات,B
,ما اسم الكرة الصغيرة فوق قمة الغضروف؟,الغضروف,B
,أين لا توجد الغدد الزهمية؟,اللس,A
,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟,العصب الوجهي,A
,ما هي الزاوية الخلفية السفلية في العظم الجداري؟,الزاوية البصرية,A
,ما هو الاسم الآخر لفرع الفك السفلي؟,الفرع,C
,ماذا يفعل الرباط المتصالب الأمامي؟,تثبيت المفصل,C
,ما هي الثقبة التي يعبر من خلالها العصب الوجهي؟,الفتحة stylomastoid,A
,ماذا تفرز خلايا بيتا في البنكرياس؟,إنسولين,B
,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟,الصفاق,A
,ما هو القسم من الضلع الواقع بين الرأس والحديبة؟,الرقبة,C
,مع أي عظم يتمفصل الظنبوب في الأسفل؟,الطرس,C
,أي من العضلات العميقة التالية للمثلث الخلفي للعنق ترتبط بحدبة الأطلس الخلفية؟,العضل,A
,ما هو التركيب الذي يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق؟,البلعوم,C
,ما هي البنية التي تغطي السطوح الأمامي والإنسي والوحشي للخصية؟,الجلد,C
,أين يقع موقع الغدة الدرقية؟,الرقبة,A
,أين تتوضع مستقبلات الشم؟,الأنف,C
,ما هي طبيعة هرمونات الغدة النخامية؟,بروتين,B
,ما هو مفصل المرفق؟,مفصل الزند,A
,ما هو المكان الذي تنشأ منه العضلة المدورة الكبيرة بشكل أساسي؟,العمود,A
,أين يتوضع الأبهر النازل البطني؟,خلف البريت,A
,ما الذي يجاور السطح العلوي لمثانة الرجل؟,الثاني,A
,ما هي عضلة الشهيق الرئيسية؟,العضلة الحجاب,A
,ما هو ترتيب دخول التراكيب إلى سرة الكلية من الخلف للأمام؟,"الوريد، الشريان، الأوعية، الأوعية, الوريد, nerve, ureter",C
,أين تشاهد التلمة الكعبرية للزند؟,الظهر,C
,أين تتوضع الثقبة العوراء في اللسان؟,خلف الكلم,A
,ما هو أطول أجزاء الأنبوب الهضمي؟,الامعاء,A
,ما هو ترتيب العضلات من الأعلى للأسفل على الناحية الخلفية للألية؟,"العضلات
العضلات
العضلات
العضلات",A
,ما هي الطبقة المبطنة للتامور الليفي؟,الطبقة البطانية,B
,ما هو أطول أجزاء أنبوب الهضم؟,الامعاء,B
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,إنسولين,B
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,"الرباط الكرب
الرباط الكرب
الرباط الكرب",C
,ما هو لون لب الكظر؟,أحمر,A
,ما الذي يشكل معظم الكتلة العضلية للسان؟,العضلات,A
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,فطية,A
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,العضلات الطويلة,B
,ما هو أضيق قسم في جذع الدماغ؟,البرج,C
,أين يقع التلفيف خلف المركزي؟,المنطقة القشرية,B
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,المنطقة الحسية,A
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,فطية,A
,ما هي المجموعة العضلية التي تنتمي إليها العضلة الحرقفية؟,العضلات الحرقية,A
,ما هو القسم المسؤول عن تنظيم الفعالية الحياتية الذاتية؟,الدماغ stem,A
,ما هي المادة شبيهة بالهلام التي تشغل أربعة أخماس المقلة؟,الزجاج,B
,أين تقع أجسام العصبونات التي تفرز الهرمون المضاد للإدرار ADH؟,المنطقة فوق البصرية,B
,ما هي العضلات التي لها منشأ عظمي وترتكز على باطن جلد الوجه؟,العضلات المقلعة,B
,ما هو مصدر التروية الرئيسية للمعدة؟,الشرايين المعدية,B
,ما هي أطول أجزاء أنبوب الهضم؟,الامعاء,B
,من أين ينشأ الجذع الرئوي؟,الشرايين القلبية,A
,ما هو اسم المنعكس الذي يحدث عند رفع الخصية والصفن للأعلى؟,المنعكس الإحليل,B
,ما هو العظم الذي يحتوي على تلم في وجهه السفلي لمرور وتر الشظية الطويلة؟,الظنب,A
,ما هي المنطقة المتوسطة من نواحي البطن؟,المنطقة الأمبية,C
,ما الذي يصل بين الأذينة اليسرى والبطين الأيسر؟,الثقب البيني,B
,ما الذي يعطي الرباط الحرقفي القطني منشأ له؟,العمود الفقري,A
,ماذا يحفز ACTH إفرازه؟,CRH,B
,ما هو أكثر أقسام الإحليل قابلية للتمدد وأعرضها؟,البروح,A
,مما يتكون الزنار الحوضي؟,الزنار الحوضي,A
,أين تقع الباحة الحركية الأولية؟,المنطقة الأمامية,B
,ما هي العضلة المسؤولة عن قبض الفخذ وقبض الساق؟,العضلة الرباعية,A
,أين تتوضع الغدة تحت الطية اللسانية؟,تحت اللسان,C
,أين يتوضع السرج التركي؟,الجمجمة,B
,ما هو القسم مع الضلع الواقع بين الرأس والحدبية؟,الرق,C
,كم عدد شدف النخاع الشوكي؟,3,A
,ما هي العضلة الموسعة المسؤولة عن فتح الحنجرة؟,العضلة الحنجية,B
,ما يُدعى القسم العلوي المتسع من الحالب؟,الخزان,A
,أين توجد نقطة التعظم البدئية في لوح الكتف؟,العلوية,B
,ما هو الشريان الذي يستمر به الشريان تحت الترقوة؟,الشرين الإبطي,A
,ما هو الشريان الذي يمكن الشعور بنبضه عند الحافة السفلية للفك السفلي أمام العضلة الماضغة؟,الوجهي,B
,ما هو الشريان الذي يعتبر الشريان المخي الخلفي فرعاً منه؟,الشرين القاعدية,A
,ما هو أكبر أعضاء الجسم وزناً ومساحة؟,الجلد,B
,ما الذي يشكله نصفا الكرة المخية مع الدماغ البيني؟,الدماغ,A
,ما هو اسم الحافة اليسرى للمعدة التي تمتد من الفؤاد إلى البواب؟,المنع,C
,ما هو مصدر نشأة الشريان الشوكي الأمامي؟,الشرين القذالية,A
,أين يقع الثرب الصغير؟,الظهر,A
,أين تقع صفيحة الأكيمات؟,اللس,A
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,المنطقة الحسية,A
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,الجهاز الحسي,A
,ما نوع المفصل الحلقي الطرجهالي؟,مفصل السد,B
,ما هو رقم العصب الحركي للعضلات الماضغة؟,الخامس,B
,كم عدد فصيصات الخصية؟,250,A
,أين ترتكز العضلة الأخمعية الخلفية بوتر رقيق؟,العمود,A
,أين يتوضع الثلم المهمازي؟,الظهر,A
,ما هي المنطقة التي يقع بينها القسيم العضلي (sarcomere)؟,الزول,D
,ما الذي تنتجه الخلايا المجاورة للجريبات في الدرق؟,البارافول,C
,ما الذي تتحول إليه الوحيدات Monocytes بعد مغادرتها الدوران؟,خلايا البلعم,A
,ما هو الشريان الذي ينتهي به الشريان الوجهي؟,الوجه,C
,أين يتوضع الثلم المهمازي؟,الظهر,A
,ما هو العصب القحفي الذي يحمل التعصيب نظير الودي للقلب؟,العصب المبهم,C
,ما هي العضلة التي يمر العصب تحت اللساني في الناحية تحت الفك عميقاً منها؟,العضلة الهيويد,E
,تحت أي قسم من أقسام التشريح يندرج التنبيب الرغامي؟,الأنف,C
,ما هي العظام التي يتشكل منها مفصل الركبة؟,الركبة,A
,ما هي الحركة الخاصة بالساعد؟,الانحناء,A
,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,الثلم الكبدي,B
,ماذا تشكل الصفيحتان السفليتان للشفرين الصغيرين عند اتحادهما؟,الفتحة المهبارية,A
,ما هي الانطباعات التي توجد على العظم الجداري؟,الانطباعات,B
,ما هو العصب الحركي للعضلات الماضغة؟,الثالث,B
,أين يقع الشق الحجاجي السفلي؟,الوجه,A
,ما هو العضو المتخصص بتشكيل الصوت والتدخل بالدور في الكلام؟,الحنجار,B
,ما هي حركة الركبة للخلف بمستوى سهمي؟,الانثناء,A
,ما هو العصب القحفي المتواسط بإفراز الغدد الدمعية واللعابية؟,الوجه,A
,أين تتوضع الصفيحة الأفقية للعظم الغربالي؟,الصف السفلي,C
,ما هو لون لب الكظر؟,أحمر,A
,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,الوجه الداخلي,B
,ما هو لون لب الكظر؟,أحمر,A
,ما هي اللفافة التي تحيط بجسم القضيب؟,اللفافة البولي,A
,ما هي العضلة التي تعد من العضلات الوحشية للساق وقد تعد من العضلات الأمامية للساق؟,العضلة Tibialis anterior,C
,ما هو أول ما يتأثر من الخلايا الكبدية في حالة الإصابة بنقص الأكسجة؟,الخلايا الكبدية,B
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,العضلات الطويلة,B
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الغلف,C
,من أين يتفرع الشريان الأكليلي الأيمن والأيسر؟,الشرين تحت الترق,A
,متى ينشأ برزخ الأبهر؟,في الأسبوع 4,C
,ما هو أصغر الفروع الأمامية للأبهر البطني؟,الشرس,C
,ما هي الألياف التي تربط التلافيف والفصوص في نصف كرة مخية واحد؟,الزنجار,B
,ما هي ميزابة النبض بين أوتار العضلات؟,العضلات,A
,ما هو الوريد السطحي الذي يشكل الابطي؟,الوريد السطحي,A
,ماذا تفرز الخلايا ألفا في البنكرياس؟,غلوكاج,A
,ما هو اسم أعمق الانخفاضات في الصيوان؟,الانفصال,A
,ما هي وظيفة هرمون الغدة جار الدرقية PTH؟,زيادة الكالسيوم,A
,ما الذي يمتد من المنخر حتى المنعر؟,الأنف,C
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,الفتحة الفقرية,C
,أين تتوضع الطية المخملة؟,المنطقة تحت الإبط,B
,ما هو الهرمون الذي يفرز PTH؟,الباراثورم,A
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,إنسولين,B
,ما هي العضلات التي تعمل على توازن الرأس على الجذع؟,العضلات التي يعمل على توازن الرأس على الجذع,C
,من أين يخرج العصب الوجهي من الجمجمة؟,الفتحة stylomastoid,A
,ما الذي يتصل به المدورين بالخلف في الفخذ؟,العضلة الفخذية,B
,أين يدخل الحالبان المثانة؟,الثقب الحالب,A
,ما هي الباحة المسؤولة عن حركات العين؟,الباحة الأمامية,D
,ما هو الشريان الذي ينشأ منه الجذع المشترك للشريان بين العظمين؟,الشرين تحت الترق,A
,ما هو وجه عظم الترقوة الذي عليه ميزابة طولانية؟,الوجه العلوي,B
,من أين يفرز الغلوكاغون؟,البنكرياس,B
,ما هي الطبقة المبطنة للتامور الليفي؟,الطبقة البطانية,B
,ما هو معنى التوسع في نهاية الأسهر؟,توسيع,A
,كم عدد فقرات الجزء الصدري من العمود الفقري؟,12,B
,من أين ينتج هرمون الأستروجين؟,المبيض,B
,ما هي الفروع الانتهائية للسباني الخارجي؟,الفرع السباتي,C
,ما هو مصدر التعصيب الحركي لعضلات الظهر العميقة؟,العضلات,B
,ما هو الجيب الوريدي الذي يصب في الوريد الوداجي الباطن؟,الوريد السافena,C
,أين يتوضع العظم الكتفي؟,على الكتف,A
,ما هي المنطقة الأعمق في الغدة الكظرية؟,اللب,A
,ما الذي يقع بين النواة العدسية من جهة والنواة والمهاد من الجهة الأخرى؟,الثالاموس,C
,ما الذي ينفتح على القرين الأنفي العلوي؟,الجيوب الأنفية,A
,أين يمكن إجراء الحقن العضلي في القسم العلوي؟,العضل,B
,أين تتوضع الاحدوبة الدالية في العضد؟,الظهر,B
,ما هو أكبر الجيوب جانب الأنف؟,الجيوب الفكية,A
,ما هو العصب المحرك لعضلات اللسان؟,الهيوجلوس,C
,ما الذي يتوضع تحت الخط الضرسي اللامي؟,العضلة اللسان,C
,ما هي الطبقة المحيطة بالقلب والمرتبطة به؟,الغشاء,C
,ما هو الشريان الذي ينشأ منه الشريان الزاوي؟,الشرين السبات,A
,ما هو تشكل الوريد المأبضي؟,اندماج الوريد الفخذي,A
,ما هي المنطقة الأعمق في قشر الكظر؟,الغدة,C
,أين يقع التلم الوحشي؟,اللس,A
,أين يصب الوريد الكلوي؟,الوريد الكابلي,C
,أين ترتكز العضلة المدورة الصغيرة؟,العمود,e
,ما هو الجزء من البلعوم الذي يتبعه الردب الكمثري؟,البلعوم,C
,كم عدد الأعصاب القحفية؟,12,B
,أين تتوضع نواة العصب العاشر؟,الدماغ,B
,ما هو العنصر الذي يجاور الرغامي من الخلف؟,البلعوم,C
,ما هو العصب القحفي الذي يجتاز النفق الصدري؟,العضع الضفيري,B
,ما هو العظم الأضخم في هيكل القدم؟,عظم الفخذ,B
,أين يوجد النفير البلعومي السمعي؟,البلعوم,C
,ما الذي يحد فتحة وينسلو من الأسفل؟,العضلة اللسان,B
,ما يُسمى الوجه الأمامي للوح الكتف؟,الوجه الأمامي,C
,ما هو الشريان الذي يروي القولون الصاعد؟,الشرى الكولونية,C
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الغلف,C
,ما يُدعى القسم العلوي المتسع من الحالب؟,الخزان,C
,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟,الفرج,C
,ما هي الطبقة من الكظر التي تتألف من حبال مقوسة من خلايا عمودية متقاربة؟,الطبقة القشرية,A
,ما هي الخلايا التي تتوضع في اللحمة بين النبيبات؟,خلايا بينية,B
,ما هو السطح الخلفي للفخذ تحت المدور الكبير؟,الظهر,B
,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,الثلم الكبدي,B
,ما هو الشريان الذي يروي معظم الوجه الوحشي للمخ؟,الشرين السحية,B
,ما هي المنطقة الفاصلة بين الطيتين الصوتيين؟,الفرج,C
,ما هو العصب القحفي الذي يعبر الثقبة البيضية؟,الثالث,C
,ما هو الهرمون الذي يسبب دفقه الشديد حدوث عملية الإباضة؟,الهرمون اللوتيني,A
,ما هو الهرمون الذي يستهدف الدرق ويحفز إفراز الهرمون الدرقي؟,TSH,C
,ما هي أكبر عقدة مفردة من النسيج اللمفاوي؟,الطحال,B
,ما هي العضلة الرئيسية المسؤولة عن قبض المرفق؟,العضلة ثلاثية,A
,ما هي التراكيب التي توجد على حافتي اللسان وتحوي براعم ذوقية كثيرة؟,الزغ,C
,ما هي الشعيرات الدموية التي تغلفها محفظة بومان؟,الشرايين,B
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,الفرع,B
,ما الذي تغلفه العضلة البصلية الإسفنجية؟,العضة الإسفنجية,C
,من أين يخرج العصب الشوكي؟,الفتحة بين الفقرات,A
,ما هي الألياف التي تعصب العضلة مصرة الحدقة؟,الجهاز البؤجري,B
,ما هو البطين الذي يحويه الدماغ البيني داخله؟,الثالام,C
,ما الذي يشغل الجزء العلوي من قبة القحف؟,الدماغ,A
,ما هو العصب الذي يعصب الغدة النكفية؟,العصب الوداجي,C
,من أين يخرج العصب تحت اللساني؟,الفتق اللساني,A
,ما هي الخلايا البالعة الكبدية؟,خلايا كوبر,C
,أين يصب الوريد الصافن الكبير (الأنسي)؟,الوريد الفخذي,A
,ما هو الشريان الذي يستمر به الريان تحت الترقوة؟,الشرين تحت الترق,A
,ما تُدعى الردب بين عنق الرحم والمهبل؟,الردب,C
,في أي مستوى من الفقرات الصدرية يتم التمفصل بين قبضة وجسم القص؟,T2,C
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,"الرباط الكرب
الرباط الكرب
الرباط الكرب",C
,ما هي العضلة التي تنشأ من الشوكة الحرقفية الأمامية العلوية وترتكز انسي الظنبوب؟,العضلة الإليوبس,C
,ما هي الطبقة البطانية الرحمية التي تتعرض إلى تغيرات ملحوظة أثناء الدورة الشهرية؟,الطبقة الوظيفية,A
,ما هو موقع مستقبلات الضغط المسؤولة عن المنعكس القلبي التثبيطي؟,الوريد الكاروتيد,B
,ما هو أكبر أعضاء الجسم وزناً ومساحة؟,الجلد,B
,ما هي البنية الأكثر علواً في جذر الرئة اليسرى؟,الشراع,A
,ما هو المكان الذي يعبر من خلاله الشريان السحاني الأوسط؟,الفتق السحائي,C
,ما هو الجوف الهوائي الذي يحوي عظيمات السمع؟,الجيوب,C
,ما هي وظيفة النهايات العصبية الحرة الواردة ضمن ألياف العضلة القلبية؟,الشعاع,C
,ما هي الخلايا التي تخزن فيتامين A في الكبد؟,خلايا ستار,B
,من أين يحمل الشريان الرئوي الدم غير المؤكسج؟,القلب,C
,ما هو العصب القحفي الثاني؟,العصب البصال,A
,ما هو العظم الذي تنتمي إليه الثلمة الاسكية الصغيرة؟,الفتق,B
,ما هو الغضروف المرتبط مع الحلقة الرغامية الأولى؟,الغضروف الحنك,A
,ما هو المفصل الذي يتألف من سطحين كل منهما محدب في اتجاه ومقعر في اتجاه آخر؟,مفصل السرة,A
,ما هو أكبر أعصاب الجسم؟,العصب الوركي,D
,كم عدد العضلات بين العظمية الأخمصية؟,ثلاث,A
,أين ينتهي الأبهر النازل؟,الشرج,C
,ما هي المراكز المسؤولة عن تنسيق الفعالية الحركية وضمان الثباتية؟,المراكز الحركية,A
,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,الوجه الداخلي,B
,أين ينفتح الجيب الفكي؟,الأنف,C
,ما هو أكبر أقسام المعثكلة؟,الوسط,A
,ما هي الحدود التشريحية للحجرة الخلفية للعين؟,العضل,A
,أين ترتكز العضلة الشظوية القصيرة؟,القدم,A
,ما هي المنطقة في الحنجرة التي تشمل الطيتين الصوتيتين والمسافة بينهما؟,الفرج,A
,أين تقع الوهدة في البلعوم؟,البلعوم,B
,ما هي الغدة التي تتوضع تحت الطية اللسانية؟,غدة اللسان,C
,ما هو العصب الذي ينتقل عبره الحس غير العام (حس الذوق) من الثلث الأمامي للسان؟,اللس,A
,ماذا يروي المساريقي العلوي؟,العمود,A
,ما هي المنطقة الأعمق من قشر الكظر؟,الغدة,C
,ما هي الفقرة التي تحتوي على ثقبة فقرية كبيرة ومثلثية الشكل؟,C2,A
,ما هو لون قشر الكظر؟,أصفر,C
,ما هو النسيج الضام الليفي الذي يرتكز حول السطوح المفصلية؟,الغضروف,A
,كم عدد شدف النخاع الشوكي؟,3,A
,ما هو التصريف اللمفاوي للثلث الخلفي للسان؟,العضل,E
,ما هي الغدة التي تقوم بإفراز الميلاتونين؟,الغدة الصنعية,C
,ما هو الشريان الذي له انطباعات على الوجه الداخلي للعظم الصدغي وهو فرع من أي شريان؟,الشرين السحني,A
,ما هو التصنيف الذي يمكننا من معرفة العضلات التي تشارك في كل مرحلة مفصلية وتطبيق ذلك أثناء الفحص؟,تصنيف كابل,A
,ما هي الشرايين التي تسير بين الفصوص بإتجاه القشرة على كل جانب من جانبي الهرم الكلوي؟,الشرايين بين الفص,B
,ما هو الدواء الأمثل لبدء التخدير لمريض مصاب بنزف حاد؟,كيتامين,E
,ما هو المخدر الذي يتميز بالمباشرة والصحو السريعين؟,بروفوكين,E
,ما هو الدواء الأمثل لبدء التخدير لمريض مصاب بنزف رضي حاد؟,كيتامين,C
,ما هو المرخي العضلي الأمثل لتسهيل تنبيب مريض ذي خطورة عالية للاستنشاق؟,كيتامين,A
,ما هو الترياق المناسب للتسمم بالمورفين؟,نالوكسون,A
,ما الذي يشير إليه بقاء عيني المريض مفتوحتين مع رأرأة خفيفة وحركات غير هادفة بعد إعطائه جرعة من الكيتامين؟,تخدير,E
,ما هو الدواء المنتخب للإرخاء العضلي والتنبيب لمريض يعاني من قصور كلوي ويحتاج لعملية إسعافية؟,روكورونيوم,C
,ما هو المرخي العضلي المفضل استعماله لمريض سيخضع لجراحة إسعافية ويعاني من قصور كلوي؟,روكورونيوم,B
,ماذا يفكك الببسين؟,بروتين,B
,ما التعبير الصحيح لوصف جزيئات الإيثين في تفاعل تشكيل البولي إيثين؟,مونوم,A
,ماذا يسبب عوز إنزيم البيروفات كيناز؟,انيميا,A
,ماذا ندعو آلية تفاعل الكلور مع البروبان في ضوء الشمس لإنتاج 1-كلورو بروبان؟,تحليل الضوئية,B
,ما هي الاسطوانات المنحنية التي تكون سهلة التمييز لمحتواها الكاسر للضوء؟,البلعوم,B
,ما هي الحموض الأمينية المشحونة سلبياً؟,حمض,B
,ما هي أعراض عوز فيتامين البيوتين؟,تساقط الشعر,D
,ما هي مفرزات الصفراء؟,صفراء,C
,ما هي خصائص الشجرة الوراثية لخلة متنحية جسدية فيها الأبوين مصابين؟,لا يوجد,B
,ما هي النواتج المتشكلة عند تفاعل معدن الصوديوم مع الإيثانول؟,هيدروجين,A
,ما هي خصائص أنزيم RNA Polymerase؟,تسلسل-dependant,A
,ما هو النكليوتيد في جزيء DNA؟,أدينosine,A
,ما هو فيتامين البيوتين؟,فيتامين بي7,B
,ما هي حالة عدم تحمل اللاكتوز؟,عدم تحمل اللاكتوز,B
,ما هو اسم الاستر المتشكل عندما يتفاعل الميتانول مع حمض البوتانوئيك بوجود بضع قطرات من حمض الكبريت المركز؟,بوتانوي ميثيل,B
,ما هو سبب الوفاة لدى مرض التلاسيميا؟,فشل القلب,C
,ما هي الصبغيات التي يوجد فيها الكروماتين المغاير؟,الصبغيات X and Y,A
,ما المركب الذي ينقص منه نتيجة التأخر في فصل البلازما أو المصل من الكريات في الدم؟,الجلوكوز,D
,ما هو المركب الذي يستخدم كزمرة ملحقة لجميع الإنزيمات الناقلة الزمرة الأمين؟,كوكarboxylase,C
,ما هو العلاج الثاني لمرض الثلاسيميا بيتا؟,العلاج بالحديد,D
,ما هو الاضطراب الذي يتميز بفرط شديد في بيليروبين المصل غير المرتبط وعوز جزئي في UDPGT؟,Crigler-Najjar syndrome,C
,ما هو سبب الوفاة لدى مرضى التلاسيميا؟,عدم التوازن الحديدي,C
,ماذا يسبب عوز الثيامين الشديد؟,مرض بيري,D
,كم يبلغ عدد الجينات التي تشفر لجزيئات الرنا الأصغري miRNAs في مجين الإنسان؟,1046,C
,أين يتم اصطناع الدقائق الكيلوسية؟,الشبكة الإندوبلastic,D
,ما هو الإنزيم الذي يتم بوساطته ربط شدف أوكازاكي؟,DNA ligase,B
,ما هو أكثر الأنزيمات فعالية تحفيزية في جسم الإنسان؟,كاتالاز,B
,ما هو الشكل الفعال لفيتامين B6؟,بيريدوكسال,C
,ما هو الموقع الطبيعي للجين الورمي ABL؟,9q34,B
,كم عدد طبقات الفوسفولبيد في المذيلة؟,اثنان,C
,ما هو التركيب الذي يدخل فيه الكولاجين 4؟,الطبقة القاعدية,B
,ما الذي تؤدي إليه استلة الهيستونات؟,تثبيط,A
